	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_bitScore	viral_eVal	viral_identity	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001066.1_1	QGNH01001066.1	QGNH01001066.1	1	2	142	1	E											0	False	F
QGNH01001066.1_2	QGNH01001066.1	QGNH01001066.1	2	367	789	1	E											0	False	F
QGNH01001066.1_3	QGNH01001066.1	QGNH01001066.1	3	786	1424	1	E											0	False	F
QGNH01001066.1_4	QGNH01001066.1	QGNH01001066.1	4	1424	1810	1	D							Bacterial regulatory proteins, luxR family [PF00196.22]				0	False	F
QGNH01001066.1_5	QGNH01001066.1	QGNH01001066.1	5	1822	2082	1	E											0	False	F
QGNH01001066.1_6	QGNH01001066.1	QGNH01001066.1	6	2079	2345	1	E											0	False	F
QGNH01001066.1_7	QGNH01001066.1	QGNH01001066.1	7	2381	2557	1	E											0	False	F
QGNH01001066.1_8	QGNH01001066.1	QGNH01001066.1	8	2820	4712	1	E	YP_009823358.1	YP_009823358.1 putative terminase large subunit [Escherichia phage PTXU04]	False	96.0	6.991e-19	0.231		VOG07294	sp|Q05219|VG13_BPML5 Gene 13 protein; Xu	Xu	0	False	F
QGNH01001066.1_9	QGNH01001066.1	QGNH01001066.1	9	4722	4919	1	E											0	False	F
QGNH01001066.1_10	QGNH01001066.1	QGNH01001066.1	10	4919	5077	1	E											0	False	F
QGNH01001066.1_11	QGNH01001066.1	QGNH01001066.1	11	5100	5522	1	E											0	False	
QGNH01001066.1_12	QGNH01001066.1	QGNH01001066.1	12	5522	5908	1	E											0	False	F
QGNH01001066.1_13	QGNH01001066.1	QGNH01001066.1	13	5908	6225	1	E											0	False	F
QGNH01001066.1_14	QGNH01001066.1	QGNH01001066.1	14	6229	8343	1	E											0	False	F
QGNH01001066.1_15	QGNH01001066.1	QGNH01001066.1	15	8402	8722	1	E											0	False	F
QGNH01001066.1_16	QGNH01001066.1	QGNH01001066.1	16	9100	10212	1	E											0	False	F
QGNH01001066.1_17	QGNH01001066.1	QGNH01001066.1	17	10221	10748	1	E								VOG11300	REFSEQ major head protein; Xu	Xu	0	False	F
