	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	pfam_hits	heme_regulatory_motif_count
NC_019928_NC_019928_1	NC_019928	NC_019928	1	138	404	1	E				0
NC_019928_NC_019928_2	NC_019928	NC_019928	2	404	1528	1	C	K14059	integrase	Phage integrase family [PF00589.25]	0
NC_019928_NC_019928_3	NC_019928	NC_019928	3	1525	1767	1	E				0
NC_019928_NC_019928_4	NC_019928	NC_019928	4	1764	2072	1	E				0
NC_019928_NC_019928_5	NC_019928	NC_019928	5	2069	3037	1	E				0
NC_019928_NC_019928_6	NC_019928	NC_019928	6	3235	3501	1	E				0
NC_019928_NC_019928_7	NC_019928	NC_019928	7	3512	4678	1	D			KaiC [PF06745.16]; DnaB-like helicase C terminal domain [PF03796.18]; Rad51 [PF08423.14]	0
NC_019928_NC_019928_8	NC_019928	NC_019928	8	4697	6280	1	C	K02316	DNA primase [EC:2.7.7.101]	CHC2 zinc finger [PF01807.23]; DNA primase catalytic core, N-terminal domain [PF08275.14]; Toprim-like [PF13155.9]; Toprim domain [PF13662.9]	0
NC_019928_NC_019928_9	NC_019928	NC_019928	9	6267	7922	1	E				0
NC_019928_NC_019928_10	NC_019928	NC_019928	10	7994	12895	1	D			Protein of unknown function (DUF3519) [PF12033.11]; ddrB-like ParB superfamily domain [PF18763.4]; phage-Barnase-EndoU-ColicinE5/D-RelE like nuclease3 [PF18812.4]	0
NC_019928_NC_019928_11	NC_019928	NC_019928	11	12949	13536	1	E				0
NC_019928_NC_019928_12	NC_019928	NC_019928	12	13746	14336	1	E				0
NC_019928_NC_019928_13	NC_019928	NC_019928	13	14347	15492	1	D			Protein of unknown function (DUF4043) [PF13252.9]	0
NC_019928_NC_019928_14	NC_019928	NC_019928	14	15506	15886	1	E				0
NC_019928_NC_019928_15	NC_019928	NC_019928	15	15919	16356	1	E				0
NC_019928_NC_019928_16	NC_019928	NC_019928	16	16416	18224	1	E				0
NC_019928_NC_019928_17	NC_019928	NC_019928	17	18322	19878	1	D			Terminase RNaseH-like domain [PF17289.5]	0
NC_019928_NC_019928_18	NC_019928	NC_019928	18	19934	20143	1	E				0
NC_019928_NC_019928_19	NC_019928	NC_019928	19	20323	20649	1	E				0
NC_019928_NC_019928_20	NC_019928	NC_019928	20	20657	21100	1	E				0
NC_019928_NC_019928_21	NC_019928	NC_019928	21	21378	21923	1	D			Family of unknown function (DUF5675) [PF18925.3]	0
NC_019928_NC_019928_22	NC_019928	NC_019928	22	21927	22724	1	E				0
NC_019928_NC_019928_23	NC_019928	NC_019928	23	22724	23296	1	E				0
NC_019928_NC_019928_24	NC_019928	NC_019928	24	23296	23616	1	E				0
NC_019928_NC_019928_25	NC_019928	NC_019928	25	23675	23806	1	E				0
NC_019928_NC_019928_26	NC_019928	NC_019928	26	23815	23919	1	E				0
NC_019928_NC_019928_27	NC_019928	NC_019928	27	23969	24784	1	E				0
NC_019928_NC_019928_28	NC_019928	NC_019928	28	24784	25560	1	E				0
