	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01000493.1_1	QGNH01000493.1	QGNH01000493.1	1	3	1751	1	E																				0	False	F
QGNH01000493.1_2	QGNH01000493.1	QGNH01000493.1	2	1753	2280	1	E			YP_009887127.1	YP_009887127.1 homing endonuclease [Acinetobacter phage vB_AbaM_PhT2]	False	0.279	76.0	6.541e-15									VOG00048	sp|P13299|TEV1_BPT4 Intron-associated endonuclease 1; Xh	Xh	0	False	F
QGNH01000493.1_3	QGNH01000493.1	QGNH01000493.1	3	2281	2544	1	E																				0	False	F
QGNH01000493.1_4	QGNH01000493.1	QGNH01000493.1	4	2549	3025	1	D			YP_009824784.1	YP_009824784.1 endonuclease VII [Gordonia phage SteveFrench]	False	0.539	83.0	1.868e-17								Recombination endonuclease VII [PF02945.18]				0	False	F
QGNH01000493.1_5	QGNH01000493.1	QGNH01000493.1	5	3025	3546	1	C	K06903	uncharacterized protein	YP_010664036.1	YP_010664036.1 baseplate wedge subunit [Burkholderia phage FLC10]	False	0.503	70.0	4.735e-13								Baseplate wedge protein gp25 [PF04965.17]	VOG00875	sp|P09425|BP25_BPT4 Baseplate wedge protein gp25; XhXs	Xs;Xh	0	False	VF
QGNH01000493.1_6	QGNH01000493.1	QGNH01000493.1	6	3556	5322	1	D			YP_009831853.1	YP_009831853.1 baseplate protein [Streptomyces phage BRock]	False	0.198	107.0	1.726e-22								Baseplate J-like protein [PF04865.17]	VOG01398	sp|P19060|BP06_BPT4 Baseplate wedge protein gp6; Xs	Xs	0	False	VF
QGNH01000493.1_7	QGNH01000493.1	QGNH01000493.1	7	5325	7922	1	E																				0	False	
QGNH01000493.1_8	QGNH01000493.1	QGNH01000493.1	8	7932	11567	1	D			YP_009848402.1	YP_009848402.1 major tail protein [Rhodococcus phage Whack]	False	0.249	60.0	1.231e-07	MER1153494	S01D	MER1153494 - subfamily S1D non-peptidase homologues (Methanosarcina acetivorans) [S01.UND]#S01D#{peptidase unit: 242-467}~source Q8TI44~	False	0.584	82.0	6.057e-14	PKD domain [PF18911.3]; PKD domain [PF00801.23]; Putative Ig domain [PF05345.15]				0	False	P
QGNH01000493.1_9	QGNH01000493.1	QGNH01000493.1	9	11576	12067	1	E																				0	False	
QGNH01000493.1_10	QGNH01000493.1	QGNH01000493.1	10	12081	16337	1	D			YP_010755127.1	YP_010755127.1 minor tail protein [Microbacterium phage Pumpernickel]	False	0.23	63.0	2.851e-08								Fibronectin type III domain [PF00041.24]				0	False	
QGNH01000493.1_11	QGNH01000493.1	QGNH01000493.1	11	16389	18449	1	E																				0	False	
QGNH01000493.1_12	QGNH01000493.1	QGNH01000493.1	12	18475	18915	1	E																				0	False	
QGNH01000493.1_13	QGNH01000493.1	QGNH01000493.1	13	18925	19347	1	D			YP_009004279.1	YP_009004279.1 HNH endonuclease [Clavibacter phage CN1A]	False	0.531	129.0	9.512000000000001e-34								HNH endonuclease [PF13392.9]; Zinc-binding loop region of homing endonuclease [PF05551.14]	VOG00678	REFSEQ HNH endonuclease; Xu	Xu	0	False	
QGNH01000493.1_14	QGNH01000493.1	QGNH01000493.1	14	19540	20157	1	E																				0	False	
QGNH01000493.1_15	QGNH01000493.1	QGNH01000493.1	15	20180	20638	1	E																				0	False	
QGNH01000493.1_16	QGNH01000493.1	QGNH01000493.1	16	20537	20932	-1	E																				0	False	
QGNH01000493.1_17	QGNH01000493.1	QGNH01000493.1	17	21013	21498	1	E																				0	False	
QGNH01000493.1_18	QGNH01000493.1	QGNH01000493.1	18	21495	23993	1	D			YP_008052508.1	YP_008052508.1 terminase large subunit [Phaeocystis globosa virus]	False	0.305	322.0	2.607e-90	MER0278237	N09	MER0278237 - family N9 unassigned peptide lyases (Selenomonas sp) [N09.UPW]#N09#{peptidase unit: 33-383}~source ZP_19269533~	False	0.41	251.0	7.092999999999999e-67	Hom_end-associated Hint [PF05203.19]; Homing endonuclease [PF05204.17]; Type III restriction enzyme, res subunit [PF04851.18]; Helicase conserved C-terminal domain [PF00271.34]	VOG00203	sp|P20703|UVSW_BPT4 ATP-dependent DNA helicase uvsW; Xh	Xh	0	False	P
QGNH01000493.1_19	QGNH01000493.1	QGNH01000493.1	19	24172	24735	1	E																				0	False	
QGNH01000493.1_20	QGNH01000493.1	QGNH01000493.1	20	24749	26227	1	D			YP_007003424.1	YP_007003424.1 DNA primase/helicase [Bacillus phage SP-10]	False	0.252	145.0	8.775e-35								DnaB-like helicase C terminal domain [PF03796.18]; AAA domain [PF13481.9]; KaiC [PF06745.16]	VOG04360	sp|P04530|HELIC_BPT4 DnaB-like replicative helicase; XhXr	Xr;Xh	0	False	V
QGNH01000493.1_21	QGNH01000493.1	QGNH01000493.1	21	26220	26453	1	E																				0	False	
QGNH01000493.1_22	QGNH01000493.1	QGNH01000493.1	22	26450	26692	1	E																				0	False	
QGNH01000493.1_23	QGNH01000493.1	QGNH01000493.1	23	26689	27594	1	C	K02316	DNA primase [EC:2.7.7.101]	YP_010114592.1	YP_010114592.1 DNA primase [Flavobacterium phage vB_FspM_immuto_2-6A]	False	0.257	87.0	1.884e-17								Toprim-like [PF13155.9]; CHC2 zinc finger [PF01807.23]; DNA primase catalytic core, N-terminal domain [PF08275.14]	VOG00694	REFSEQ DNA primase; Xu	Xu	0	False	
QGNH01000493.1_24	QGNH01000493.1	QGNH01000493.1	24	27610	28092	1	D			YP_010678489.1	YP_010678489.1 hydrolase [Stenotrophomonas phage vB_SmaS-AXL_3]	False	0.345	75.0	7.573e-15								Phosphoribosyl-ATP pyrophosphohydrolase [PF01503.20]	VOG00248	sp|Q5UQE7|YL479_MIMIV Uncharacterized protein L479; Xu	Xu	0	False	MK
QGNH01000493.1_25	QGNH01000493.1	QGNH01000493.1	25	28094	30706	1	C	K21929	uracil-DNA glycosylase [EC:3.2.2.27]	YP_007003448.1	YP_007003448.1 DNA polymerase [Bacillus phage SP-10]	False	0.279	340.0	5.622e-96								DNA polymerase family A [PF00476.23]; Uracil DNA glycosylase superfamily [PF03167.22]; 3'-5' exonuclease [PF01612.23]	VOG00075	sp|O64235|DPOL_BPMD2 DNA polymerase; XhXr	Xr;Xh	0	False	V
QGNH01000493.1_26	QGNH01000493.1	QGNH01000493.1	26	30706	31293	1	E			YP_010670041.1	YP_010670041.1 HNH endonuclease [Synechococcus phage S-SRM01]	False	0.301	77.0	4.643e-15									VOG00073	sp|Q5UPT5|YL246_MIMIV Uncharacterized protein L246; Xu	Xu	0	False	
QGNH01000493.1_27	QGNH01000493.1	QGNH01000493.1	27	31309	31545	1	E																				0	False	
QGNH01000493.1_28	QGNH01000493.1	QGNH01000493.1	28	31548	31847	1	E			YP_010738471.1	YP_010738471.1 hypothetical protein P9A45_gp14 [Stenotrophomonas phage A1432]	False	0.42	72.0	1.298e-14									VOG00558	REFSEQ nucleoside triphosphate pyrophosphohydrolase; Xu	Xu	0	False	
QGNH01000493.1_29	QGNH01000493.1	QGNH01000493.1	29	31850	32263	1	E			YP_009904599.1	YP_009904599.1 HAD hydrolase [Burkholderia phage BcepSauron]	False	0.454	93.0	2.426e-21									VOG21425	REFSEQ hypothetical protein; Xu	Xu	0	False	
QGNH01000493.1_30	QGNH01000493.1	QGNH01000493.1	30	32317	33198	1	D			YP_007003451.1	YP_007003451.1 single strand DNA binding protein [Bacillus phage SP-10]	False	0.288	84.0	1.783e-16								gp32 DNA binding protein like [PF08804.13]	VOG07309	sp|P03695|SSB_BPT4 Single-stranded DNA-binding protein; Xr	Xr	0	False	V
QGNH01000493.1_31	QGNH01000493.1	QGNH01000493.1	31	33200	33592	1	E																				0	False	
QGNH01000493.1_32	QGNH01000493.1	QGNH01000493.1	32	33592	33945	1	E																				0	False	
QGNH01000493.1_33	QGNH01000493.1	QGNH01000493.1	33	33932	34801	1	D			YP_009151690.1	YP_009151690.1 UvsX-like recombinase [Bacillus phage Moonbeam]	False	0.264	77.0	3.542e-14								recA bacterial DNA recombination protein [PF00154.24]				0	False	
QGNH01000493.1_34	QGNH01000493.1	QGNH01000493.1	34	34770	35387	1	E			YP_010358960.1	YP_010358960.1 endonuclease [uncultured phage cr151_1]	False	0.325	84.0	2.381e-17									VOG00117	REFSEQ HNH endonuclease; Xu	Xu	0	False	
QGNH01000493.1_35	QGNH01000493.1	QGNH01000493.1	35	35387	36448	1	E			YP_009620739.1	YP_009620739.1 calcineurin-like phosphoesterase [Pseudomonas phage nickie]	False	0.261	93.0	6.814e-19									VOG00413	sp|P04521|EXO1_BPT4 Exonuclease subunit 1; Xp	Xp	0	False	
QGNH01000493.1_36	QGNH01000493.1	QGNH01000493.1	36	36448	38631	1	D			YP_007003426.1	YP_007003426.1 exonuclease [Bacillus phage SP-10]	False	0.233	211.0	1.1949999999999999e-54								AAA domain [PF13476.9]	VOG00264	sp|P04522|EXO2_BPT4 Exonuclease subunit 2; XhXp	Xh;Xp	0	False	
QGNH01000493.1_37	QGNH01000493.1	QGNH01000493.1	37	38609	38920	1	E																				0	False	
