	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_bitScore	viral_eVal	viral_identity	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01000896.1_1	QGNH01000896.1	QGNH01000896.1	1	1	1089	1	E													0	False	F
QGNH01000896.1_2	QGNH01000896.1	QGNH01000896.1	2	1092	1367	1	E													0	False	F
QGNH01000896.1_3	QGNH01000896.1	QGNH01000896.1	3	1375	1734	1	E													0	False	F
QGNH01000896.1_4	QGNH01000896.1	QGNH01000896.1	4	1745	2866	1	E													0	False	F
QGNH01000896.1_5	QGNH01000896.1	QGNH01000896.1	5	2894	4318	1	E													0	False	F
QGNH01000896.1_6	QGNH01000896.1	QGNH01000896.1	6	4385	5275	1	E													0	False	F
QGNH01000896.1_7	QGNH01000896.1	QGNH01000896.1	7	5276	5965	1	E													0	False	
QGNH01000896.1_8	QGNH01000896.1	QGNH01000896.1	8	5978	6601	1	E													0	False	
QGNH01000896.1_9	QGNH01000896.1	QGNH01000896.1	9	6594	6833	1	E													0	False	
QGNH01000896.1_10	QGNH01000896.1	QGNH01000896.1	10	6787	7092	1	C	K04078	chaperonin GroES							Chaperonin 10 Kd subunit [PF00166.24]				0	False	
QGNH01000896.1_11	QGNH01000896.1	QGNH01000896.1	11	7104	7877	1	E													0	False	
QGNH01000896.1_12	QGNH01000896.1	QGNH01000896.1	12	7874	12181	1	E			YP_008241478.1	YP_008241478.1 virion structural protein [Cellulophaga phage phi38:1]	False	88.0	5.002e-16	0.217		VOG02819	REFSEQ virion structural protein; Xu	Xu	0	False	F
QGNH01000896.1_13	QGNH01000896.1	QGNH01000896.1	13	12178	12669	1	E													0	False	F
QGNH01000896.1_14	QGNH01000896.1	QGNH01000896.1	14	12657	13358	1	E													0	False	F
QGNH01000896.1_15	QGNH01000896.1	QGNH01000896.1	15	13364	14107	1	E													0	False	F
QGNH01000896.1_16	QGNH01000896.1	QGNH01000896.1	16	14163	14831	1	E													0	False	F
QGNH01000896.1_17	QGNH01000896.1	QGNH01000896.1	17	14832	15434	1	E													0	False	F
