	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001671.1_1	QGNH01001671.1	QGNH01001671.1	1	1	168	-1	E																						0	False	F
QGNH01001671.1_2	QGNH01001671.1	QGNH01001671.1	2	243	833	-1	E	YP_009323075.1	YP_009323075.1 tail tube [Synechococcus phage S-CAM7]	False	0.435	147.0	4.87e-39													VOG00050	sp|P13333|TUBE_BPT4 Tail tube protein gp19; XhXpXrXs	Xp;Xr;Xh;Xs	0	False	VF
QGNH01001671.1_3	QGNH01001671.1	QGNH01001671.1	3	863	1171	-1	D	YP_009212335.1	YP_009212335.1 tail sheath [Sinorhizobium phage phiN3]	False	0.612	123.0	1.45e-32								Phage tail sheath C-terminal domain [PF17482.5]								0	False	F
QGNH01001671.1_4	QGNH01001671.1	QGNH01001671.1	4	1171	3096	-1	D	YP_009609693.1	YP_009609693.1 tail sheath [Acidovorax phage ACP17]	False	0.218	151.0	6.548e-36								Phage tail sheath protein subtilisin-like domain [PF04984.17]					VOG00168	sp|P13332|TSP_BPT4 Tail sheath protein; XpXrXs	Xr;Xp;Xs	0	False	VF
QGNH01001671.1_5	QGNH01001671.1	QGNH01001671.1	5	3177	5909	-1	D	YP_009602116.1	YP_009602116.1 terminase large subunit [Escherichia phage ECD7]	True	0.364	517.0	5.268e-155	MER0223699	N09	MER0223699 - family N9 unassigned peptide lyases (Sulfurovum sp. NBC37-1) [N09.UPW]#N09#{peptidase unit: 206-550}~source YP_001359430~	False	104.0	7.732e-21	0.274	Terminase large subunit, T4likevirus-type, N-terminal [PF03237.18]; Hom_end-associated Hint [PF05203.19]; Terminase RNaseH-like domain [PF17289.5]; Homing endonuclease [PF05204.17]; LAGLIDADG-like domain [PF14528.9]					VOG00068	sp|P25479|VPP_BPP2 Terminase, ATPase subunit; XhXr	Xr;Xh	0	False	VPF
QGNH01001671.1_6	QGNH01001671.1	QGNH01001671.1	6	5920	7461	-1	E																						0	False	
QGNH01001671.1_7	QGNH01001671.1	QGNH01001671.1	7	7463	7993	-1	D	YP_010669718.1	YP_010669718.1 terminase small subunit [Synechococcus phage S-SCSM1]	False	0.423	83.0	3.416e-17								Terminase DNA packaging enzyme [PF11053.11]					VOG07293	sp|P17311|TERS_BPT4 Terminase, small subunit; Xr	Xr	0	False	V
QGNH01001671.1_8	QGNH01001671.1	QGNH01001671.1	8	8003	8767	-1	D	YP_007673124.1	YP_007673124.1 tail sheath stabilizer [Synechococcus phage S-CAM1]	False	0.33	123.0	5.143e-30								T4-like virus Myoviridae tail sheath stabiliser [PF16724.8]					VOG04621	sp|P11112|COMPL_BPT4 Tail completion protein gp15; XhXs	Xs;Xh	0	False	V
QGNH01001671.1_9	QGNH01001671.1	QGNH01001671.1	9	8782	9432	-1	D														Methyltransferase FkbM domain [PF05050.15]					VOG00316	REFSEQ methyltransferase; Xu	Xu	0	False	F
QGNH01001671.1_10	QGNH01001671.1	QGNH01001671.1	10	9433	10776	-1	D	YP_214498.1	YP_214498.1 methyltransferase [Prochlorococcus phage P-SSM2]	False	0.287	75.0	6.819e-13								Methyltransferase FkbM domain [PF05050.15]	GT74	GT74 alpha-1,2-L-fucosyltransferase (EC 2.4.1.69)		GT74.hmm	VOG00316	REFSEQ methyltransferase; Xu	Xu	0	False	F
