	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	pfam_hits	heme_regulatory_motif_count
NC_054681.1_NC_054681.1_1	NC_054681.1	NC_054681.1	1	91	297	-1	E				0
NC_054681.1_NC_054681.1_2	NC_054681.1	NC_054681.1	2	675	1022	-1	E				0
NC_054681.1_NC_054681.1_3	NC_054681.1	NC_054681.1	3	1430	1660	1	E				0
NC_054681.1_NC_054681.1_4	NC_054681.1	NC_054681.1	4	1666	1914	1	D			Thioredoxin [PF00085.23]	0
NC_054681.1_NC_054681.1_5	NC_054681.1	NC_054681.1	5	1928	2353	1	E				0
NC_054681.1_NC_054681.1_6	NC_054681.1	NC_054681.1	6	2374	4020	1	D			Terminase large subunit, endonuclease domain [PF20441.1]	0
NC_054681.1_NC_054681.1_7	NC_054681.1	NC_054681.1	7	4053	5489	1	E				0
NC_054681.1_NC_054681.1_8	NC_054681.1	NC_054681.1	8	5486	6598	1	E				0
NC_054681.1_NC_054681.1_9	NC_054681.1	NC_054681.1	9	6602	7147	1	E				0
NC_054681.1_NC_054681.1_10	NC_054681.1	NC_054681.1	10	7218	8291	1	D			P22 coat protein - gene protein 5 [PF11651.11]	0
NC_054681.1_NC_054681.1_11	NC_054681.1	NC_054681.1	11	8361	8804	1	E				0
NC_054681.1_NC_054681.1_12	NC_054681.1	NC_054681.1	12	8825	9136	1	E				0
NC_054681.1_NC_054681.1_13	NC_054681.1	NC_054681.1	13	9136	9534	1	D			Family of unknown function (DUF5403) [PF17395.5]	0
NC_054681.1_NC_054681.1_14	NC_054681.1	NC_054681.1	14	9534	10037	1	E				0
NC_054681.1_NC_054681.1_15	NC_054681.1	NC_054681.1	15	10054	10806	1	E				0
NC_054681.1_NC_054681.1_16	NC_054681.1	NC_054681.1	16	10924	11247	1	D			Mycobacteriophage tail assembly protein [PF17388.5]	0
NC_054681.1_NC_054681.1_17	NC_054681.1	NC_054681.1	17	11457	11636	1	E				0
NC_054681.1_NC_054681.1_18	NC_054681.1	NC_054681.1	18	11640	14963	1	E				0
NC_054681.1_NC_054681.1_19	NC_054681.1	NC_054681.1	19	14967	15824	1	D			Phage tail protein [PF05709.14]	0
NC_054681.1_NC_054681.1_20	NC_054681.1	NC_054681.1	20	15829	17040	1	D			Siphovirus ReqiPepy6 Gp37-like protein [PF14594.9]	0
NC_054681.1_NC_054681.1_21	NC_054681.1	NC_054681.1	21	17095	17340	1	E				0
NC_054681.1_NC_054681.1_22	NC_054681.1	NC_054681.1	22	17342	19327	1	E				0
NC_054681.1_NC_054681.1_23	NC_054681.1	NC_054681.1	23	19327	19827	1	E				0
NC_054681.1_NC_054681.1_24	NC_054681.1	NC_054681.1	24	19902	21248	1	D			Chaperone of endosialidase [PF13884.9]	0
NC_054681.1_NC_054681.1_25	NC_054681.1	NC_054681.1	25	21248	21601	1	D			Protein of unknown function (DUF2746) [PF10874.11]	0
NC_054681.1_NC_054681.1_26	NC_054681.1	NC_054681.1	26	21627	22721	1	D			LysM domain [PF01476.23]	0
NC_054681.1_NC_054681.1_27	NC_054681.1	NC_054681.1	27	22718	22987	1	E				0
NC_054681.1_NC_054681.1_28	NC_054681.1	NC_054681.1	28	23042	23302	-1	E				0
NC_054681.1_NC_054681.1_29	NC_054681.1	NC_054681.1	29	23389	23841	1	E				0
NC_054681.1_NC_054681.1_30	NC_054681.1	NC_054681.1	30	23978	24262	1	E				0
NC_054681.1_NC_054681.1_31	NC_054681.1	NC_054681.1	31	24274	25230	1	E				0
NC_054681.1_NC_054681.1_32	NC_054681.1	NC_054681.1	32	25351	25872	1	E				0
NC_054681.1_NC_054681.1_33	NC_054681.1	NC_054681.1	33	26060	26497	1	E				0
NC_054681.1_NC_054681.1_34	NC_054681.1	NC_054681.1	34	26571	27047	1	C	K01493	dCMP deaminase [EC:3.5.4.12]	Cytidine and deoxycytidylate deaminase zinc-binding region [PF00383.26]; MafB19-like deaminase [PF14437.9]	0
NC_054681.1_NC_054681.1_35	NC_054681.1	NC_054681.1	35	27104	27859	1	D			DnaB-like helicase C terminal domain [PF03796.18]; AAA domain [PF13481.9]	0
NC_054681.1_NC_054681.1_36	NC_054681.1	NC_054681.1	36	27928	28290	1	E				0
NC_054681.1_NC_054681.1_37	NC_054681.1	NC_054681.1	37	28299	28433	1	E				0
NC_054681.1_NC_054681.1_38	NC_054681.1	NC_054681.1	38	28710	29360	1	D			Toprim-like [PF13155.9]	0
NC_054681.1_NC_054681.1_39	NC_054681.1	NC_054681.1	39	29357	29713	1	E				0
NC_054681.1_NC_054681.1_40	NC_054681.1	NC_054681.1	40	29710	29868	1	E				0
NC_054681.1_NC_054681.1_41	NC_054681.1	NC_054681.1	41	29865	30083	1	E				0
NC_054681.1_NC_054681.1_42	NC_054681.1	NC_054681.1	42	30076	31266	1	E				0
NC_054681.1_NC_054681.1_43	NC_054681.1	NC_054681.1	43	31293	31649	1	E				0
NC_054681.1_NC_054681.1_44	NC_054681.1	NC_054681.1	44	31649	32047	1	E				0
NC_054681.1_NC_054681.1_45	NC_054681.1	NC_054681.1	45	32044	32397	1	E				0
