	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	pfam_hits	heme_regulatory_motif_count
NC_001781.1_NC_001781.1_1	NC_001781.1	NC_001781.1	1	99	518	1	D			Pneumovirus NS1 protein [PF03438.16]	0
NC_001781.1_NC_001781.1_2	NC_001781.1	NC_001781.1	2	626	1000	1	D			Respiratory synctial virus non-structural protein NS2 [PF03113.17]	0
NC_001781.1_NC_001781.1_3	NC_001781.1	NC_001781.1	3	1140	2315	1	D			Pneumovirus nucleocapsid protein [PF03246.16]	0
NC_001781.1_NC_001781.1_4	NC_001781.1	NC_001781.1	4	2348	3073	1	D			Pneumovirus phosphoprotein [PF02478.19]	0
NC_001781.1_NC_001781.1_5	NC_001781.1	NC_001781.1	5	3158	4033	1	D			Pneumovirus matrix protein [PF03393.19]	0
NC_001781.1_NC_001781.1_6	NC_001781.1	NC_001781.1	6	4303	4500	1	D			Small hydrophobic protein [PF03579.16]	0
NC_001781.1_NC_001781.1_7	NC_001781.1	NC_001781.1	7	4690	5589	1	C	K22613	RSV chemokine CX3C homolog	Pneumovirus attachment glycoprotein G [PF00802.22]	0
NC_001781.1_NC_001781.1_8	NC_001781.1	NC_001781.1	8	5621	7390	1	C	K19261	Pneumoviridae fusion glycoprotein F0	Fusion glycoprotein F0 [PF00523.21]	0
NC_001781.1_NC_001781.1_9	NC_001781.1	NC_001781.1	9	7618	8205	1	D			Pneumovirus matrix protein 2 (M2) [PF06436.14]	0
NC_001781.1_NC_001781.1_10	NC_001781.1	NC_001781.1	10	8162	8443	1	D			Pneumovirus M2 protein [PF07380.14]	0
NC_001781.1_NC_001781.1_11	NC_001781.1	NC_001781.1	11	8443	15009	1	C	K26133	Pneumoviridae RNA-directed RNA polymerase L [EC:2.7.7.48 3.6.1.- 2.7.7.88 2.1.1.375]	Mononegavirales RNA dependent RNA polymerase [PF00946.22]; Mononegavirales mRNA-capping region V [PF14318.9]	0
