	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001246.1_1	QGNH01001246.1	QGNH01001246.1	1	3	281	1	E															0	False	F
QGNH01001246.1_2	QGNH01001246.1	QGNH01001246.1	2	293	904	1	E															0	False	F
QGNH01001246.1_3	QGNH01001246.1	QGNH01001246.1	3	931	2259	1	E															0	False	F
QGNH01001246.1_4	QGNH01001246.1	QGNH01001246.1	4	2259	3179	1	E															0	False	F
QGNH01001246.1_5	QGNH01001246.1	QGNH01001246.1	5	3199	3321	1	E															0	False	F
QGNH01001246.1_6	QGNH01001246.1	QGNH01001246.1	6	3442	3687	-1	E															0	False	F
QGNH01001246.1_7	QGNH01001246.1	QGNH01001246.1	7	3731	4375	1	E	YP_240316.1	YP_240316.1 HNH endonuclease [Staphylococcus phage ROSA]	False	0.569	103.0	1.092e-23						VOG01554	REFSEQ HNH endonuclease; Xu	Xu	0	False	F
QGNH01001246.1_8	QGNH01001246.1	QGNH01001246.1	8	4407	6080	1	E	YP_009792785.1	YP_009792785.1 tail fiber protein [Bordetella phage vB_BbrM_PHB04]	False	0.326	79.0	5.062e-14									0	False	F
QGNH01001246.1_9	QGNH01001246.1	QGNH01001246.1	9	6096	6431	1	E															0	False	
QGNH01001246.1_10	QGNH01001246.1	QGNH01001246.1	10	6484	9006	1	E	YP_007673152.1	YP_007673152.1 tail fiber assembly [Synechococcus phage S-RIP2]	False	0.24	71.0	4.488e-11									0	False	
QGNH01001246.1_11	QGNH01001246.1	QGNH01001246.1	11	9016	9285	1	E															0	False	
QGNH01001246.1_12	QGNH01001246.1	QGNH01001246.1	12	9290	9937	1	D							GDSL-like Lipase/Acylhydrolase family [PF13472.9]								0	False	
QGNH01001246.1_13	QGNH01001246.1	QGNH01001246.1	13	9997	10239	1	E															0	False	
QGNH01001246.1_14	QGNH01001246.1	QGNH01001246.1	14	10199	10423	1	E												VOG12668	REFSEQ hypothetical protein; Xu	Xu	0	False	
QGNH01001246.1_15	QGNH01001246.1	QGNH01001246.1	15	10420	10674	1	E															0	False	
QGNH01001246.1_16	QGNH01001246.1	QGNH01001246.1	16	10811	11020	1	E															0	False	
QGNH01001246.1_17	QGNH01001246.1	QGNH01001246.1	17	11038	11892	1	E															0	False	
QGNH01001246.1_18	QGNH01001246.1	QGNH01001246.1	18	11936	12343	1	D	YP_009104271.1	YP_009104271.1 putative lysozyme [Idiomarinaceae phage Phi1M2-2]	False	0.49	113.0	2.326e-28	Phage lysozyme [PF00959.22]	GH24	GH24 lysozyme (EC 3.2.1.17)	3.2.1.17	GH24.hmm				0	False	
QGNH01001246.1_19	QGNH01001246.1	QGNH01001246.1	19	12345	12734	1	E												VOG00231	sp|Q9T1Q4|VP44_BPAPS Putative nuclease p44; Xu	Xu	0	False	
QGNH01001246.1_20	QGNH01001246.1	QGNH01001246.1	20	12909	13469	1	E	YP_006383277.1	YP_006383277.1 HNH endonuclease [Cronobacter phage CR3]	False	0.533	121.0	4.4820000000000006e-30						VOG02169	sp|Q05251|VG04_BPML5 Gene 4 protein; Xu	Xu	1	False	
QGNH01001246.1_21	QGNH01001246.1	QGNH01001246.1	21	13494	13676	-1	E															0	False	
QGNH01001246.1_22	QGNH01001246.1	QGNH01001246.1	22	13673	13915	-1	E															0	False	
