	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	pfam_hits	heme_regulatory_motif_count
MZ334519_MZ334519.1_1	MZ334519	MZ334519.1	1	902	1789	1	E				0
MZ334519_MZ334519.1_2	MZ334519	MZ334519.1	2	1779	2069	1	E				0
MZ334519_MZ334519.1_3	MZ334519	MZ334519.1	3	2076	2198	1	E				0
MZ334519_MZ334519.1_4	MZ334519	MZ334519.1	4	2191	2520	1	E				0
MZ334519_MZ334519.1_5	MZ334519	MZ334519.1	5	2773	2982	1	E				0
MZ334519_MZ334519.1_6	MZ334519	MZ334519.1	6	2995	4767	1	D			Terminase large subunit, T4likevirus-type, N-terminal [PF03237.18]	0
MZ334519_MZ334519.1_7	MZ334519	MZ334519.1	7	4774	6288	1	E				0
MZ334519_MZ334519.1_8	MZ334519	MZ334519.1	8	6291	6575	1	E				0
MZ334519_MZ334519.1_9	MZ334519	MZ334519.1	9	6572	7735	1	E				0
MZ334519_MZ334519.1_10	MZ334519	MZ334519.1	10	7743	8216	1	E				0
MZ334519_MZ334519.1_11	MZ334519	MZ334519.1	11	8220	8756	1	E				0
MZ334519_MZ334519.1_12	MZ334519	MZ334519.1	12	8803	9777	1	E				0
MZ334519_MZ334519.1_13	MZ334519	MZ334519.1	13	9791	10267	1	E				0
MZ334519_MZ334519.1_14	MZ334519	MZ334519.1	14	10254	10643	1	E				0
MZ334519_MZ334519.1_15	MZ334519	MZ334519.1	15	10650	12122	1	E				0
MZ334519_MZ334519.1_16	MZ334519	MZ334519.1	16	12112	12342	1	E				0
MZ334519_MZ334519.1_17	MZ334519	MZ334519.1	17	12343	12558	1	E				0
MZ334519_MZ334519.1_18	MZ334519	MZ334519.1	18	12562	13074	1	E				0
MZ334519_MZ334519.1_19	MZ334519	MZ334519.1	19	13082	14395	1	E				0
MZ334519_MZ334519.1_20	MZ334519	MZ334519.1	20	14424	14945	1	E				0
MZ334519_MZ334519.1_21	MZ334519	MZ334519.1	21	14985	15518	1	E				0
MZ334519_MZ334519.1_22	MZ334519	MZ334519.1	22	15547	15816	1	E				0
MZ334519_MZ334519.1_23	MZ334519	MZ334519.1	23	15820	17784	1	E				0
MZ334519_MZ334519.1_24	MZ334519	MZ334519.1	24	17784	18311	1	E				0
MZ334519_MZ334519.1_25	MZ334519	MZ334519.1	25	18316	19833	1	E				0
MZ334519_MZ334519.1_26	MZ334519	MZ334519.1	26	19882	20292	1	E				0
MZ334519_MZ334519.1_27	MZ334519	MZ334519.1	27	20292	20657	1	E				0
MZ334519_MZ334519.1_28	MZ334519	MZ334519.1	28	20697	21020	1	E				0
MZ334519_MZ334519.1_29	MZ334519	MZ334519.1	29	21020	22234	1	D			Baseplate J-like protein [PF04865.17]	0
MZ334519_MZ334519.1_30	MZ334519	MZ334519.1	30	22231	23217	1	E				0
MZ334519_MZ334519.1_31	MZ334519	MZ334519.1	31	23220	23624	1	E				0
MZ334519_MZ334519.1_32	MZ334519	MZ334519.1	32	23617	24291	1	E				0
MZ334519_MZ334519.1_33	MZ334519	MZ334519.1	33	24298	25698	1	E				0
MZ334519_MZ334519.1_34	MZ334519	MZ334519.1	34	25705	26772	1	E				0
MZ334519_MZ334519.1_35	MZ334519	MZ334519.1	35	26775	27122	1	E				0
MZ334519_MZ334519.1_36	MZ334519	MZ334519.1	36	27125	27631	1	E				0
MZ334519_MZ334519.1_37	MZ334519	MZ334519.1	37	27646	27780	1	E				0
MZ334519_MZ334519.1_38	MZ334519	MZ334519.1	38	28082	28219	-1	E				0
MZ334519_MZ334519.1_39	MZ334519	MZ334519.1	39	28283	29146	-1	D			Family of unknown function (DUF6065) [PF19541.2]	0
MZ334519_MZ334519.1_40	MZ334519	MZ334519.1	40	29570	30301	-1	C	K03465	thymidylate synthase (FAD) [EC:2.1.1.148]	Thymidylate synthase complementing protein [PF02511.18]	0
MZ334519_MZ334519.1_41	MZ334519	MZ334519.1	41	30510	30626	-1	E				0
MZ334519_MZ334519.1_42	MZ334519	MZ334519.1	42	30604	30795	-1	E				0
MZ334519_MZ334519.1_43	MZ334519	MZ334519.1	43	30795	33446	-1	D			DNA polymerase family B [PF00136.24]; DNA polymerase family B, exonuclease domain [PF03104.22]; Predicted 3'-5' exonuclease related to the exonuclease domain of PolB [PF10108.12]	0
MZ334519_MZ334519.1_44	MZ334519	MZ334519.1	44	33446	33925	-1	E				0
MZ334519_MZ334519.1_45	MZ334519	MZ334519.1	45	33925	34314	-1	E				0
MZ334519_MZ334519.1_46	MZ334519	MZ334519.1	46	34311	34496	-1	E				0
MZ334519_MZ334519.1_47	MZ334519	MZ334519.1	47	34589	35344	-1	D			AAA domain [PF13207.9]; AAA domain [PF13671.9]; AAA domain [PF13238.9]; Adenylate kinase [PF00406.25]	0
MZ334519_MZ334519.1_48	MZ334519	MZ334519.1	48	35344	35502	-1	E				0
MZ334519_MZ334519.1_49	MZ334519	MZ334519.1	49	35499	35948	-1	D			Dual specificity phosphatase, catalytic domain [PF00782.23]	0
MZ334519_MZ334519.1_50	MZ334519	MZ334519.1	50	35945	37006	-1	D			PD-(D/E)XK nuclease superfamily [PF12705.10]	0
MZ334519_MZ334519.1_51	MZ334519	MZ334519.1	51	36969	37622	-1	E				0
MZ334519_MZ334519.1_52	MZ334519	MZ334519.1	52	37615	37818	-1	E				0
MZ334519_MZ334519.1_53	MZ334519	MZ334519.1	53	37811	37975	-1	E				0
