	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_bitScore	viral_eVal	viral_identity	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01000431.1_1	QGNH01000431.1	QGNH01000431.1	1	120	1163	1	D																Phage integrase family [PF00589.25]	VOG00056	sp|P22877|INTR_SACER Integrase; XhXr	Xh;Xr	0	False	VF
QGNH01000431.1_2	QGNH01000431.1	QGNH01000431.1	2	1167	1778	1	E																				0	False	F
QGNH01000431.1_3	QGNH01000431.1	QGNH01000431.1	3	1834	2049	1	E																				0	False	F
QGNH01000431.1_4	QGNH01000431.1	QGNH01000431.1	4	2116	2853	1	E																				0	False	F
QGNH01000431.1_5	QGNH01000431.1	QGNH01000431.1	5	2863	3060	1	E																				0	False	F
QGNH01000431.1_6	QGNH01000431.1	QGNH01000431.1	6	3181	3687	1	E																				0	False	F
QGNH01000431.1_7	QGNH01000431.1	QGNH01000431.1	7	3684	3953	1	E																				0	False	F
QGNH01000431.1_8	QGNH01000431.1	QGNH01000431.1	8	3950	4300	1	E																				0	False	F
QGNH01000431.1_9	QGNH01000431.1	QGNH01000431.1	9	4297	4614	1	E																				0	False	F
QGNH01000431.1_10	QGNH01000431.1	QGNH01000431.1	10	4822	6717	1	C	K01358	ATP-dependent Clp protease, protease subunit [EC:3.4.21.92]	YP_010752536.1	YP_010752536.1 major capsid protein [Microbacterium phage Stoor]	False	192.0	2.237e-49	0.307	MER0160731	S14	MER0160731 - family S14 non-peptidase homologues (Haemophilus influenzae) [S14.UNW]#S14#{peptidase unit: 21-199}~source ZP_01785642~	False	165.0	3.356e-40	0.493	Clp protease [PF00574.26]; Phage capsid family [PF05065.16]; Serine dehydrogenase proteinase [PF01972.19]	VOG00134	sp|O64210|CAPSD_BPMD2 Probable major capsid protein gp17; Xs	Xs	0	False	VPF
QGNH01000431.1_11	QGNH01000431.1	QGNH01000431.1	11	6829	7101	-1	E																				0	False	F
QGNH01000431.1_12	QGNH01000431.1	QGNH01000431.1	12	7150	7635	1	E																				0	False	F
QGNH01000431.1_13	QGNH01000431.1	QGNH01000431.1	13	7917	8660	1	E																				0	False	F
QGNH01000431.1_14	QGNH01000431.1	QGNH01000431.1	14	8746	9006	-1	E																				0	False	F
QGNH01000431.1_15	QGNH01000431.1	QGNH01000431.1	15	9125	10201	-1	E																				0	False	F
