ID	NAME	EC
AA0	unclassified	
AA10	copper-dependent lytic polysaccharide monooxygenases 	1.14.99.54
AA11	copper-dependent lytic polysaccharide monooxygenases 	1.14.99.53
AA12	pyrroloquinoline quinone-dependent oxidoreductase	
AA13	copper-dependent lytic polysaccharide monooxygenases 	1.14.99.55
AA14	copper-dependent lytic polysaccharide monooxygenases 	1.14.99.-
AA15	lytic cellulose monooxygenase (C1-hydroxylating)	1.14.99.54
AA16	lytic cellulose monooxygenase (C1-hydroxylating)	1.14.99.54
AA17	lytic polygalacturonic acid monooxygenase (C4-hydroxylating)	1.14.99.-
AA1	laccase / p-diphenol:oxygen oxidoreductase / ferroxidase	1.10.3.2
AA2	manganese peroxidase	1.11.1.13
AA3	cellobiose dehydrogenase	1.1.99.18
AA4	vanillyl-alcohol oxidase	1.1.3.38
AA5	oxidase with oxygen as acceptor	1.1.3.-
AA6	1,4-benzoquinone reductase	1.6.5.6
AA7	glucooligosaccharide oxidase	1.1.3.-
AA8	iron reductase domain	
AA9	copper-dependent lytic polysaccharide monooxygenases 	1.14.99.54
CBM0	unclassified	
CBM10	cellulose binding	
CBM11	glucan binding	
CBM12	chitin binding	
CBM13	mannose/xylan binding	
CBM14	chitin binding	
CBM15	xylan/xylooligsaccharide binding	
CBM16	cellulose/glucomannan binding	
CBM17	cellulose/cellooligosaccharides binding	
CBM18	chitin binding	
CBM19	chitin binding	
CBM1	cellulose/chitin binding	
CBM20	starch binding	
CBM21	starch binding	
CBM22	xylan binding	
CBM23	mannan binding 	
CBM24	alpha-1,3-glucan binding	
CBM25	starch binding	
CBM26	starch binding	
CBM27	mannan binding 	
CBM28	cellulose/cellooligosaccharides/beta-1,3/1,4 glucan binding	
CBM29	mannan/glucomannan binding	
CBM2	cellulose/chitin/xylan binding	
CBM30	cellulose binding	
CBM31	beta-1,3-xylan binding	
CBM32	galactose/lactose/polygalacturonic acid/LacNAc binding	
CBM33	reclassified as AA10	
CBM34	starch binding	
CBM35	xylan/beta-galactan/mannan binding	
CBM36	xylan/xylooligosaccharide binding	
CBM37	broad binding (xylan, chitin, cellulose, plant cell walls)	
CBM38	inulin binding	
CBM39	beta-1,3-glucan/lipopolysaccharide/lipoteichoic acid binding	
CBM3	cellulose/chitin binding	
CBM40	sialic acid binding	
