	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01000041.1_1	QGNH01000041.1	QGNH01000041.1	1	3	629	-1	E					0	False	F
QGNH01000041.1_2	QGNH01000041.1	QGNH01000041.1	2	824	940	1	E					0	False	F
QGNH01000041.1_3	QGNH01000041.1	QGNH01000041.1	3	940	1245	1	D	Helix-turn-helix domain [PF12844.10]				0	False	F
QGNH01000041.1_4	QGNH01000041.1	QGNH01000041.1	4	1871	2053	1	E					0	False	F
QGNH01000041.1_5	QGNH01000041.1	QGNH01000041.1	5	2157	2429	1	E					0	False	F
QGNH01000041.1_6	QGNH01000041.1	QGNH01000041.1	6	2437	2817	1	E					0	False	F
QGNH01000041.1_7	QGNH01000041.1	QGNH01000041.1	7	2824	3606	1	E					0	False	F
QGNH01000041.1_8	QGNH01000041.1	QGNH01000041.1	8	3606	3881	1	E					0	False	F
QGNH01000041.1_9	QGNH01000041.1	QGNH01000041.1	9	4032	6080	1	E		VOG07294	sp|Q05219|VG13_BPML5 Gene 13 protein; Xu	Xu	0	False	F
QGNH01000041.1_10	QGNH01000041.1	QGNH01000041.1	10	6116	6583	1	E					0	False	
QGNH01000041.1_11	QGNH01000041.1	QGNH01000041.1	11	6586	8628	1	E					0	False	
QGNH01000041.1_12	QGNH01000041.1	QGNH01000041.1	12	8636	8881	1	E					0	False	
QGNH01000041.1_13	QGNH01000041.1	QGNH01000041.1	13	8972	9115	1	E					0	False	
QGNH01000041.1_14	QGNH01000041.1	QGNH01000041.1	14	9119	9403	1	E					0	False	
QGNH01000041.1_15	QGNH01000041.1	QGNH01000041.1	15	9418	10221	1	E					0	False	
QGNH01000041.1_16	QGNH01000041.1	QGNH01000041.1	16	10237	11424	1	E					0	False	
QGNH01000041.1_17	QGNH01000041.1	QGNH01000041.1	17	11440	12345	1	E					0	False	
QGNH01000041.1_18	QGNH01000041.1	QGNH01000041.1	18	12355	12879	1	E					0	False	
QGNH01000041.1_19	QGNH01000041.1	QGNH01000041.1	19	12946	13953	1	E					0	False	
QGNH01000041.1_20	QGNH01000041.1	QGNH01000041.1	20	13956	14060	1	E					0	False	
QGNH01000041.1_21	QGNH01000041.1	QGNH01000041.1	21	14061	15374	1	E					0	False	
QGNH01000041.1_22	QGNH01000041.1	QGNH01000041.1	22	15378	15752	1	E					0	False	
QGNH01000041.1_23	QGNH01000041.1	QGNH01000041.1	23	15756	18767	1	E					0	False	F
QGNH01000041.1_24	QGNH01000041.1	QGNH01000041.1	24	18807	19556	1	E					0	False	F
QGNH01000041.1_25	QGNH01000041.1	QGNH01000041.1	25	19567	20055	1	E					0	False	F
QGNH01000041.1_26	QGNH01000041.1	QGNH01000041.1	26	20073	20528	1	E					0	False	F
QGNH01000041.1_27	QGNH01000041.1	QGNH01000041.1	27	20531	21808	1	E					0	False	F
