	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_bitScore	viral_eVal	viral_identity	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001810.1_1	QGNH01001810.1	QGNH01001810.1	1	1	1512	1	E								VOG02069	sp|Q9T1S9|PORTL_BPAPS Portal protein; XhXpXrXs	Xp;Xs;Xh;Xr	0	False	VF
QGNH01001810.1_2	QGNH01001810.1	QGNH01001810.1	2	1521	1775	1	E											0	False	F
QGNH01001810.1_3	QGNH01001810.1	QGNH01001810.1	3	1769	2152	1	E											0	False	F
QGNH01001810.1_4	QGNH01001810.1	QGNH01001810.1	4	2165	2806	1	E											0	False	F
QGNH01001810.1_5	QGNH01001810.1	QGNH01001810.1	5	2822	3763	1	E	YP_009151474.1	YP_009151474.1 major head protein [Bacillus phage Pascal]	False	97.0	1.78e-20	0.255					0	False	F
QGNH01001810.1_6	QGNH01001810.1	QGNH01001810.1	6	3773	4489	1	E											0	False	F
QGNH01001810.1_7	QGNH01001810.1	QGNH01001810.1	7	4534	5004	1	E											0	False	F
QGNH01001810.1_8	QGNH01001810.1	QGNH01001810.1	8	5004	5672	1	E											0	False	
QGNH01001810.1_9	QGNH01001810.1	QGNH01001810.1	9	5748	6341	1	E											0	False	F
QGNH01001810.1_10	QGNH01001810.1	QGNH01001810.1	10	6338	8899	1	E											0	False	F
QGNH01001810.1_11	QGNH01001810.1	QGNH01001810.1	11	8899	9174	1	E											0	False	F
QGNH01001810.1_12	QGNH01001810.1	QGNH01001810.1	12	9184	9729	1	E											0	False	F
QGNH01001810.1_13	QGNH01001810.1	QGNH01001810.1	13	9731	10813	1	E											0	False	F
