	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_bitScore	viral_eVal	viral_identity	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01000929.1_1	QGNH01000929.1	QGNH01000929.1	1	3	746	1	E													0	False	F
QGNH01000929.1_2	QGNH01000929.1	QGNH01000929.1	2	1047	1511	1	E													0	False	F
QGNH01000929.1_3	QGNH01000929.1	QGNH01000929.1	3	1523	2416	1	E										VOG04117	sp|P19693|CAPSA_BPT3 Major capsid protein; XrXs	Xr;Xs	0	False	VF
QGNH01000929.1_4	QGNH01000929.1	QGNH01000929.1	4	2481	4193	-1	E			YP_004934385.1	YP_004934385.1 endonuclease [Yersinia phage phiR1-37]	False	216.0	1.5500000000000002e-57	0.271		VOG00102	REFSEQ homing endonuclease; Xu	Xu	0	False	F
QGNH01000929.1_5	QGNH01000929.1	QGNH01000929.1	5	4413	4550	-1	E													0	False	F
QGNH01000929.1_6	QGNH01000929.1	QGNH01000929.1	6	4561	5607	-1	C	K06941	23S rRNA (adenine2503-C2)-methyltransferase [EC:2.1.1.192]											0	False	F
QGNH01000929.1_7	QGNH01000929.1	QGNH01000929.1	7	6020	6373	1	E													0	False	
QGNH01000929.1_8	QGNH01000929.1	QGNH01000929.1	8	6438	6917	1	E													0	False	
QGNH01000929.1_9	QGNH01000929.1	QGNH01000929.1	9	7168	7608	1	E													0	False	
QGNH01000929.1_10	QGNH01000929.1	QGNH01000929.1	10	7615	8511	1	E													0	False	
QGNH01000929.1_11	QGNH01000929.1	QGNH01000929.1	11	8511	9098	1	E													0	False	
QGNH01000929.1_12	QGNH01000929.1	QGNH01000929.1	12	9232	10491	1	E													0	False	F
QGNH01000929.1_13	QGNH01000929.1	QGNH01000929.1	13	10499	11887	1	E										VOG01001	sp|P85225|VPN1_BPPHE Putative tail sheath protein; Xs	Xs	0	False	VF
QGNH01000929.1_14	QGNH01000929.1	QGNH01000929.1	14	11968	12639	1	E													0	False	F
QGNH01000929.1_15	QGNH01000929.1	QGNH01000929.1	15	12724	13215	1	E										VOG00073	sp|Q5UPT5|YL246_MIMIV Uncharacterized protein L246; Xu	Xu	0	False	F
QGNH01000929.1_16	QGNH01000929.1	QGNH01000929.1	16	13225	14508	1	E													0	False	F
QGNH01000929.1_17	QGNH01000929.1	QGNH01000929.1	17	14508	14609	1	E													0	False	F
