	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_bitScore	viral_eVal	viral_identity	pfam_hits	vogdb_categories	vogdb_id	vogdb_description	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001177.1_1	QGNH01001177.1	QGNH01001177.1	1	50	1303	-1	E											0	False	F
QGNH01001177.1_2	QGNH01001177.1	QGNH01001177.1	2	1252	2697	-1	E											0	False	F
QGNH01001177.1_3	QGNH01001177.1	QGNH01001177.1	3	2717	4774	-1	E											0	False	F
QGNH01001177.1_4	QGNH01001177.1	QGNH01001177.1	4	4836	5615	-1	E											0	False	F
QGNH01001177.1_5	QGNH01001177.1	QGNH01001177.1	5	5615	6862	-1	E											0	False	
QGNH01001177.1_6	QGNH01001177.1	QGNH01001177.1	6	6862	8340	-1	E											0	False	
QGNH01001177.1_7	QGNH01001177.1	QGNH01001177.1	7	8340	10322	-1	E											0	False	
QGNH01001177.1_8	QGNH01001177.1	QGNH01001177.1	8	10343	10870	-1	E											0	False	
QGNH01001177.1_9	QGNH01001177.1	QGNH01001177.1	9	10871	11116	-1	E											0	False	
QGNH01001177.1_10	QGNH01001177.1	QGNH01001177.1	10	11128	11442	-1	E											0	False	
QGNH01001177.1_11	QGNH01001177.1	QGNH01001177.1	11	11417	12931	-1	E	YP_001429655.1	YP_001429655.1 virion structural protein [Bacillus phage 0305phi8-36]	False	63.0	6.879e-09	0.397					0	False	F
QGNH01001177.1_12	QGNH01001177.1	QGNH01001177.1	12	12931	14466	-1	E											0	False	F
QGNH01001177.1_13	QGNH01001177.1	QGNH01001177.1	13	14488	16944	-1	E											0	False	F
QGNH01001177.1_14	QGNH01001177.1	QGNH01001177.1	14	16946	17731	-1	E											0	False	F
QGNH01001177.1_15	QGNH01001177.1	QGNH01001177.1	15	17715	17780	-1	E											0	False	F
