	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
NC_071148_1	NC_071148	NC_071148	1	3	1475	1	C	K09961	uncharacterized protein	YP_010685417.1	YP_010685417.1 portal protein [Klebsiella phage KP591P3]	True	0.953	963	5.823e-316	Protein of unknown function (DUF1073) [PF06381.14]					VOG00562	sp|P44225|VG29_HAEIN Mu-like prophage FluMu protein gp29; Xu	Xu	0	False	F
NC_071148_2	NC_071148	NC_071148	2	1456	2400	1	D			YP_010685418.1	YP_010685418.1 hypothetical protein PRB85_gp02 [Klebsiella phage KP591P3]	True	0.959	635	8.056e-206	Phage Mu protein F like protein [PF04233.17]					VOG03625	sp|P45918|YQBB_BACSU Uncharacterized protein YqbB; Xu	Xu	0	False	F
NC_071148_3	NC_071148	NC_071148	3	2535	3398	-1	E			YP_010685419.1	YP_010685419.1 hypothetical protein PRB85_gp03 [Klebsiella phage KP591P3]	True	0.983	597	3.133e-193						VOG01280	REFSEQ hypothetical protein; Xu	Xu	0	False	F
NC_071148_4	NC_071148	NC_071148	4	3395	3526	-1	E			YP_010685420.1	YP_010685420.1 hypothetical protein PRB85_gp04 [Klebsiella phage KP591P3]	False	1.0	94	1.656e-23						VOG24078	REFSEQ hypothetical protein; Xu	Xu	0	False	F
NC_071148_5	NC_071148	NC_071148	5	3526	3816	-1	E			YP_010685421.1	YP_010685421.1 hypothetical protein PRB85_gp05 [Klebsiella phage KP591P3]	False	0.905	184	1.0409999999999999e-53						VOG00554	REFSEQ hypothetical protein; Xu	Xu	0	False	F
NC_071148_6	NC_071148	NC_071148	6	3915	4352	1	C	K01185	lysozyme [EC:3.2.1.17]	YP_010685422.1	YP_010685422.1 endolysin [Klebsiella phage KP591P3]	False	0.976	301	2.74e-93	Phage lysozyme [PF00959.22]	GH24	GH24 lysozyme (EC 3.2.1.17)	3.2.1.17	GH24.hmm				0	False	F
NC_071148_7	NC_071148	NC_071148	7	4349	4594	1	E			YP_010685423.1	YP_010685423.1 holin [Klebsiella phage KP591P3]	False	1.0	173	1.85e-50						VOG00312	REFSEQ holin; Xu	Xu	0	False	F
NC_071148_8	NC_071148	NC_071148	8	4569	5063	1	D			YP_010685424.1	YP_010685424.1 Rz-like spanin [Klebsiella phage KP591P3]	False	0.897	309	8.985e-96	Protein of unknown function (DUF2514) [PF10721.12]					VOG01260	sp|O64363|VG55_BPN15 Protein gp55; Xu	Xu	0	False	F
NC_071148_9	NC_071148	NC_071148	9	5088	5303	-1	E			YP_010685384.1	YP_010685384.1 hypothetical protein PRB84_gp46 [Klebsiella phage KP591P1]	False	0.935	141	1.528e-39						VOG20076	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_071148_10	NC_071148	NC_071148	10	5300	5521	-1	E			YP_010685385.1	YP_010685385.1 hypothetical protein PRB84_gp47 [Klebsiella phage KP591P1]	False	1.0	158	2.068e-45						VOG00900	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_071148_11	NC_071148	NC_071148	11	5521	6039	-1	D			YP_010685386.1	YP_010685386.1 hypothetical protein PRB84_gp48 [Klebsiella phage KP591P1]	True	1.0	370	5.4880000000000005e-117	Domain of unknown function (DUF6378) [PF19905.2]								0	False	
NC_071148_12	NC_071148	NC_071148	12	6039	6239	-1	E			YP_010685387.1	YP_010685387.1 hypothetical protein PRB84_gp49 [Klebsiella phage KP591P1]	False	0.959	136	1.373e-37						VOG20079	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_071148_13	NC_071148	NC_071148	13	6336	6851	1	D			YP_010685388.1	YP_010685388.1 HNH endonuclease [Klebsiella phage KP591P1]	True	0.993	361	1.018e-113	HNH endonuclease [PF13392.9]; AP2 domain [PF00847.23]					VOG00011	sp|P03795|Y28_BPT7 Protein 2.8; Xu	Xu	0	False	
NC_071148_14	NC_071148	NC_071148	14	6848	7063	1	E			YP_010685834.1	YP_010685834.1 hypothetical protein PRB90_gp23 [Klebsiella phage BUCT610]	False	0.953	145	1.213e-40						VOG22970	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_071148_15	NC_071148	NC_071148	15	7147	7338	1	E			YP_008126185.1	YP_008126185.1 hypothetical protein VPRG_00021 [Vibrio phage pYD38-A]	False	0.958	129	1.875e-35						VOG03537	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_071148_16	NC_071148	NC_071148	16	7555	7791	1	D			YP_010685391.1	YP_010685391.1 Lar-like restriction alleviation protein [Klebsiella phage KP591P1]	False	1.0	179	1.384e-52	Restriction alleviation protein Lar [PF14354.9]								0	False	
NC_071148_17	NC_071148	NC_071148	17	7781	8251	1	E			YP_010685392.1	YP_010685392.1 MarR family transcrition regulator [Klebsiella phage KP591P1]	False	0.98	325	2.017e-101						VOG20539	REFSEQ MarR family transcrition regulator; Xu	Xu	0	False	
NC_071148_18	NC_071148	NC_071148	18	8344	8613	1	E			YP_010685393.1	YP_010685393.1 hypothetical protein PRB84_gp55 [Klebsiella phage KP591P1]	False	0.957	181	4.921999999999999e-53						VOG00570	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_071148_19	NC_071148	NC_071148	19	8610	8954	1	E			YP_010685394.1	YP_010685394.1 hypothetical protein PRB84_gp56 [Klebsiella phage KP591P1]	False	0.934	226	7.0369999999999994e-68						VOG20080	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_071148_20	NC_071148	NC_071148	20	9137	10537	1	D			YP_010685395.1	YP_010685395.1 hypothetical protein PRB84_gp57 [Klebsiella phage KP591P1]	True	0.943	924	4.866e-303	Uncharacterized protein conserved in bacteria (DUF2213) [PF09979.12]								0	False	
NC_071148_21	NC_071148	NC_071148	21	10537	11001	1	E			YP_010685396.1	YP_010685396.1 head decoration [Klebsiella phage KP591P1]	False	0.929	302	1.637e-93						VOG07472	REFSEQ head decoration; Xu	Xu	0	False	
NC_071148_22	NC_071148	NC_071148	22	11013	12101	1	D			YP_010685397.1	YP_010685397.1 major head protein [Klebsiella phage KP591P1]	True	0.971	742	4.5339999999999986e-242	Family of unknown function (DUF6260) [PF19774.2]					VOG04467	REFSEQ virion structural protein; Xu	Xu	0	False	
NC_071148_23	NC_071148	NC_071148	23	12145	12339	1	E			YP_010685398.1	YP_010685398.1 hypothetical protein PRB84_gp60 [Klebsiella phage KP591P1]	False	0.902	123	3.14e-33						VOG20082	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_071148_24	NC_071148	NC_071148	24	12381	13199	1	E			YP_010685399.1	YP_010685399.1 hypothetical protein PRB84_gp61 [Klebsiella phage KP591P1]	True	0.927	530	2.903e-170						VOG02259	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_071148_25	NC_071148	NC_071148	25	13229	13480	-1	E			YP_010685400.1	YP_010685400.1 hypothetical protein PRB84_gp62 [Klebsiella phage KP591P1]	False	0.958	169	4.836e-49						VOG24244	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_071148_26	NC_071148	NC_071148	26	13506	13679	-1	E			YP_010685401.1	YP_010685401.1 hypothetical protein PRB84_gp63 [Klebsiella phage KP591P1]	False	0.968	119	7.179e-32						VOG01605	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_071148_27	NC_071148	NC_071148	27	13676	13933	-1	E			YP_010685402.1	YP_010685402.1 hypothetical protein PRB84_gp64 [Klebsiella phage KP591P1]	False	0.973	177	1.797e-51						VOG24291	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_071148_28	NC_071148	NC_071148	28	13933	14748	-1	C	K03497	ParB family transcriptional regulator, chromosome partitioning protein	YP_010685403.1	YP_010685403.1 ParB-like partition protein [Klebsiella phage KP591P1]	True	0.942	537	6.940000000000001e-173	KorB domain [PF08535.13]; ParB/Sulfiredoxin domain [PF02195.21]					VOG01350	REFSEQ ParB-like partition protein; Xu	Xu	0	False	
NC_071148_29	NC_071148	NC_071148	29	14756	14872	-1	E			YP_010685404.1	YP_010685404.1 hypothetical protein PRB84_gp66 [Klebsiella phage KP591P1]	False	0.955	79	2.218e-18									0	False	
NC_071148_30	NC_071148	NC_071148	30	14869	15189	-1	E			YP_010685405.1	YP_010685405.1 hypothetical protein PRB84_gp67 [Klebsiella phage KP591P1]	False	0.992	224	1.2289999999999999e-67						VOG00040	sp|P14107|Y8K6_BPP22 Uncharacterized 8.6 kDa protein in ral-gp17 intergenic region; Xu	Xu	0	False	
NC_071148_31	NC_071148	NC_071148	31	15420	15707	1	E			YP_010685548.1	YP_010685548.1 holin protein [Klebsiella phage vB_Kpn_ZCKp20p]	False	0.938	189	1.185e-55						VOG20084	REFSEQ membrane protein; Xu	Xu	0	False	
NC_071148_32	NC_071148	NC_071148	32	15685	16077	1	E			YP_010685448.1	YP_010685448.1 hypothetical protein PRB85_gp32 [Klebsiella phage KP591P3]	False	0.958	264	5.488e-81						VOG04502	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_071148_33	NC_071148	NC_071148	33	16074	16208	1	E			YP_010685449.1	YP_010685449.1 hypothetical protein PRB85_gp33 [Klebsiella phage KP591P3]	False	0.942	89	5.743e-22						VOG24076	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_071148_34	NC_071148	NC_071148	34	16196	16540	1	E			YP_010685450.1	YP_010685450.1 hypothetical protein PRB85_gp34 [Klebsiella phage KP591P3]	False	1.0	247	2.74e-75						VOG00901	sp|O64214|VG20_BPMD2 Gene 20 protein; Xu	Xu	0	False	
NC_071148_35	NC_071148	NC_071148	35	16544	17011	1	E			YP_010685451.1	YP_010685451.1 hypothetical protein PRB85_gp35 [Klebsiella phage KP591P3]	False	0.949	311	8.804e-97						VOG00130	REFSEQ tail completion or Neck1 protein; Xu	Xu	0	False	
NC_071148_36	NC_071148	NC_071148	36	17008	17391	1	E			YP_010685452.1	YP_010685452.1 hypothetical protein PRB85_gp36 [Klebsiella phage KP591P3]	False	0.993	269	1.471e-82						VOG01644	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_071148_37	NC_071148	NC_071148	37	18130	18885	1	D			YP_010685453.1	YP_010685453.1 decoration protein [Klebsiella phage KP591P3]	True	0.945	500	2.753e-160	Immunoglobulin domain [PF13895.9]					VOG01555	REFSEQ Hoc-like head decoration; Xu	Xu	0	False	
NC_071148_38	NC_071148	NC_071148	38	18949	19227	-1	E			YP_010685454.1	YP_010685454.1 hypothetical protein PRB85_gp77 [Klebsiella phage KP591P3]	False	0.973	191	2.8850000000000002e-56						VOG00540	sp|O64212|VG19_BPMD2 Gene 19 protein; Xu	Xu	0	False	
NC_071148_39	NC_071148	NC_071148	39	19228	19356	-1	E			YP_010685455.1	YP_010685455.1 hypothetical protein PRB85_gp76 [Klebsiella phage KP591P3]	False	0.95	86	6.557000000000001e-21						VOG20085	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_071148_40	NC_071148	NC_071148	40	19353	19652	-1	D			YP_010685456.1	YP_010685456.1 immunity to superinfection [Klebsiella phage KP591P3]	False	0.925	194	3.244e-57	Superinfection immunity protein [PF14373.9]					VOG04694	sp|P08986|BIMM_BPT4 Immunity protein; Xh	Xh	0	False	
NC_071148_41	NC_071148	NC_071148	41	19746	20453	1	D			YP_010685416.1	YP_010685416.1 hypothetical protein PRB84_gp74 [Klebsiella phage KP591P1]	True	0.936	463	7.035e-148	Family of unknown function (DUF6246) [PF19759.2]					VOG07468	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_071148_42	NC_071148	NC_071148	42	20453	23380	1	D			YP_010685458.1	YP_010685458.1 tail length tape measure protein [Klebsiella phage KP591P3]	True	0.847	1706	0.0	Prophage tail length tape measure protein [PF06791.16]								0	False	
NC_071148_43	NC_071148	NC_071148	43	23566	23850	1	E			YP_010685459.1	YP_010685459.1 hypothetical protein PRB85_gp72 [Klebsiella phage KP591P3]	False	1.0	211	4.34e-63									0	False	
NC_071148_44	NC_071148	NC_071148	44	23850	24320	1	E			YP_010685460.1	YP_010685460.1 minor tail protein [Klebsiella phage KP591P3]	False	0.98	325	2.017e-101						VOG00951	REFSEQ minor tail protein; Xu	Xu	0	False	
NC_071148_45	NC_071148	NC_071148	45	24337	24741	1	D			YP_010685461.1	YP_010685461.1 minor tail protein [Klebsiella phage KP591P3]	False	1.0	293	8.894e-91	NlpC/P60 family [PF00877.22]								0	False	
NC_071148_46	NC_071148	NC_071148	46	24689	27169	1	E			YP_010685462.1	YP_010685462.1 hypothetical protein PRB85_gp69 [Klebsiella phage KP591P3]	True	0.961	1671	0.0						VOG02597	REFSEQ tail protein; Xu	Xu	0	False	
NC_071148_47	NC_071148	NC_071148	47	27208	29337	1	E			YP_010685463.1	YP_010685463.1 hypothetical protein PRB85_gp68 [Klebsiella phage KP591P3]	True	0.958	1430	0.0						VOG00488	REFSEQ tail fiber protein; Xu	Xu	0	False	
