	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_bitScore	viral_eVal	viral_identity	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001104.1_1	QGNH01001104.1	QGNH01001104.1	1	3	428	-1	D									Type VI secretion system/phage-baseplate injector OB domain [PF04717.15]				0	False	F
QGNH01001104.1_2	QGNH01001104.1	QGNH01001104.1	2	433	1563	-1	D									Phage tail baseplate hub (GPD) [PF05954.14]				0	False	F
QGNH01001104.1_3	QGNH01001104.1	QGNH01001104.1	3	1564	1761	-1	E													0	False	F
QGNH01001104.1_4	QGNH01001104.1	QGNH01001104.1	4	1724	1876	-1	E													0	False	F
QGNH01001104.1_5	QGNH01001104.1	QGNH01001104.1	5	1884	2648	-1	D									Contractile injection system tube protein [PF19266.2]				0	False	F
QGNH01001104.1_6	QGNH01001104.1	QGNH01001104.1	6	2746	4464	-1	E													0	False	F
QGNH01001104.1_7	QGNH01001104.1	QGNH01001104.1	7	4468	6225	-1	E													0	False	F
QGNH01001104.1_8	QGNH01001104.1	QGNH01001104.1	8	6200	8083	-1	E													0	False	F
QGNH01001104.1_9	QGNH01001104.1	QGNH01001104.1	9	8087	8185	-1	E													0	False	F
QGNH01001104.1_10	QGNH01001104.1	QGNH01001104.1	10	8254	9039	-1	D									T4 bacteriophage base plate protein [PF12322.11]	VOG01412	REFSEQ hypothetical protein; Xu	Xu	0	False	F
QGNH01001104.1_11	QGNH01001104.1	QGNH01001104.1	11	9054	9521	-1	D									T4-like virus tail tube protein gp19 [PF06841.15]				0	False	F
QGNH01001104.1_12	QGNH01001104.1	QGNH01001104.1	12	9539	10129	-1	C	K06907	uncharacterized protein	YP_007005944.1	YP_007005944.1 putative tail sheath protein [Bacillus phage BCD7]	False	114.0	9.671e-28	0.371	Phage tail sheath C-terminal domain [PF17482.5]; Phage tail sheath protein subtilisin-like domain [PF04984.17]				0	False	F
