	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
NC_073443_1	NC_073443	NC_073443	1	71	625	1	D			YP_010753635.1	YP_010753635.1 hypothetical protein QDW41_gp01 [Microbacterium phage QMacho]	False	0.699	214	2.338e-62								HNH endonuclease [PF14279.9]; HNH endonuclease [PF13395.9]; HNH endonuclease [PF01844.26]				0	False	F
NC_073443_2	NC_073443	NC_073443	2	618	833	1	E			YP_010753222.1	YP_010753222.1 hypothetical protein QDW35_gp01 [Microbacterium phage DickRichards]	False	1.0	158	1.87e-45												0	False	F
NC_073443_3	NC_073443	NC_073443	3	833	1156	1	E			YP_010753223.1	YP_010753223.1 terminase small subunit [Microbacterium phage DickRichards]	False	0.888	200	3.046e-59									VOG00758	REFSEQ hypothetical protein; Xu	Xu	0	False	F
NC_073443_4	NC_073443	NC_073443	4	1160	2782	1	D			YP_010753224.1	YP_010753224.1 terminase large subunit [Microbacterium phage DickRichards]	True	0.972	1108	0.0								Terminase large subunit, ATPase domain [PF03354.18]; Terminase large subunit, endonuclease domain [PF20441.1]	VOG07294	sp|Q05219|VG13_BPML5 Gene 13 protein; Xu	Xu	0	False	F
NC_073443_5	NC_073443	NC_073443	5	2794	4818	1	D			YP_010753225.1	YP_010753225.1 portal and MuF-like fusion protein [Microbacterium phage DickRichards]	True	0.97	1378	0.0								Phage portal protein [PF04860.15]	VOG00344	sp|Q6QGD5|PORTL_BPT5 Portal protein; XhXpXrXs	Xs;Xh;Xr;Xp	0	False	VF
NC_073443_6	NC_073443	NC_073443	6	4818	5570	1	C	K06904	uncharacterized protein	YP_010753501.1	YP_010753501.1 capsid maturation protease [Microbacterium phage Kenzers]	True	0.921	484	1.079e-154	MER0322996	S78	MER0322996 - prohead peptidase (bacteriophage HK97) () [S78.001]#S78#{peptidase unit: 20-177}~source AEN79866~	False	0.597	182.0	5.462e-50	Caudovirus prohead serine protease [PF04586.20]	VOG02183	sp|D3WAC4|PRO_BPLP2 Probable capsid maturation protease; XhXs	Xs;Xh	0	False	VPF
NC_073443_7	NC_073443	NC_073443	7	5607	6788	1	D			YP_010753089.1	YP_010753089.1 major capsid protein [Microbacterium phage Doobus]	True	0.925	762	2.023e-248								Phage capsid family [PF05065.16]	VOG00134	sp|O64210|CAPSD_BPMD2 Probable major capsid protein gp17; Xs	Xs	0	False	V
NC_073443_8	NC_073443	NC_073443	8	6883	7224	1	E			YP_010753021.1	YP_010753021.1 hypothetical protein QDW28_gp07 [Microbacterium phage Albright]	False	0.887	211	8.016e-63												0	False	
NC_073443_9	NC_073443	NC_073443	9	7259	7819	1	E			YP_010753229.1	YP_010753229.1 head-to-tail adaptor [Microbacterium phage DickRichards]	True	0.946	372	4.157e-117									VOG00699	REFSEQ head-tail adaptor; Xu	Xu	0	False	
NC_073443_10	NC_073443	NC_073443	10	7819	8148	1	E			YP_010753230.1	YP_010753230.1 head-to-tail stopper [Microbacterium phage DickRichards]	False	1.0	241	3.364e-73									VOG00125	REFSEQ head closure Hc1; Xu	Xu	0	False	
