Target Name	KO ID	EC value	E-Value (sequence)	Score (domain)
CP001157.1_3489	K00001,K00002	1.1.1.1	3.9e-28	96.2
CP001157.1_4622	K00001,K00002	1.1.1.1	8e-16	54.9
CP001157.1_512	K00001,K00002	1.1.1.1	2e-14	49.2
CP001157.1_4605	K00001,K00002	1.1.1.1	1.6e-13	48.6
CP001157.1_846	K00001,K00002	1.1.1.1	6e-10	36.7
CP001157.1_4249	K00001,K00121	1.1.1.1	4e-28	93.0
CP001157.1_3545	K00001,K00121	1.1.1.1	2.7e-27	52.8
CP001157.1_3545	K00001,K00121	1.1.1.1	2.7e-27	44.8
CP001157.1_723	K00001,K00121	1.1.1.1	8.5e-27	40.0
CP001157.1_675	K00001,K00121	1.1.1.1	2.6e-28	37.2
CP001157.1_82	K00001,K00344	1.1.1.1	9.7e-23	77.0
CP001157.1_82	K00001,K00344	1.1.1.1	7.7e-17	58.9
CP001157.1_2019	K00001,K00344	1.1.1.1	1.8e-21	45.5
CP001157.1_3822	K00001,K00344	1.1.1.1	5.5e-16	37.9
CP001157.1_2019	K00001,K00344	1.1.1.1	1.8e-21	26.8
CP001157.1_3817	K00001,K01629	1.1.1.1	3.6e-27	93.0
CP001157.1_1610	K00001,K01629	1.1.1.1	7.8e-27	92.0
CP001157.1_2023	K00001,K01629	1.1.1.1	1.8e-26	90.7
CP001157.1_2838	K00001,K01629	1.1.1.1	2e-26	90.4
CP001157.1_998	K00001,K01629	1.1.1.1	4e-26	89.7
CP001157.1_1255	K00001,K04072	1.1.1.1	1.6e-73	245.1
CP001157.1_724	K00001,K04072	1.1.1.1	1.1e-68	229.2
CP001157.1_829	K00001,K04072	1.1.1.1	2.3e-45	153.2
CP001157.1_1284	K00001,K04072	1.1.1.1	4.1e-40	135.9
CP001157.1_2952	K00001,K04072	1.1.1.1	2.8e-38	129.8
CP001157.1_3233	K00001,K13953,K00100,K00540	1.1.1.1
	8.5e-32	70.3
CP001157.1_82	K00001,K13953,K00100,K00540	1.1.1.1
	2.1e-60	70.1
CP001157.1_723	K00001,K13953,K00100,K00540	1.1.1.1
	2.2e-42	42.4
CP001157.1_82	K00001,K13953,K00100,K00540	1.1.1.1
	2.1e-60	125.5
CP001157.1_723	K00001,K13953,K00100,K00540	1.1.1.1
	2.2e-42	100.8
CP001157.1_82	K00001,K13953,K00344	1.1.1.1	5.4e-26	79.5
CP001157.1_2966	K00001,K13953,K00344	1.1.1.1	2e-32	66.8
CP001157.1_723	K00001,K13953,K00344	1.1.1.1	4.6e-36	63.3
CP001157.1_723	K00001,K13953,K00344	1.1.1.1	4.6e-36	61.6
CP001157.1_3233	K00001,K13953,K00344	1.1.1.1	6.1e-35	50.1
CP001157.1_723	K00001,K13953,K01568	1.1.1.1	1.1e-39	68.9
CP001157.1_723	K00001,K13953,K01568	1.1.1.1	1.1e-39	65.3
CP001157.1_3233	K00001,K13953,K01568	1.1.1.1	2e-25	58.3
CP001157.1_3545	K00001,K13953,K01568	1.1.1.1	8.8e-19	53.7
CP001157.1_3233	K00001,K13953,K01568	1.1.1.1	2e-25	27.1
CP001157.1_82	K00001,K13953	1.1.1.1
	1.1e-22	73.8
CP001157.1_723	K00001,K13953	1.1.1.1
	1.2e-27	38.2
CP001157.1_3233	K00001,K13953	1.1.1.1
	3.2e-25	34.4
CP001157.1_723	K00001,K13953	1.1.1.1
	2.4e-76	141.7
CP001157.1_723	K00001,K13953	1.1.1.1
	2.4e-76	115.1
CP001157.1_724	K00001,K13954	1.1.1.1
	9.7e-185	611.6
CP001157.1_724	K00001,K13954	1.1.1.1
	3.4e-114	379.4
CP001157.1_3661	K00001,K13954	1.1.1.1
	2.1e-11	37.3
CP001157.1_1255	K00001,K13954	1.1.1.1
	2.4e-106	353.5
CP001157.1_1255	K00001,K13954	1.1.1.1
	1.2e-89	298.6
CP001157.1_1255	K00001	1.1.1.1
	1.7e-181	600.9
CP001157.1_1688	K00001	1.1.1.1
	8.8e-54	177.6
CP001157.1_1255	K00001	1.1.1.1
	3e-48	162.2
CP001157.1_2269	K00001	1.1.1.1
	1.5e-32	109.2
CP001157.1_1688	K00001	1.1.1.1
	4.3e-30	101.5
CP001157.1_3615	K00003,K00928,K12524	1.1.1.3	1.3e-23	79.1
CP001157.1_3143	K00003,K00928,K12524	1.1.1.3	5.6e-31	78.1
CP001157.1_3143	K00003,K00928,K12524	1.1.1.3	5.6e-31	30.2
CP001157.1_3615	K00003,K00928	1.1.1.3	3e-54	182.7
CP001157.1_3143	K00003,K00928	1.1.1.3	5.6e-33	112.3
CP001157.1_3615	K00003	1.1.1.3
	4.8e-147	435.7
CP001157.1_3615	K00003	1.1.1.3
	2.4e-87	290.4
CP001157.1_3615	K00003	1.1.1.3
	1.8e-85	284.6
CP001157.1_3615	K00003	1.1.1.3
	2.2e-78	261.1
CP001157.1_3615	K00003	1.1.1.3
	8.4e-36	121.7
CP001157.1_3822	K00004	1.1.1.4	6.4e-47	87.2
CP001157.1_1860	K00004	1.1.1.4	1.8e-16	47.7
CP001157.1_675	K00004	1.1.1.4	8e-19	41.1
CP001157.1_3822	K00004	1.1.1.4	1.3e-21	39.8
