	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
NC_028664_1	NC_028664	NC_028664	1	1435	1656	1	E			YP_009188312.1	YP_009188312.1 hypothetical protein AU150_gp02 [Klebsiella phage Kp2]	False	0.912	141	1.6889999999999998e-39													VOG13464	REFSEQ hypothetical protein; Xu	Xu	0	False	F
NC_028664_2	NC_028664	NC_028664	2	1777	2349	1	E			YP_009188313.1	YP_009188313.1 hypothetical protein AU150_gp03 [Klebsiella phage Kp2]	True	0.921	368	6.27e-116													VOG06163	REFSEQ hypothetical protein; Xu	Xu	0	False	F
NC_028664_3	NC_028664	NC_028664	3	2346	2570	1	E			YP_009188314.1	YP_009188314.1 hypothetical protein AU150_gp04 [Klebsiella phage Kp2]	False	1.0	172	3.365e-50													VOG06923	REFSEQ hypothetical protein; Xu	Xu	0	False	F
NC_028664_4	NC_028664	NC_028664	4	2641	2883	1	E			YP_009188315.1	YP_009188315.1 hypothetical protein AU150_gp05 [Klebsiella phage Kp2]	False	1.0	173	2.415e-50													VOG14591	REFSEQ hypothetical protein; Xu	Xu	0	False	F
NC_028664_5	NC_028664	NC_028664	5	2945	3166	1	E			YP_009188316.1	YP_009188316.1 hypothetical protein AU150_gp06 [Klebsiella phage Kp2]	False	1.0	163	6.360999999999999e-47													VOG16872	REFSEQ hypothetical protein; Xu	Xu	0	False	F
NC_028664_6	NC_028664	NC_028664	6	3159	3428	1	E			YP_009188317.1	YP_009188317.1 hypothetical protein AU150_gp07 [Klebsiella phage Kp2]	False	0.938	177	1.164e-51													VOG11879	REFSEQ hypothetical protein; Xu	Xu	0	False	F
NC_028664_7	NC_028664	NC_028664	7	3436	3615	1	E			YP_009188318.1	YP_009188318.1 hypothetical protein AU150_gp08 [Klebsiella phage Kp2]	False	0.939	119	7.953000000000001e-32													VOG11880	REFSEQ hypothetical protein; Xu	Xu	0	False	F
NC_028664_8	NC_028664	NC_028664	8	3809	4153	1	E			YP_009188320.1	YP_009188320.1 hypothetical protein AU150_gp10 [Klebsiella phage Kp2]	False	0.968	235	4.913000000000001e-71													VOG03418	REFSEQ hypothetical protein; Xu	Xu	0	False	F
NC_028664_9	NC_028664	NC_028664	9	4200	5876	1	E			YP_009188321.1	YP_009188321.1 hypothetical protein AU150_gp11 [Klebsiella phage Kp2]	True	0.997	1178	0.0													VOG12792	REFSEQ hypothetical protein; Xu	Xu	0	False	F
NC_028664_10	NC_028664	NC_028664	10	5876	6922	1	D			YP_009188322.1	YP_009188322.1 peptidase [Klebsiella phage Kp2]	True	0.998	736	3.6369999999999996e-240	MER0839985	M20X	MER0839985 - family M20 non-peptidase homologues (Bacteroides vulgatus) [M20.UNW]#M20X#{peptidase unit: 5-171}~source A6L0P8~	False	61.0	2.454e-08	0.284						VOG12793	REFSEQ peptidase; Xu	Xu	0	False	
