	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	heme_regulatory_motif_count
NC_049458_NC_049458_1	NC_049458	NC_049458	1	80	3367	-1	D										Tail spike TSP1/Gp66 receptor binding N-terminal domain [PF18668.4]	0
NC_049458_NC_049458_2	NC_049458	NC_049458	2	3414	4604	-1	E											0
NC_049458_NC_049458_3	NC_049458	NC_049458	3	4607	5461	-1	E											0
NC_049458_NC_049458_4	NC_049458	NC_049458	4	5445	7226	-1	E											0
NC_049458_NC_049458_5	NC_049458	NC_049458	5	7590	8159	1	E											0
NC_049458_NC_049458_6	NC_049458	NC_049458	6	8217	8363	1	E											0
NC_049458_NC_049458_7	NC_049458	NC_049458	7	10533	10946	1	D										HNH endonuclease [PF13392.9]	0
NC_049458_NC_049458_8	NC_049458	NC_049458	8	11052	11249	1	E											0
NC_049458_NC_049458_9	NC_049458	NC_049458	9	11263	11397	1	E											0
NC_049458_NC_049458_10	NC_049458	NC_049458	10	12676	12909	1	E											0
NC_049458_NC_049458_11	NC_049458	NC_049458	11	12919	13437	1	D										Sf6-type phage tail needle knob or tip of some Caudovirales [PF16532.8]	0
NC_049458_NC_049458_12	NC_049458	NC_049458	12	13509	14192	1	E											0
NC_049458_NC_049458_13	NC_049458	NC_049458	13	14262	15536	1	E											0
NC_049458_NC_049458_14	NC_049458	NC_049458	14	15576	16025	1	D										ADP-Ribosyltransferase in polyvalent proteins [PF18760.4]; Protein of unknown function (DUF3990) [PF13151.9]	0
NC_049458_NC_049458_15	NC_049458	NC_049458	15	16061	16519	1	E											0
NC_049458_NC_049458_16	NC_049458	NC_049458	16	16556	17101	-1	E											0
NC_049458_NC_049458_17	NC_049458	NC_049458	17	17150	17707	-1	E											0
NC_049458_NC_049458_18	NC_049458	NC_049458	18	17803	18009	-1	E											0
NC_049458_NC_049458_19	NC_049458	NC_049458	19	18057	18629	-1	E											0
NC_049458_NC_049458_20	NC_049458	NC_049458	20	18709	21705	1	D										DNA polymerase family B [PF00136.24]; DNA polymerase family B, exonuclease domain [PF03104.22]	0
NC_049458_NC_049458_21	NC_049458	NC_049458	21	21766	22110	1	E											0
NC_049458_NC_049458_22	NC_049458	NC_049458	22	22103	22885	1	D										5' nucleotidase, deoxy (Pyrimidine), cytosolic type C protein (NT5C) [PF06941.15]	0
NC_049458_NC_049458_23	NC_049458	NC_049458	23	22896	23201	1	E											0
NC_049458_NC_049458_24	NC_049458	NC_049458	24	23201	24106	1	D										P-loop Nucleotide Kinase2 [PF18747.4]	0
NC_049458_NC_049458_25	NC_049458	NC_049458	25	24109	24312	1	E											0
NC_049458_NC_049458_26	NC_049458	NC_049458	26	24314	24700	1	E											0
NC_049458_NC_049458_27	NC_049458	NC_049458	27	24681	24866	1	E											0
NC_049458_NC_049458_28	NC_049458	NC_049458	28	24863	26098	1	D										Alpha-glutamyl/putrescinyl thymine pyrophosphorylase clade 2 [PF18724.4]	0
NC_049458_NC_049458_29	NC_049458	NC_049458	29	26137	26304	1	E											0
NC_049458_NC_049458_30	NC_049458	NC_049458	30	26385	26576	1	E											0
NC_049458_NC_049458_31	NC_049458	NC_049458	31	26588	26809	1	E											0
NC_049458_NC_049458_32	NC_049458	NC_049458	32	26806	27192	1	E											0
NC_049458_NC_049458_33	NC_049458	NC_049458	33	27189	28298	1	E											0
NC_049458_NC_049458_34	NC_049458	NC_049458	34	28314	28883	1	E											0
NC_049458_NC_049458_35	NC_049458	NC_049458	35	28888	29310	1	E											0
NC_049458_NC_049458_36	NC_049458	NC_049458	36	29372	29743	1	E											0
NC_049458_NC_049458_37	NC_049458	NC_049458	37	29740	30186	1	E											0
NC_049458_NC_049458_38	NC_049458	NC_049458	38	30179	30385	1	E											0
NC_049458_NC_049458_39	NC_049458	NC_049458	39	30354	30545	1	E											0
NC_049458_NC_049458_40	NC_049458	NC_049458	40	30555	30908	1	E											0
NC_049458_NC_049458_41	NC_049458	NC_049458	41	31016	33757	1	E											0
NC_049458_NC_049458_42	NC_049458	NC_049458	42	33790	35373	1	E											0
NC_049458_NC_049458_43	NC_049458	NC_049458	43	35427	35726	1	E											0
NC_049458_NC_049458_44	NC_049458	NC_049458	44	35701	36114	1	E											0
NC_049458_NC_049458_45	NC_049458	NC_049458	45	36147	36539	1	E											0
NC_049458_NC_049458_46	NC_049458	NC_049458	46	36518	37327	1	D										Immunoglobulin domain [PF00047.28]	0
NC_049458_NC_049458_47	NC_049458	NC_049458	47	37331	37552	1	E											0
NC_049458_NC_049458_48	NC_049458	NC_049458	48	37640	38149	1	E											0
NC_049458_NC_049458_49	NC_049458	NC_049458	49	38196	38387	1	E											0
NC_049458_NC_049458_50	NC_049458	NC_049458	50	38429	38914	1	E											0
NC_049458_NC_049458_51	NC_049458	NC_049458	51	38911	39489	1	E											0
NC_049458_NC_049458_52	NC_049458	NC_049458	52	39539	41449	1	C	K03164	DNA topoisomerase II [EC:5.6.2.2]								DNA gyrase B [PF00204.28]; C-terminal associated domain of TOPRIM [PF16898.8]; Toprim domain [PF01751.25]	0
NC_049458_NC_049458_53	NC_049458	NC_049458	53	41451	42782	1	D										DNA gyrase/topoisomerase IV, subunit A [PF00521.23]	0
NC_049458_NC_049458_54	NC_049458	NC_049458	54	42825	43103	1	E											0
NC_049458_NC_049458_55	NC_049458	NC_049458	55	43105	43416	1	D										Family of unknown function (DUF6527) [PF20137.2]	0
NC_049458_NC_049458_56	NC_049458	NC_049458	56	43420	43833	1	E											0
NC_049458_NC_049458_57	NC_049458	NC_049458	57	43883	44107	1	E											0
NC_049458_NC_049458_58	NC_049458	NC_049458	58	44104	44340	1	E											0
NC_049458_NC_049458_59	NC_049458	NC_049458	59	44337	44942	1	E											0
NC_049458_NC_049458_60	NC_049458	NC_049458	60	44939	45283	1	E											0
NC_049458_NC_049458_61	NC_049458	NC_049458	61	45276	45908	1	E											0
NC_049458_NC_049458_62	NC_049458	NC_049458	62	45986	46276	1	E											0
NC_049458_NC_049458_63	NC_049458	NC_049458	63	46374	47036	1	D										Queuosine biosynthesis protein QueC [PF06508.16]	0
NC_049458_NC_049458_64	NC_049458	NC_049458	64	47039	47380	1	E											0
NC_049458_NC_049458_65	NC_049458	NC_049458	65	47380	47940	1	E											0
NC_049458_NC_049458_66	NC_049458	NC_049458	66	47937	48269	1	E											0
NC_049458_NC_049458_67	NC_049458	NC_049458	67	48266	48616	1	E											0
NC_049458_NC_049458_68	NC_049458	NC_049458	68	48679	48996	1	E											0
NC_049458_NC_049458_69	NC_049458	NC_049458	69	48993	49397	1	E											0
NC_049458_NC_049458_70	NC_049458	NC_049458	70	49397	49918	1	C	K01493	dCMP deaminase [EC:3.5.4.12]								Cytidine and deoxycytidylate deaminase zinc-binding region [PF00383.26]; MafB19-like deaminase [PF14437.9]; Invertebrate-AID/APOBEC-deaminase [PF18785.4]	0
NC_049458_NC_049458_71	NC_049458	NC_049458	71	49920	50327	1	D										Bacterial PH domain [PF03703.17]	0
NC_049458_NC_049458_72	NC_049458	NC_049458	72	50538	51158	-1	C	K26046	Escherichia phage head completion nuclease [EC:3.1.-.-]								TnsA-like endonuclease N terminal [PF08722.14]	0
NC_049458_NC_049458_73	NC_049458	NC_049458	73	51212	52180	1	D										Tail-tube assembly protein [PF11091.11]	0
NC_049458_NC_049458_74	NC_049458	NC_049458	74	52194	52751	1	D										Base plate wedge protein 53 [PF11246.11]	0
NC_049458_NC_049458_75	NC_049458	NC_049458	75	52748	54136	1	E											0
NC_049458_NC_049458_76	NC_049458	NC_049458	76	54147	56087	1	E											0
NC_049458_NC_049458_77	NC_049458	NC_049458	77	56088	56750	-1	D										T4 gene Gp59 loader of gp41 DNA helicase [PF08993.13]	0
NC_049458_NC_049458_78	NC_049458	NC_049458	78	56894	57157	-1	E											0
NC_049458_NC_049458_79	NC_049458	NC_049458	79	57234	58658	-1	D										ATP dependent DNA ligase domain [PF01068.24]	0
NC_049458_NC_049458_80	NC_049458	NC_049458	80	58720	59058	-1	E											0
NC_049458_NC_049458_81	NC_049458	NC_049458	81	59060	59269	-1	E											0
NC_049458_NC_049458_82	NC_049458	NC_049458	82	59269	59469	-1	E											0
NC_049458_NC_049458_83	NC_049458	NC_049458	83	59470	59586	-1	E											0
