	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001743.1_1	QGNH01001743.1	QGNH01001743.1	1	1	480	-1	E					0	False	F
QGNH01001743.1_2	QGNH01001743.1	QGNH01001743.1	2	559	900	-1	E					0	False	F
QGNH01001743.1_3	QGNH01001743.1	QGNH01001743.1	3	910	1566	-1	E					0	False	F
QGNH01001743.1_4	QGNH01001743.1	QGNH01001743.1	4	1579	2910	-1	E					0	False	F
QGNH01001743.1_5	QGNH01001743.1	QGNH01001743.1	5	2926	3765	-1	E					0	False	F
QGNH01001743.1_6	QGNH01001743.1	QGNH01001743.1	6	3775	4050	-1	E					0	False	F
QGNH01001743.1_7	QGNH01001743.1	QGNH01001743.1	7	4051	4161	-1	E					0	False	F
QGNH01001743.1_8	QGNH01001743.1	QGNH01001743.1	8	4303	4539	-1	E					0	False	F
QGNH01001743.1_9	QGNH01001743.1	QGNH01001743.1	9	4539	6614	-1	E					0	False	F
QGNH01001743.1_10	QGNH01001743.1	QGNH01001743.1	10	6611	7066	-1	E					0	False	
QGNH01001743.1_11	QGNH01001743.1	QGNH01001743.1	11	7063	7323	-1	E					0	False	F
QGNH01001743.1_12	QGNH01001743.1	QGNH01001743.1	12	7320	9383	-1	E		VOG00068	sp|P25479|VPP_BPP2 Terminase, ATPase subunit; XhXr	Xh;Xr	0	False	VF
QGNH01001743.1_13	QGNH01001743.1	QGNH01001743.1	13	9473	9946	-1	E					0	False	F
QGNH01001743.1_14	QGNH01001743.1	QGNH01001743.1	14	10026	10352	-1	E					0	False	F
QGNH01001743.1_15	QGNH01001743.1	QGNH01001743.1	15	10352	10738	-1	E					0	False	F
QGNH01001743.1_16	QGNH01001743.1	QGNH01001743.1	16	10938	11453	-1	E					0	False	F
QGNH01001743.1_17	QGNH01001743.1	QGNH01001743.1	17	11450	11770	-1	E					0	False	F
QGNH01001743.1_18	QGNH01001743.1	QGNH01001743.1	18	11758	12009	-1	E					0	False	F
