	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
KC117376.1_1	KC117376	KC117376.1	1	898	1785	1	E			YP_008059985.1	YP_008059985.1 terminase small subunit [Halorubrum tailed phage 7]	True	0.974	608.0	9.192e-197		VOG05559	REFSEQ terminase small subunit; Xu	Xu	0	False	F
KC117376.1_2	KC117376	KC117376.1	2	1775	2065	1	E			YP_007379081.1	YP_007379081.1 hypothetical protein HSTV2_2 [Halorubrum sodomense tailed virus 2]	False	1.0	211.0	3.493e-63		VOG04981	REFSEQ hypothetical protein; Xu	Xu	0	False	F
KC117376.1_3	KC117376	KC117376.1	3	2072	2194	1	E			YP_008059987.1	YP_008059987.1 hypothetical protein M193_gp003 [Halorubrum tailed phage 7]	False	0.967	84.0	3.965e-20					0	False	F
KC117376.1_4	KC117376	KC117376.1	4	2187	2516	1	E			YP_007379083.1	YP_007379083.1 hypothetical protein HSTV2_4 [Halorubrum sodomense tailed virus 2]	False	0.98	228.0	1.1359999999999999e-68					0	False	F
KC117376.1_5	KC117376	KC117376.1	5	2769	2978	1	E			YP_008059990.1	YP_008059990.1 hypothetical protein M193_gp006 [Halorubrum tailed phage 7]	False	0.964	142.0	7.332e-40					0	False	F
KC117376.1_6	KC117376	KC117376.1	6	2991	4763	1	D			YP_007379086.1	YP_007379086.1 terminase large subunit [Halorubrum sodomense tailed virus 2]	True	0.958	1190.0	0.0	Terminase large subunit, T4likevirus-type, N-terminal [PF03237.18]	VOG07294	sp|Q05219|VG13_BPML5 Gene 13 protein; Xu	Xu	0	False	F
KC117376.1_7	KC117376	KC117376.1	7	4770	6287	1	E			YP_007379087.1	YP_007379087.1 portal protein [Halorubrum sodomense tailed virus 2]	True	0.95	1010.0	0.0		VOG00562	sp|P44225|VG29_HAEIN Mu-like prophage FluMu protein gp29; Xu	Xu	0	False	F
KC117376.1_8	KC117376	KC117376.1	8	6290	6574	1	E			YP_007379088.1	YP_007379088.1 hypothetical protein HSTV2_9 [Halorubrum sodomense tailed virus 2]	False	0.883	175.0	9.923e-51					0	False	
KC117376.1_9	KC117376	KC117376.1	9	6571	7731	1	E			YP_007379089.1	YP_007379089.1 hypothetical protein HSTV2_10 [Halorubrum sodomense tailed virus 2]	True	0.97	791.0	2.0530000000000002e-258		VOG14382	REFSEQ head maturation protease; Xu	Xu	0	False	
KC117376.1_10	KC117376	KC117376.1	10	7740	8213	1	E			YP_008059995.1	YP_008059995.1 hypothetical protein M193_gp011 [Halorubrum tailed phage 7]	False	0.924	306.0	8.042e-95					0	False	
KC117376.1_11	KC117376	KC117376.1	11	8217	8753	1	E			YP_007379091.1	YP_007379091.1 scaffold protein [Halorubrum sodomense tailed virus 2]	True	0.956	360.0	3.665e-113		VOG14381	REFSEQ hypothetical protein; Xu	Xu	0	False	
KC117376.1_12	KC117376	KC117376.1	12	8800	9774	1	E			YP_007379092.1	YP_007379092.1 major head protein [Halorubrum sodomense tailed virus 2]	True	0.976	668.0	2.989e-217		VOG01973	REFSEQ major head protein; Xu	Xu	0	False	
KC117376.1_13	KC117376	KC117376.1	13	9788	10264	1	E			YP_007379093.1	YP_007379093.1 hypothetical protein HSTV2_14 [Halorubrum sodomense tailed virus 2]	False	0.97	325.0	1.6199999999999998e-101		VOG14383	REFSEQ hypothetical protein; Xu	Xu	0	False	
