ID	Function	Source
trim_DfrA1_rpt	trimethoprim-resistant repeat-containing dihydrofolate reductase DfrA1	
trim_DfrA3	trimethoprim-resistant dihydrofolate reductase DfrA3	
1567214_ble	BLMA family bleomycin binding protein	
APH_9_Ib	aminoglycoside O-phosphotransferase APH(9)-Ib	
D_ala_D_ser_VanL	D-alanine--D-serine ligase VanL	
vanT-L-mem	serine racemase VanT-L membrane subunit	
AAC_6p_A40	aminoglycoside 6'-N-acetyltransferase AacA40	
tet_redox_37	tetracycline resistance NADPH-dependent oxidoreductase Tet(37)	
MFS_efflux_PexA	phenicol efflux MFS transporter PexA	
stregram_VatA	streptogramin A O-acetyltransferase Vat(A)	
40850658_otr	oxytetracycline efflux ABC transporter Otr(C) ATP-binding subunit	
AAC_6p_Iad	aminoglycoside N-acetyltransferase AAC(6')-Iad	
485965_fosC	fosfomycin resistance kinase FosC	
MupB	mupirocin-resistant isoleucine--tRNA ligase MupB	
glpA_Cterm	aminoglycoside O-phosphotransferase APH(4)-Ib	
sat3	streptothricin N-acetyltransferase Sat3	
blaOXA-372_like	OXA-372 family carbapenem-hydrolyzing class D beta-lactamase	
blaBIC	BIC family carbapenem-hydrolyzing class A beta-lactamase	
blaMSI-1_fam	MSI-1 family subclass B3 metallo-beta-lactamase	
blaSPG-1_fam	SPG-1 family subclass B3 metallo-beta-lactamase	
AAC_6p_Ip	aminoglycoside 6'-N-acetyltransferase AAC(6')-Ip	
chrB	23S rRNA (guanine(748)-N(1))-methyltransferase ChrB	
PRK00790.1-1	flagellar hook-basal body complex protein FliE	PRK00790
PRK01903.2-4	ribonuclease P	PRK01903
PRK01903.3-2	ribonuclease P	PRK01903
PRK05682.2-2	flagellar hook protein FlgE	PRK05682
PRK06762.3-1	hypothetical protein	PRK06762
tet_MFS_43	tetracycline efflux MFS transporter Tet(43)	
tet_MFS_45	tetracycline efflux MFS transporter Tet(45)	
Tat	tat protein	PF00539.20
MARVEL	MARVEL domain-containing protein	PF01284.25
EB	EB domain-containing protein	PF01683.20
US22	US22 domain-containing protein	PF02393.18
Reticulon	reticulon family protein	PF02453.19
DUF148	DUF148 domain-containing protein	PF02520.19
DUF220	DUF220 domain-containing protein	PF02713.16
zf-Tim10_DDP	Tim10/DDP family zinc finger protein	PF02953.17
DUF243	DUF243 domain-containing protein	PF03103.19
DUF267	DUF267 domain-containing protein	PF03268.16
Pox_Rap94	RNA polymerase-associated transcription-specificity factor RAP94	PF03294.16
DUF272	DUF272 domain-containing protein	PF03312.17
DUF282	DUF282 domain-containing protein	PF03380.16
DUF281	DUF281 domain-containing protein	PF03436.15
DUF295	DUF295 domain-containing protein	PF03478.20
Voldacs	Voldacs domain-containing protein	PF03517.15
Cullin_binding	cullin binding domain-containing protein	PF03556.17
Tctex-1	dynein light chain Tctex-type family protein	PF03645.15
DUF313	DUF313 domain-containing protein	PF03754.15
DUF321	DUF321 domain-containing protein	PF03778.15
SFXNs	sideroflexin	PF03820.19
DUF382	DUF382 domain-containing protein	PF04037.15
DUF384	DUF384 domain-containing protein	PF04064.15
Ctr	copper transporter family protein	PF04145.17
GET4	Get4 family protein	PF04190.15
DUF478	DUF478 domain-containing protein	PF04334.14
DUF508	DUF508 domain-containing protein	PF04370.14
SPK	DUF545 domain-containing protein	PF04435.20
DUF570	DUF570 domain-containing protein	PF04489.15
DUF577	DUF577 domain-containing protein	PF04510.14
Microvir_lysis	MraY-inhibiting host cell lysis protein E	PF04517.14
DUF585	DUF585 domain-containing protein	PF04522.14
DUF568	DUF568 domain-containing protein	PF04526.15
Rtf2	replication termination factor 2 family protein	PF04641.14
DUF601	DUF601 domain-containing protein	PF04642.14
DUF604	DUF604 domain-containing protein	PF04646.14
DUF612	DUF612 domain-containing protein	PF04747.14
PLAC8	PLAC8 family protein	PF04749.19
DUF617	DUF617 domain-containing protein	PF04759.15
DUF613	DUF613 domain-containing protein	PF04764.14
protein_MS5	DUF626 domain-containing protein	PF04776.14
Baculo_DNA_bind	DNA-binding protein	PF04786.14
DUF716	DUF716 domain-containing protein	PF04819.14
DUF639	DUF639 domain-containing protein	PF04842.14
DUF640	DUF640 domain-containing protein	PF04852.14
DUF656	DUF656 domain-containing protein	PF04920.14
DUF674	DUF674 domain-containing protein	PF05056.14
DUF684	DUF684 domain-containing protein	PF05075.16
DUF679	DUF679 domain-containing protein	PF05078.14
DUF681	DUF681 domain-containing protein	PF05080.14
