	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01000942.1_1	QGNH01000942.1	QGNH01000942.1	1	83	1114	-1	D	YP_009304065.1	YP_009304065.1 tyrosine-type recombinase/integrase [Brucella phage BiPBO1]	False	0.512	327.0	1.215e-98								Phage integrase family [PF00589.25]	VOG00056	sp|P22877|INTR_SACER Integrase; XhXr	Xr;Xh	0	False	VF
QGNH01000942.1_2	QGNH01000942.1	QGNH01000942.1	2	1298	1666	-1	E																		0	False	F
QGNH01000942.1_3	QGNH01000942.1	QGNH01000942.1	3	1680	1904	-1	E																		0	False	F
QGNH01000942.1_4	QGNH01000942.1	QGNH01000942.1	4	2324	2776	-1	E																		0	False	F
QGNH01000942.1_5	QGNH01000942.1	QGNH01000942.1	5	3084	3320	1	E																		0	False	F
QGNH01000942.1_6	QGNH01000942.1	QGNH01000942.1	6	3406	5097	-1	D	YP_009909087.1	YP_009909087.1 terminase large subunit [Stx2-converting phage Stx2a_WGPS2]	True	0.517	527.0	7.739e-164								Terminase large subunit, endonuclease domain [PF20441.1]; Terminase large subunit, ATPase domain [PF03354.18]				0	False	F
QGNH01000942.1_7	QGNH01000942.1	QGNH01000942.1	7	5106	5807	-1	D														Phage terminase, small subunit [PF05119.15]				0	False	
QGNH01000942.1_8	QGNH01000942.1	QGNH01000942.1	8	5749	6582	-1	E																		0	False	
QGNH01000942.1_9	QGNH01000942.1	QGNH01000942.1	9	6551	8689	-1	E																		0	False	
QGNH01000942.1_10	QGNH01000942.1	QGNH01000942.1	10	8692	8988	-1	E																		0	False	F
QGNH01000942.1_11	QGNH01000942.1	QGNH01000942.1	11	8985	9383	-1	E																		0	False	F
QGNH01000942.1_12	QGNH01000942.1	QGNH01000942.1	12	9431	9802	-1	E																		0	False	F
QGNH01000942.1_13	QGNH01000942.1	QGNH01000942.1	13	9799	10644	-1	D							MER1076339	S78	MER1076339 - family S78 unassigned peptidases (Mesorhizobium sp. LNJC391B00) [S78.UPW]#S78#{peptidase unit: 32-155}~source A0A0E2PBG7~	False	72.0	2.722e-12	0.346	Caudovirus prohead serine protease [PF04586.20]				0	False	PF
QGNH01000942.1_14	QGNH01000942.1	QGNH01000942.1	14	10637	11239	-1	E																		0	False	F
QGNH01000942.1_15	QGNH01000942.1	QGNH01000942.1	15	11255	11638	-1	E																		0	False	F
QGNH01000942.1_16	QGNH01000942.1	QGNH01000942.1	16	11749	12549	-1	D	YP_002284412.1	YP_002284412.1 HNH endonuclease [Pseudomonas phage PAJU2]	False	0.435	83.0	1.942e-16								AAA domain [PF13671.9]	VOG00375	sp|P06855|KIPN_BPT4 Polynucleotide kinase; XhXp	Xh;Xp	1	False	F
QGNH01000942.1_17	QGNH01000942.1	QGNH01000942.1	17	12546	13430	-1	E																		0	False	F
QGNH01000942.1_18	QGNH01000942.1	QGNH01000942.1	18	13465	13803	-1	E																		0	False	F
