	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01000899.1_1	QGNH01000899.1	QGNH01000899.1	1	2	742	1	E															0	False	F
QGNH01000899.1_2	QGNH01000899.1	QGNH01000899.1	2	1035	1913	1	E															0	False	F
QGNH01000899.1_3	QGNH01000899.1	QGNH01000899.1	3	1932	2993	1	E	YP_007003179.1	YP_007003179.1 major head protein [Enterobacter phage EcP1]	False	0.258	93.0	9.148e-19									0	False	F
QGNH01000899.1_4	QGNH01000899.1	QGNH01000899.1	4	3063	3506	1	E															0	False	F
QGNH01000899.1_5	QGNH01000899.1	QGNH01000899.1	5	3621	3809	1	E															0	False	F
QGNH01000899.1_6	QGNH01000899.1	QGNH01000899.1	6	3895	4179	1	E															0	False	F
QGNH01000899.1_7	QGNH01000899.1	QGNH01000899.1	7	4183	4836	1	E															0	False	F
QGNH01000899.1_8	QGNH01000899.1	QGNH01000899.1	8	4837	7284	1	E	YP_009823372.1	YP_009823372.1 hypothetical protein HOV50_gp16 [Escherichia phage PTXU04]	False	0.219	202.0	1.889e-51						VOG01266	REFSEQ amidase; Xu	Xu	0	False	F
QGNH01000899.1_9	QGNH01000899.1	QGNH01000899.1	9	7284	8570	1	E	YP_009448331.1	YP_009448331.1 Collagen-like protein [Orpheovirus IHUMI-LCC2]	False	0.204	61.0	1.18e-08									0	False	
QGNH01000899.1_10	QGNH01000899.1	QGNH01000899.1	10	8703	9080	1	E															0	False	
QGNH01000899.1_11	QGNH01000899.1	QGNH01000899.1	11	9091	9261	1	E	YP_009795370.1	YP_009795370.1 hypothetical protein HOS41_gp36 [Ralstonia phage DU_RP_I]	False	0.62	68.0	2.229e-14									0	False	
QGNH01000899.1_12	QGNH01000899.1	QGNH01000899.1	12	9258	9743	1	D	YP_024942.1	YP_024942.1 endolysin [Burkholderia phage BcepC6B]	False	0.608	192.0	2.866e-55		GH104	GH104 peptidoglycan lytic transglycosylase (EC 3.2.1.-)	4.2.2.n1	GH104.hmm				0	False	
QGNH01000899.1_13	QGNH01000899.1	QGNH01000899.1	13	9740	9946	1	E															0	False	
QGNH01000899.1_14	QGNH01000899.1	QGNH01000899.1	14	9943	10239	1	E															0	False	
QGNH01000899.1_15	QGNH01000899.1	QGNH01000899.1	15	10236	10895	1	D							Lipase (class 3) [PF01764.28]								0	False	F
QGNH01000899.1_16	QGNH01000899.1	QGNH01000899.1	16	11054	12001	1	E															0	False	F
QGNH01000899.1_17	QGNH01000899.1	QGNH01000899.1	17	12332	12748	1	E	YP_010078563.1	YP_010078563.1 short tail fiber protein [Ralstonia phage Firinga]	False	0.448	98.0	3.068e-23						VOG01980	REFSEQ short tail fiber protein; Xu	Xu	0	False	F
QGNH01000899.1_18	QGNH01000899.1	QGNH01000899.1	18	12736	13557	1	E															0	False	F
QGNH01000899.1_19	QGNH01000899.1	QGNH01000899.1	19	13568	14212	1	E															0	False	F
QGNH01000899.1_20	QGNH01000899.1	QGNH01000899.1	20	14212	15228	1	E															0	False	F
QGNH01000899.1_21	QGNH01000899.1	QGNH01000899.1	21	15228	15377	1	E															0	False	F
