	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_bitScore	viral_eVal	viral_identity	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001894.1_1	QGNH01001894.1	QGNH01001894.1	1	50	1303	-1	E											0	False	F
QGNH01001894.1_2	QGNH01001894.1	QGNH01001894.1	2	1379	1852	1	E											0	False	F
QGNH01001894.1_3	QGNH01001894.1	QGNH01001894.1	3	2042	2506	-1	E											0	False	F
QGNH01001894.1_4	QGNH01001894.1	QGNH01001894.1	4	2546	3223	-1	E											0	False	F
QGNH01001894.1_5	QGNH01001894.1	QGNH01001894.1	5	3227	3412	-1	E											0	False	F
QGNH01001894.1_6	QGNH01001894.1	QGNH01001894.1	6	3456	3917	-1	E											0	False	F
QGNH01001894.1_7	QGNH01001894.1	QGNH01001894.1	7	3914	4390	-1	E											0	False	F
QGNH01001894.1_8	QGNH01001894.1	QGNH01001894.1	8	4422	5240	-1	D							Phage gp6-like head-tail connector protein [PF05135.16]				0	False	F
QGNH01001894.1_9	QGNH01001894.1	QGNH01001894.1	9	5247	5612	-1	E											0	False	
QGNH01001894.1_10	QGNH01001894.1	QGNH01001894.1	10	5676	7190	-1	E	YP_009819680.1	YP_009819680.1 major capsid protein [Arthrobacter phage Sonali]	False	160.0	7.454e-40	0.244		VOG10791	REFSEQ major capsid protein; Xu	Xu	0	False	
QGNH01001894.1_11	QGNH01001894.1	QGNH01001894.1	11	7412	8506	-1	E											0	False	F
QGNH01001894.1_12	QGNH01001894.1	QGNH01001894.1	12	8785	9084	-1	E											0	False	F
QGNH01001894.1_13	QGNH01001894.1	QGNH01001894.1	13	9177	9554	-1	E											0	False	F
QGNH01001894.1_14	QGNH01001894.1	QGNH01001894.1	14	9564	9755	-1	E											0	False	F
QGNH01001894.1_15	QGNH01001894.1	QGNH01001894.1	15	9707	9925	-1	E											0	False	F
QGNH01001894.1_16	QGNH01001894.1	QGNH01001894.1	16	9944	10267	-1	E											0	False	F
QGNH01001894.1_17	QGNH01001894.1	QGNH01001894.1	17	10270	11091	-1	D							CdiA C-terminal tRNase domain [PF18664.4]				0	False	F
QGNH01001894.1_18	QGNH01001894.1	QGNH01001894.1	18	11215	11757	-1	E											0	False	F
QGNH01001894.1_19	QGNH01001894.1	QGNH01001894.1	19	11770	13065	-1	D							Phage portal protein [PF04860.15]	VOG00344	sp|Q6QGD5|PORTL_BPT5 Portal protein; XhXpXrXs	Xh;Xr;Xp;Xs	0	False	VF
