	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01000298.1_1	QGNH01000298.1	QGNH01000298.1	1	3	416	-1	E							0	False	F
QGNH01000298.1_2	QGNH01000298.1	QGNH01000298.1	2	574	1005	-1	E							0	False	F
QGNH01000298.1_3	QGNH01000298.1	QGNH01000298.1	3	1009	1386	-1	E							0	False	F
QGNH01000298.1_4	QGNH01000298.1	QGNH01000298.1	4	1390	2214	-1	E							0	False	F
QGNH01000298.1_5	QGNH01000298.1	QGNH01000298.1	5	2249	2605	-1	E							0	False	F
QGNH01000298.1_6	QGNH01000298.1	QGNH01000298.1	6	2625	2900	-1	E							0	False	F
QGNH01000298.1_7	QGNH01000298.1	QGNH01000298.1	7	2969	3640	-1	E							0	False	F
QGNH01000298.1_8	QGNH01000298.1	QGNH01000298.1	8	3673	4710	-1	E							0	False	F
QGNH01000298.1_9	QGNH01000298.1	QGNH01000298.1	9	4733	5557	-1	E							0	False	F
QGNH01000298.1_10	QGNH01000298.1	QGNH01000298.1	10	5836	6027	-1	E							0	False	
QGNH01000298.1_11	QGNH01000298.1	QGNH01000298.1	11	5996	6436	-1	C	K06940	uncharacterized protein	Putative zinc- or iron-chelating domain [PF03692.18]				0	False	
QGNH01000298.1_12	QGNH01000298.1	QGNH01000298.1	12	6433	6699	-1	E							0	False	
QGNH01000298.1_13	QGNH01000298.1	QGNH01000298.1	13	6776	7315	-1	E							0	False	
QGNH01000298.1_14	QGNH01000298.1	QGNH01000298.1	14	7337	9502	-1	E							0	False	F
QGNH01000298.1_15	QGNH01000298.1	QGNH01000298.1	15	9499	9792	-1	E							0	False	F
QGNH01000298.1_16	QGNH01000298.1	QGNH01000298.1	16	9805	10782	-1	E							0	False	F
QGNH01000298.1_17	QGNH01000298.1	QGNH01000298.1	17	10796	11473	-1	E							0	False	F
QGNH01000298.1_18	QGNH01000298.1	QGNH01000298.1	18	11712	12257	-1	D			Helix-turn-helix of insertion element transposase [PF13022.9]	VOG00189	REFSEQ terminase small subunit; Xu	Xu	0	False	F
QGNH01000298.1_19	QGNH01000298.1	QGNH01000298.1	19	12651	13157	1	E							0	False	F
QGNH01000298.1_20	QGNH01000298.1	QGNH01000298.1	20	13204	13464	1	E							0	False	F
QGNH01000298.1_21	QGNH01000298.1	QGNH01000298.1	21	13480	14067	1	E							0	False	F
