	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001369.1_1	QGNH01001369.1	QGNH01001369.1	1	66	539	-1	E			YP_006987092.1	YP_006987092.1 endonuclease [Cronobacter phage vB_CsaM_GAP31]	False	0.497	143.0	1.684e-38						VOG00073	sp|Q5UPT5|YL246_MIMIV Uncharacterized protein L246; Xu	Xu	1	False	F
QGNH01001369.1_2	QGNH01001369.1	QGNH01001369.1	2	591	1070	-1	D									Protein of unknown function (DUF669) [PF05037.16]								0	False	F
QGNH01001369.1_3	QGNH01001369.1	QGNH01001369.1	3	1067	1954	-1	D									AAA domain [PF13479.9]					VOG00709	sp|O31907|YORG_BACSU SPbeta prophage-derived uncharacterized protein YorG; Xu	Xu	0	False	F
QGNH01001369.1_4	QGNH01001369.1	QGNH01001369.1	4	2100	2270	-1	E																	0	False	F
QGNH01001369.1_5	QGNH01001369.1	QGNH01001369.1	5	2257	2394	-1	E																	0	False	F
QGNH01001369.1_6	QGNH01001369.1	QGNH01001369.1	6	2398	2805	-1	E																	0	False	F
QGNH01001369.1_7	QGNH01001369.1	QGNH01001369.1	7	2807	3007	-1	E																	0	False	F
QGNH01001369.1_8	QGNH01001369.1	QGNH01001369.1	8	3040	3207	-1	E																	0	False	F
QGNH01001369.1_9	QGNH01001369.1	QGNH01001369.1	9	3518	4348	1	E																	0	False	F
QGNH01001369.1_10	QGNH01001369.1	QGNH01001369.1	10	4376	4654	1	E																	0	False	F
QGNH01001369.1_11	QGNH01001369.1	QGNH01001369.1	11	4654	4884	1	E																	0	False	F
QGNH01001369.1_12	QGNH01001369.1	QGNH01001369.1	12	4931	5299	1	D			YP_009100952.1	YP_009100952.1 putative VRR-nuclease [Idiomarinaceae phage 1N2-2]	False	0.467	88.0	7.98e-20	VRR-NUC domain [PF08774.14]					VOG00231	sp|Q9T1Q4|VP44_BPAPS Putative nuclease p44; Xu	Xu	0	False	F
QGNH01001369.1_13	QGNH01001369.1	QGNH01001369.1	13	5572	6123	1	D			YP_009291906.1	YP_009291906.1 endolysin [Acinetobacter phage LZ35]	False	0.283	77.0	4.477e-15	Glycosyl hydrolase 108 [PF05838.15]; Predicted Peptidoglycan domain [PF09374.13]	GH108	GH108 N-acetylmuramidase (EC 3.2.1.17)	3.2.1.17	GH108.hmm	VOG04462	REFSEQ endolysin; Xu	Xu	0	False	
QGNH01001369.1_14	QGNH01001369.1	QGNH01001369.1	14	6181	6393	1	E																	0	False	
QGNH01001369.1_15	QGNH01001369.1	QGNH01001369.1	15	6400	6735	-1	E														VOG06674	REFSEQ hypothetical protein; Xu	Xu	0	False	
QGNH01001369.1_16	QGNH01001369.1	QGNH01001369.1	16	6736	6909	-1	E																	0	False	
QGNH01001369.1_17	QGNH01001369.1	QGNH01001369.1	17	6912	7082	-1	E																	0	False	
QGNH01001369.1_18	QGNH01001369.1	QGNH01001369.1	18	7082	7258	-1	E																	0	False	
QGNH01001369.1_19	QGNH01001369.1	QGNH01001369.1	19	7258	7497	-1	E																	0	False	
QGNH01001369.1_20	QGNH01001369.1	QGNH01001369.1	20	7497	7640	-1	E																	0	False	
QGNH01001369.1_21	QGNH01001369.1	QGNH01001369.1	21	7750	7971	-1	E																	0	False	
QGNH01001369.1_22	QGNH01001369.1	QGNH01001369.1	22	7949	8191	-1	E																	0	False	
QGNH01001369.1_23	QGNH01001369.1	QGNH01001369.1	23	8204	8341	-1	E																	0	False	
QGNH01001369.1_24	QGNH01001369.1	QGNH01001369.1	24	8466	8645	-1	E																	0	False	
QGNH01001369.1_25	QGNH01001369.1	QGNH01001369.1	25	8638	8847	-1	E																	0	False	
QGNH01001369.1_26	QGNH01001369.1	QGNH01001369.1	26	8852	9163	-1	D									Restriction alleviation protein Lar [PF14354.9]								0	False	
QGNH01001369.1_27	QGNH01001369.1	QGNH01001369.1	27	9168	9461	-1	E																	0	False	
QGNH01001369.1_28	QGNH01001369.1	QGNH01001369.1	28	9458	9649	-1	E																	0	False	
QGNH01001369.1_29	QGNH01001369.1	QGNH01001369.1	29	9646	10104	-1	E																	0	False	
QGNH01001369.1_30	QGNH01001369.1	QGNH01001369.1	30	10046	10180	-1	E																	0	False	
QGNH01001369.1_31	QGNH01001369.1	QGNH01001369.1	31	10303	10464	-1	E																	0	False	
QGNH01001369.1_32	QGNH01001369.1	QGNH01001369.1	32	10406	10540	-1	E																	0	False	
QGNH01001369.1_33	QGNH01001369.1	QGNH01001369.1	33	10540	10791	-1	E																	1	False	
QGNH01001369.1_34	QGNH01001369.1	QGNH01001369.1	34	10792	10965	-1	E																	0	False	
QGNH01001369.1_35	QGNH01001369.1	QGNH01001369.1	35	10962	11162	-1	E																	0	False	
QGNH01001369.1_36	QGNH01001369.1	QGNH01001369.1	36	11334	11741	1	E																	0	False	
QGNH01001369.1_37	QGNH01001369.1	QGNH01001369.1	37	11710	11823	1	E																	0	False	
QGNH01001369.1_38	QGNH01001369.1	QGNH01001369.1	38	11836	12009	1	E																	0	False	
QGNH01001369.1_39	QGNH01001369.1	QGNH01001369.1	39	12009	12191	1	C	K07738	transcriptional repressor NrdR															0	False	
QGNH01001369.1_40	QGNH01001369.1	QGNH01001369.1	40	12194	13750	1	C	K06909	phage terminase large subunit	YP_009021018.1	YP_009021018.1 hypothetical protein DVVG_00034 [Dunaliella viridis virus SI2]	False	0.321	252.0	1.988e-70	Phage terminase large subunit [PF04466.16]					VOG00230	sp|O31952|YONF_BACSU SPbeta prophage-derived uncharacterized protein YonF; Xu	Xu	0	False	
QGNH01001369.1_41	QGNH01001369.1	QGNH01001369.1	41	13750	13971	1	E																	0	False	
QGNH01001369.1_42	QGNH01001369.1	QGNH01001369.1	42	14008	14382	1	E																	0	False	
QGNH01001369.1_43	QGNH01001369.1	QGNH01001369.1	43	14382	14756	1	E																	0	False	
QGNH01001369.1_44	QGNH01001369.1	QGNH01001369.1	44	14766	14906	1	E														VOG03878	REFSEQ hypothetical protein; Xu	Xu	0	False	
QGNH01001369.1_45	QGNH01001369.1	QGNH01001369.1	45	14903	15451	1	E																	0	False	
QGNH01001369.1_46	QGNH01001369.1	QGNH01001369.1	46	15393	15596	1	E																	0	False	
QGNH01001369.1_47	QGNH01001369.1	QGNH01001369.1	47	15613	15810	1	E																	0	False	
QGNH01001369.1_48	QGNH01001369.1	QGNH01001369.1	48	15823	16077	1	D									Protein of unknown function (DUF2829) [PF11195.11]								0	False	
QGNH01001369.1_49	QGNH01001369.1	QGNH01001369.1	49	16176	18371	1	D			YP_007518354.1	YP_007518354.1 portal protein [Vibrio phage VvAW1]	False	0.247	196.0	6.139e-50	Phage P22-like portal protein [PF16510.8]					VOG02069	sp|Q9T1S9|PORTL_BPAPS Portal protein; XhXpXrXs	Xs;Xh;Xr;Xp	0	False	V
QGNH01001369.1_50	QGNH01001369.1	QGNH01001369.1	50	18510	19319	1	E														VOG04366	REFSEQ head scaffolding protein; Xu	Xu	0	False	
QGNH01001369.1_51	QGNH01001369.1	QGNH01001369.1	51	19415	20626	1	D			YP_010676997.1	YP_010676997.1 major head protein [Shewanella phage X14]	False	0.26	142.0	1.382e-34	P22 coat protein - gene protein 5 [PF11651.11]								0	False	
QGNH01001369.1_52	QGNH01001369.1	QGNH01001369.1	52	20640	20903	1	E																	0	False	
QGNH01001369.1_53	QGNH01001369.1	QGNH01001369.1	53	20884	21072	1	E																	0	False	
QGNH01001369.1_54	QGNH01001369.1	QGNH01001369.1	54	21143	22186	1	E																	0	False	
QGNH01001369.1_55	QGNH01001369.1	QGNH01001369.1	55	22186	24072	1	D			YP_009222582.1	YP_009222582.1 head closure Hc3 [Rhodoferax phage P26218]	False	0.185	106.0	6.374999999999999e-22	Phage stabilisation protein [PF11134.11]					VOG10156	sp|P26749|VG10_BPP22 Packaged DNA stabilization protein gp10; Xh	Xh	0	False	
QGNH01001369.1_56	QGNH01001369.1	QGNH01001369.1	56	24077	24349	1	E																	0	False	
QGNH01001369.1_57	QGNH01001369.1	QGNH01001369.1	57	24362	25000	1	E																	0	False	
QGNH01001369.1_58	QGNH01001369.1	QGNH01001369.1	58	25002	26381	1	E																	0	False	
QGNH01001369.1_59	QGNH01001369.1	QGNH01001369.1	59	26384	27730	1	E																	0	False	
QGNH01001369.1_60	QGNH01001369.1	QGNH01001369.1	60	27764	29449	1	E			YP_002213727.1	YP_002213727.1 tail fiber protein [Ralstonia phage RSB1]	False	0.291	77.0	3.626e-13									0	False	F
QGNH01001369.1_61	QGNH01001369.1	QGNH01001369.1	61	29460	29747	1	E																	0	False	F
