	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_bitScore	viral_eVal	viral_identity	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001534.1_1	QGNH01001534.1	QGNH01001534.1	1	1	312	-1	E													0	False	F
QGNH01001534.1_2	QGNH01001534.1	QGNH01001534.1	2	314	442	-1	E													0	False	F
QGNH01001534.1_3	QGNH01001534.1	QGNH01001534.1	3	442	654	-1	E													0	False	F
QGNH01001534.1_4	QGNH01001534.1	QGNH01001534.1	4	615	809	-1	E													0	False	F
QGNH01001534.1_5	QGNH01001534.1	QGNH01001534.1	5	811	957	-1	E													0	False	F
QGNH01001534.1_6	QGNH01001534.1	QGNH01001534.1	6	959	1141	-1	E													0	False	F
QGNH01001534.1_7	QGNH01001534.1	QGNH01001534.1	7	1141	1563	-1	E													0	False	F
QGNH01001534.1_8	QGNH01001534.1	QGNH01001534.1	8	1565	3124	-1	E													0	False	F
QGNH01001534.1_9	QGNH01001534.1	QGNH01001534.1	9	3135	4289	-1	E													0	False	F
QGNH01001534.1_10	QGNH01001534.1	QGNH01001534.1	10	4293	4478	-1	E													0	False	F
QGNH01001534.1_11	QGNH01001534.1	QGNH01001534.1	11	4478	4876	-1	E													0	False	F
QGNH01001534.1_12	QGNH01001534.1	QGNH01001534.1	12	4880	5896	-1	E													0	False	F
QGNH01001534.1_13	QGNH01001534.1	QGNH01001534.1	13	5899	8034	-1	E										VOG06990	REFSEQ portal protein; Xu	Xu	0	False	
QGNH01001534.1_14	QGNH01001534.1	QGNH01001534.1	14	8064	10589	-1	E			YP_009222325.1	YP_009222325.1 terminase large subunit [Lactobacillus phage LfeInf]	False	81.0	4.489e-14	0.198		VOG07294	sp|Q05219|VG13_BPML5 Gene 13 protein; Xu	Xu	0	False	
QGNH01001534.1_15	QGNH01001534.1	QGNH01001534.1	15	10591	10995	-1	E													0	False	
QGNH01001534.1_16	QGNH01001534.1	QGNH01001534.1	16	11006	11314	-1	E													0	False	
QGNH01001534.1_17	QGNH01001534.1	QGNH01001534.1	17	11449	11634	1	E													0	False	
QGNH01001534.1_18	QGNH01001534.1	QGNH01001534.1	18	11609	11995	1	E													0	False	
QGNH01001534.1_19	QGNH01001534.1	QGNH01001534.1	19	12003	12293	-1	E													0	False	
QGNH01001534.1_20	QGNH01001534.1	QGNH01001534.1	20	12367	12561	-1	E													0	False	
QGNH01001534.1_21	QGNH01001534.1	QGNH01001534.1	21	12627	12833	-1	E													0	False	
QGNH01001534.1_22	QGNH01001534.1	QGNH01001534.1	22	12843	13052	-1	E													0	False	
QGNH01001534.1_23	QGNH01001534.1	QGNH01001534.1	23	13049	13309	-1	E													0	False	
QGNH01001534.1_24	QGNH01001534.1	QGNH01001534.1	24	13302	13754	-1	E													0	False	F
QGNH01001534.1_25	QGNH01001534.1	QGNH01001534.1	25	13741	13944	-1	E													0	False	F
QGNH01001534.1_26	QGNH01001534.1	QGNH01001534.1	26	13946	14176	-1	E													0	False	F
QGNH01001534.1_27	QGNH01001534.1	QGNH01001534.1	27	14173	14457	-1	E													0	False	F
QGNH01001534.1_28	QGNH01001534.1	QGNH01001534.1	28	14433	14729	-1	E													0	False	F
QGNH01001534.1_29	QGNH01001534.1	QGNH01001534.1	29	14737	15345	-1	E													0	False	F
QGNH01001534.1_30	QGNH01001534.1	QGNH01001534.1	30	15550	15702	-1	E													0	False	F
QGNH01001534.1_31	QGNH01001534.1	QGNH01001534.1	31	15838	16014	-1	E													0	False	F
QGNH01001534.1_32	QGNH01001534.1	QGNH01001534.1	32	16448	16630	1	E													0	False	F
QGNH01001534.1_33	QGNH01001534.1	QGNH01001534.1	33	17112	17291	1	C	K07339	mRNA interferase HicA [EC:3.1.-.-]											0	False	F
QGNH01001534.1_34	QGNH01001534.1	QGNH01001534.1	34	17384	17566	1	E													0	False	F
QGNH01001534.1_35	QGNH01001534.1	QGNH01001534.1	35	17647	17868	1	E													0	False	F
QGNH01001534.1_36	QGNH01001534.1	QGNH01001534.1	36	17967	18161	1	E													0	False	F
QGNH01001534.1_37	QGNH01001534.1	QGNH01001534.1	37	18300	18449	1	E													0	False	F
