	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01000082.1_1	QGNH01000082.1	QGNH01000082.1	1	1	846	1	D	YP_003987070.1	YP_003987070.1 uncharacterized hydrolase [Acanthamoeba polyphaga mimivirus]	False	0.311	111.0	1.149e-25	SbcC/RAD50-like, Walker B motif [PF13558.9]	VOG04616	REFSEQ exonuclease; Xu	Xu	0	False	F
QGNH01000082.1_2	QGNH01000082.1	QGNH01000082.1	2	888	3548	1	E											0	False	F
QGNH01000082.1_3	QGNH01000082.1	QGNH01000082.1	3	3609	4271	1	E											0	False	F
QGNH01000082.1_4	QGNH01000082.1	QGNH01000082.1	4	4238	5971	1	D	YP_010114608.1	YP_010114608.1 terminase large subunit [Flavobacterium phage vB_FspM_immuto_2-6A]	True	0.549	514.0	4.1260000000000003e-159	Terminase large subunit, T4likevirus-type, N-terminal [PF03237.18]	VOG00068	sp|P25479|VPP_BPP2 Terminase, ATPase subunit; XhXr	Xh;Xr	0	False	VF
QGNH01000082.1_5	QGNH01000082.1	QGNH01000082.1	5	5914	8025	1	D	YP_010114609.1	YP_010114609.1 capsid assembly protein [Flavobacterium phage vB_FspM_immuto_2-6A]	True	0.551	529.0	4.538e-162	Bacteriophage T4-like portal protein (Gp20) [PF07230.14]	VOG00778	sp|E1XTG6|PORTL_BPSAV Portal protein; XhXpXrXs	Xh;Xs;Xr;Xp	0	False	VF
QGNH01000082.1_6	QGNH01000082.1	QGNH01000082.1	6	8108	8767	1	E											0	False	F
QGNH01000082.1_7	QGNH01000082.1	QGNH01000082.1	7	8770	9675	1	E	YP_010114610.1	YP_010114610.1 hypothetical protein KNV73_gp073 [Flavobacterium phage vB_FspM_immuto_2-6A]	False	0.351	164.0	2.24e-43					0	False	F
QGNH01000082.1_8	QGNH01000082.1	QGNH01000082.1	8	9659	11869	1	E											0	False	F
QGNH01000082.1_9	QGNH01000082.1	QGNH01000082.1	9	11873	12196	1	E											0	False	F
QGNH01000082.1_10	QGNH01000082.1	QGNH01000082.1	10	12196	12573	1	E											0	False	F
