	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	heme_regulatory_motif_count
NC_047910_NC_047910_1	NC_047910	NC_047910	1	26	1579	-1	C	K06400	site-specific DNA recombinase								Resolvase, N terminal domain [PF00239.24]; Recombinase [PF07508.16]; Recombinase zinc beta ribbon domain [PF13408.9]					0
NC_047910_NC_047910_2	NC_047910	NC_047910	2	1617	2144	-1	D										Protein of unknown function (DUF4236) [PF14020.9]					0
NC_047910_NC_047910_3	NC_047910	NC_047910	3	2911	3078	1	E															0
NC_047910_NC_047910_4	NC_047910	NC_047910	4	3096	3296	1	E															0
NC_047910_NC_047910_5	NC_047910	NC_047910	5	3313	3642	1	E															0
NC_047910_NC_047910_6	NC_047910	NC_047910	6	3645	3935	1	E															0
NC_047910_NC_047910_7	NC_047910	NC_047910	7	3928	4146	1	E															0
NC_047910_NC_047910_8	NC_047910	NC_047910	8	4405	4896	1	E															0
NC_047910_NC_047910_9	NC_047910	NC_047910	9	4899	5258	1	E															0
NC_047910_NC_047910_10	NC_047910	NC_047910	10	5255	5650	1	E															0
NC_047910_NC_047910_11	NC_047910	NC_047910	11	5647	5916	1	E															0
NC_047910_NC_047910_12	NC_047910	NC_047910	12	5886	6164	1	E															0
NC_047910_NC_047910_13	NC_047910	NC_047910	13	6157	6486	1	E															0
NC_047910_NC_047910_14	NC_047910	NC_047910	14	6479	7831	1	D										SNF2-related domain [PF00176.26]; Type III restriction enzyme, res subunit [PF04851.18]					0
NC_047910_NC_047910_15	NC_047910	NC_047910	15	7828	8052	1	E															0
NC_047910_NC_047910_16	NC_047910	NC_047910	16	8045	8458	1	E															0
NC_047910_NC_047910_17	NC_047910	NC_047910	17	8580	9023	1	E															0
NC_047910_NC_047910_18	NC_047910	NC_047910	18	9023	9490	1	E															0
NC_047910_NC_047910_19	NC_047910	NC_047910	19	9508	10377	1	E															0
NC_047910_NC_047910_20	NC_047910	NC_047910	20	10496	13252	1	D										Domain of unknown function (DUF927) [PF06048.14]; Cch helix turn helix domain [PF18662.4]; CHC2 zinc finger [PF01807.23]					0
NC_047910_NC_047910_21	NC_047910	NC_047910	21	13580	13837	1	E															0
NC_047910_NC_047910_22	NC_047910	NC_047910	22	13839	14531	1	E															0
NC_047910_NC_047910_23	NC_047910	NC_047910	23	14537	15142	1	E															0
NC_047910_NC_047910_24	NC_047910	NC_047910	24	15124	15882	1	E															0
NC_047910_NC_047910_25	NC_047910	NC_047910	25	15876	16124	1	E															0
NC_047910_NC_047910_26	NC_047910	NC_047910	26	16121	16558	1	E															0
NC_047910_NC_047910_27	NC_047910	NC_047910	27	16539	16814	1	E															0
NC_047910_NC_047910_28	NC_047910	NC_047910	28	16811	17122	1	E															0
NC_047910_NC_047910_29	NC_047910	NC_047910	29	17088	17564	1	E															0
NC_047910_NC_047910_30	NC_047910	NC_047910	30	18283	19635	1	D										DNA methylase [PF01555.21]; ParB/Sulfiredoxin domain [PF02195.21]					0
NC_047910_NC_047910_31	NC_047910	NC_047910	31	19643	20260	1	E															0
