	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01000356.1_1	QGNH01000356.1	QGNH01000356.1	1	2	1090	-1	E					0	False	F
QGNH01000356.1_2	QGNH01000356.1	QGNH01000356.1	2	1092	1763	-1	E					0	False	F
QGNH01000356.1_3	QGNH01000356.1	QGNH01000356.1	3	1805	2029	-1	E					0	False	F
QGNH01000356.1_4	QGNH01000356.1	QGNH01000356.1	4	2039	2521	-1	E					0	False	F
QGNH01000356.1_5	QGNH01000356.1	QGNH01000356.1	5	2555	3808	-1	E					0	False	F
QGNH01000356.1_6	QGNH01000356.1	QGNH01000356.1	6	3914	5119	-1	E					0	False	F
QGNH01000356.1_7	QGNH01000356.1	QGNH01000356.1	7	5376	5561	-1	E					0	False	
QGNH01000356.1_8	QGNH01000356.1	QGNH01000356.1	8	5561	7594	-1	E					0	False	F
QGNH01000356.1_9	QGNH01000356.1	QGNH01000356.1	9	7581	7886	-1	E					0	False	F
QGNH01000356.1_10	QGNH01000356.1	QGNH01000356.1	10	7941	8150	1	E					0	False	F
QGNH01000356.1_11	QGNH01000356.1	QGNH01000356.1	11	8147	9442	-1	E		VOG07294	sp|Q05219|VG13_BPML5 Gene 13 protein; Xu	Xu	0	False	F
QGNH01000356.1_12	QGNH01000356.1	QGNH01000356.1	12	9558	9872	-1	E					0	False	F
QGNH01000356.1_13	QGNH01000356.1	QGNH01000356.1	13	9869	10294	-1	E					0	False	F
QGNH01000356.1_14	QGNH01000356.1	QGNH01000356.1	14	10448	10627	-1	E					0	False	F
QGNH01000356.1_15	QGNH01000356.1	QGNH01000356.1	15	10624	10938	-1	E					0	False	F
