	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	heme_regulatory_motif_count
NC_021343_NC_021343_1	NC_021343	NC_021343	1	1	75	-1	E											0
NC_021343_NC_021343_2	NC_021343	NC_021343	2	282	1139	1	D										dATP/dGTP pyrophosphohydrolase [PF04447.15]	0
NC_021343_NC_021343_3	NC_021343	NC_021343	3	1129	1449	1	E											0
NC_021343_NC_021343_4	NC_021343	NC_021343	4	1654	1884	1	E											0
NC_021343_NC_021343_5	NC_021343	NC_021343	5	1881	2786	1	C	K06223	DNA adenine methylase [EC:2.1.1.72]								D12 class N6 adenine-specific DNA methyltransferase [PF02086.18]	0
NC_021343_NC_021343_6	NC_021343	NC_021343	6	3019	3165	1	E											0
NC_021343_NC_021343_7	NC_021343	NC_021343	7	3394	3678	-1	E											0
NC_021343_NC_021343_8	NC_021343	NC_021343	8	3904	5910	1	D										Bacteriophage replication gene A protein (GPA) [PF05840.16]	0
NC_021343_NC_021343_9	NC_021343	NC_021343	9	5922	6200	1	D										Ogr/Delta-like zinc finger [PF04606.15]	0
NC_021343_NC_021343_10	NC_021343	NC_021343	10	6480	7406	1	C	K03497	ParB family transcriptional regulator, chromosome partitioning protein								ParB/Sulfiredoxin domain [PF02195.21]	0
NC_021343_NC_021343_11	NC_021343	NC_021343	11	7403	7921	1	E											0
NC_021343_NC_021343_12	NC_021343	NC_021343	12	7921	8037	1	E											0
NC_021343_NC_021343_13	NC_021343	NC_021343	13	8207	8596	-1	D										HicB family [PF05534.15]	0
NC_021343_NC_021343_14	NC_021343	NC_021343	14	8593	8847	-1	D										HicA toxin of bacterial toxin-antitoxin, [PF07927.15]	0
NC_021343_NC_021343_15	NC_021343	NC_021343	15	9262	10332	-1	E											0
NC_021343_NC_021343_16	NC_021343	NC_021343	16	10332	12149	-1	D										Terminase RNaseH-like domain [PF17289.5]; Putative ATPase subunit of terminase (gpP-like) [PF06056.15]	0
NC_021343_NC_021343_17	NC_021343	NC_021343	17	12304	13170	1	D			MER0322587	S73	MER0322587 - family S73 unassigned peptidases (Burkholderia glumae) [S73.UPW]#S73#{peptidase unit: 2-189}~source YP_002911566~	False	0.858	336.0	1.19e-102	Phage capsid scaffolding protein (GPO) serine peptidase [PF05929.14]	0
NC_021343_NC_021343_18	NC_021343	NC_021343	18	13216	14253	1	D										Phage major capsid protein, P2 family [PF05125.15]	0
NC_021343_NC_021343_19	NC_021343	NC_021343	19	14263	14961	1	D										Phage small terminase subunit [PF05944.15]	0
NC_021343_NC_021343_20	NC_021343	NC_021343	20	15058	15558	1	D										Phage head completion protein (GPL) [PF05926.14]	0
NC_021343_NC_021343_21	NC_021343	NC_021343	21	15558	15764	1	D										Phage Tail Protein X [PF05489.15]	0
NC_021343_NC_021343_22	NC_021343	NC_021343	22	15772	16215	1	E											0
NC_021343_NC_021343_23	NC_021343	NC_021343	23	16203	16607	1	D										LydA holin phage, holin superfamily III [PF16083.8]	0
NC_021343_NC_021343_24	NC_021343	NC_021343	24	16643	17092	1	C	K08640	zinc D-Ala-D-Ala carboxypeptidase [EC:3.4.17.14]	MER0181818	M15A	MER0181818 - subfamily M15A non-peptidase homologues (Burkholderia glumae) [M15.UNA]#M15A#{peptidase unit: 3-134}~source ACR28869~	False	0.911	254.0	1.267e-76	Peptidase M15 [PF08291.14]; Bacterial protein of unknown function (DUF882) [PF05951.16]	0
NC_021343_NC_021343_25	NC_021343	NC_021343	25	17366	17659	1	E											0
NC_021343_NC_021343_26	NC_021343	NC_021343	26	17656	18132	1	D										P2 phage tail completion protein R (GpR) [PF06891.14]	0
NC_021343_NC_021343_27	NC_021343	NC_021343	27	18129	18602	1	D										Phage virion morphogenesis family [PF05069.16]	0
NC_021343_NC_021343_28	NC_021343	NC_021343	28	18735	19451	1	D										Type VI secretion system/phage-baseplate injector OB domain [PF04717.15]	0
NC_021343_NC_021343_29	NC_021343	NC_021343	29	19451	19825	1	C	K06903	uncharacterized protein								Baseplate wedge protein gp25 [PF04965.17]	0
NC_021343_NC_021343_30	NC_021343	NC_021343	30	19822	20730	1	D										Baseplate J-like protein [PF04865.17]	0
NC_021343_NC_021343_31	NC_021343	NC_021343	31	20720	21265	1	D										Phage tail protein (Tail_P2_I) [PF09684.13]	0
NC_021343_NC_021343_32	NC_021343	NC_021343	32	21268	24627	1	E											0
NC_021343_NC_021343_33	NC_021343	NC_021343	33	24624	25049	1	D										Phage tail assembly chaperone protein [PF16778.8]	0
NC_021343_NC_021343_34	NC_021343	NC_021343	34	25100	25432	1	E											0
NC_021343_NC_021343_35	NC_021343	NC_021343	35	25500	26687	1	C	K06907	uncharacterized protein								Phage tail sheath protein subtilisin-like domain [PF04984.17]; Phage tail sheath C-terminal domain [PF17482.5]	0
NC_021343_NC_021343_36	NC_021343	NC_021343	36	26743	27252	1	C	K06908	uncharacterized protein								Phage tail tube protein FII [PF04985.17]	0
NC_021343_NC_021343_37	NC_021343	NC_021343	37	27306	27611	1	D										Phage tail assembly chaperone proteins, E, or 41 or 14 [PF10109.12]	0
NC_021343_NC_021343_38	NC_021343	NC_021343	38	27623	27742	1	D										Phage P2 GpE [PF06528.15]	0
NC_021343_NC_021343_39	NC_021343	NC_021343	39	27732	30671	1	E											0
NC_021343_NC_021343_40	NC_021343	NC_021343	40	30679	31185	1	C	K06906	uncharacterized protein								Phage P2 GpU [PF06995.14]	0
