	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	heme_regulatory_motif_count
NC_047995_NC_047995_1	NC_047995	NC_047995	1	1	1509	1	C	K02314	replicative DNA helicase [EC:5.6.2.3]	DnaB-like helicase C terminal domain [PF03796.18]					0
NC_047995_NC_047995_2	NC_047995	NC_047995	2	1519	1761	1	E								0
NC_047995_NC_047995_3	NC_047995	NC_047995	3	1754	2545	1	E								0
NC_047995_NC_047995_4	NC_047995	NC_047995	4	2532	5360	1	E								0
NC_047995_NC_047995_5	NC_047995	NC_047995	5	5400	5612	1	E								0
NC_047995_NC_047995_6	NC_047995	NC_047995	6	5620	7554	1	E								0
NC_047995_NC_047995_7	NC_047995	NC_047995	7	7554	7889	1	E								0
NC_047995_NC_047995_8	NC_047995	NC_047995	8	7886	8272	1	E								0
NC_047995_NC_047995_9	NC_047995	NC_047995	9	8235	8435	1	E								0
NC_047995_NC_047995_10	NC_047995	NC_047995	10	8435	8932	1	E								0
NC_047995_NC_047995_11	NC_047995	NC_047995	11	8929	9957	1	D			5'-3' exonuclease, N-terminal resolvase-like domain [PF02739.19]; 5'-3' exonuclease, C-terminal SAM fold [PF01367.23]					0
NC_047995_NC_047995_12	NC_047995	NC_047995	12	9967	10497	1	E								0
NC_047995_NC_047995_13	NC_047995	NC_047995	13	10497	11090	1	E								0
NC_047995_NC_047995_14	NC_047995	NC_047995	14	11106	11438	1	E								0
NC_047995_NC_047995_15	NC_047995	NC_047995	15	11444	12142	1	E								0
NC_047995_NC_047995_16	NC_047995	NC_047995	16	12150	12533	1	E								0
NC_047995_NC_047995_17	NC_047995	NC_047995	17	12575	13345	1	C	K15256	tRNA (cmo5U34)-methyltransferase [EC:2.1.1.-]						0
NC_047995_NC_047995_18	NC_047995	NC_047995	18	13357	14412	1	D			Domain of unknown function (DUF1611_C) P-loop domain [PF07755.14]; Domain of unknown function (DUF1611_N) Rossmann-like domain [PF17396.5]					0
NC_047995_NC_047995_19	NC_047995	NC_047995	19	14405	15274	1	D			Asparagine synthase [PF00733.24]					0
NC_047995_NC_047995_20	NC_047995	NC_047995	20	15276	15890	1	E								0
NC_047995_NC_047995_21	NC_047995	NC_047995	21	15909	16172	1	E								0
NC_047995_NC_047995_22	NC_047995	NC_047995	22	16180	16635	1	E								0
NC_047995_NC_047995_23	NC_047995	NC_047995	23	16632	16841	1	E								0
NC_047995_NC_047995_24	NC_047995	NC_047995	24	16873	17160	1	E								0
NC_047995_NC_047995_25	NC_047995	NC_047995	25	17232	17603	1	E								0
NC_047995_NC_047995_26	NC_047995	NC_047995	26	17606	18034	1	E								0
NC_047995_NC_047995_27	NC_047995	NC_047995	27	18260	19102	1	C	K06223	DNA adenine methylase [EC:2.1.1.72]	D12 class N6 adenine-specific DNA methyltransferase [PF02086.18]					0
NC_047995_NC_047995_28	NC_047995	NC_047995	28	19113	19799	1	E								0
NC_047995_NC_047995_29	NC_047995	NC_047995	29	19802	20278	1	E								0
NC_047995_NC_047995_30	NC_047995	NC_047995	30	20256	20666	1	E								0
NC_047995_NC_047995_31	NC_047995	NC_047995	31	20651	21172	1	D			Cytidine and deoxycytidylate deaminase zinc-binding region [PF00383.26]					0
NC_047995_NC_047995_32	NC_047995	NC_047995	32	21194	21868	1	E								0
NC_047995_NC_047995_33	NC_047995	NC_047995	33	21878	22360	1	E								0
NC_047995_NC_047995_34	NC_047995	NC_047995	34	22357	22521	1	E								0
NC_047995_NC_047995_35	NC_047995	NC_047995	35	22562	23101	1	E								0
NC_047995_NC_047995_36	NC_047995	NC_047995	36	23094	23690	1	E								0
NC_047995_NC_047995_37	NC_047995	NC_047995	37	23680	24333	1	E								0
NC_047995_NC_047995_38	NC_047995	NC_047995	38	24308	24652	1	E								0
NC_047995_NC_047995_39	NC_047995	NC_047995	39	24649	25029	1	E								0
NC_047995_NC_047995_40	NC_047995	NC_047995	40	24989	25333	1	E								0
NC_047995_NC_047995_41	NC_047995	NC_047995	41	25333	26430	1	C	K00560	thymidylate synthase [EC:2.1.1.45]	Thymidylate synthase [PF00303.22]					0
NC_047995_NC_047995_42	NC_047995	NC_047995	42	26427	27083	1	E								0
NC_047995_NC_047995_43	NC_047995	NC_047995	43	27083	27973	1	E								0
NC_047995_NC_047995_44	NC_047995	NC_047995	44	28022	28357	1	E								0
NC_047995_NC_047995_45	NC_047995	NC_047995	45	28400	29101	1	E								0
NC_047995_NC_047995_46	NC_047995	NC_047995	46	29103	31232	1	C	K00558	DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]	C-5 cytosine-specific DNA methylase [PF00145.20]; Pretoxin HINT domain [PF07591.14]; Intein splicing domain [PF14890.9]					0
NC_047995_NC_047995_47	NC_047995	NC_047995	47	31416	31565	1	E								0
NC_047995_NC_047995_48	NC_047995	NC_047995	48	31608	32174	1	E								0
NC_047995_NC_047995_49	NC_047995	NC_047995	49	32176	32343	1	E								0
NC_047995_NC_047995_50	NC_047995	NC_047995	50	32340	32753	1	E								0
NC_047995_NC_047995_51	NC_047995	NC_047995	51	32812	33468	1	E								0
NC_047995_NC_047995_52	NC_047995	NC_047995	52	33538	33876	1	E								0
NC_047995_NC_047995_53	NC_047995	NC_047995	53	33818	34270	1	E								0
NC_047995_NC_047995_54	NC_047995	NC_047995	54	34212	34601	1	E								0
NC_047995_NC_047995_55	NC_047995	NC_047995	55	34611	34796	1	E								0
NC_047995_NC_047995_56	NC_047995	NC_047995	56	34822	35289	1	E								0
NC_047995_NC_047995_57	NC_047995	NC_047995	57	35286	35486	1	E								0
NC_047995_NC_047995_58	NC_047995	NC_047995	58	35483	35887	1	C	K23398	activating signal cointegrator 1	ASCH domain [PF04266.17]					0
NC_047995_NC_047995_59	NC_047995	NC_047995	59	35881	36096	1	E								0
NC_047995_NC_047995_60	NC_047995	NC_047995	60	36143	36544	1	D			Domain of unknown function (DUF4326) [PF14216.9]					0
NC_047995_NC_047995_61	NC_047995	NC_047995	61	36492	37049	1	E								0
NC_047995_NC_047995_62	NC_047995	NC_047995	62	37052	37387	1	E								0
NC_047995_NC_047995_63	NC_047995	NC_047995	63	37384	37896	1	E								0
NC_047995_NC_047995_64	NC_047995	NC_047995	64	37886	38563	1	D			HD domain [PF13328.9]					0
NC_047995_NC_047995_65	NC_047995	NC_047995	65	38538	38912	1	E								0
NC_047995_NC_047995_66	NC_047995	NC_047995	66	38884	39267	1	E								0
NC_047995_NC_047995_67	NC_047995	NC_047995	67	39239	39877	1	E								0
NC_047995_NC_047995_68	NC_047995	NC_047995	68	39877	40224	1	E								0
NC_047995_NC_047995_69	NC_047995	NC_047995	69	40371	40718	1	E								0
NC_047995_NC_047995_70	NC_047995	NC_047995	70	40672	41400	1	E								0
NC_047995_NC_047995_71	NC_047995	NC_047995	71	41459	42148	1	E								0
NC_047995_NC_047995_72	NC_047995	NC_047995	72	42151	43113	1	E								0
NC_047995_NC_047995_73	NC_047995	NC_047995	73	43170	43634	-1	E								0
NC_047995_NC_047995_74	NC_047995	NC_047995	74	43631	43927	-1	E								0
NC_047995_NC_047995_75	NC_047995	NC_047995	75	43943	44245	-1	E								0
NC_047995_NC_047995_76	NC_047995	NC_047995	76	44275	44943	-1	E								0
NC_047995_NC_047995_77	NC_047995	NC_047995	77	44990	45229	-1	E								0
NC_047995_NC_047995_78	NC_047995	NC_047995	78	45265	45864	-1	E								0
NC_047995_NC_047995_79	NC_047995	NC_047995	79	45864	46775	-1	E								0
NC_047995_NC_047995_80	NC_047995	NC_047995	80	46787	47320	-1	E								0
NC_047995_NC_047995_81	NC_047995	NC_047995	81	47322	48383	-1	E								0
NC_047995_NC_047995_82	NC_047995	NC_047995	82	48454	48969	-1	E								0
NC_047995_NC_047995_83	NC_047995	NC_047995	83	48966	50057	-1	E								0
NC_047995_NC_047995_84	NC_047995	NC_047995	84	50059	50637	-1	E								0
NC_047995_NC_047995_85	NC_047995	NC_047995	85	50637	51536	-1	E								0
NC_047995_NC_047995_86	NC_047995	NC_047995	86	51536	51991	-1	E								0
NC_047995_NC_047995_87	NC_047995	NC_047995	87	51994	53082	-1	E								0
NC_047995_NC_047995_88	NC_047995	NC_047995	88	53084	54040	-1	E								0
NC_047995_NC_047995_89	NC_047995	NC_047995	89	54040	54537	-1	E								0
NC_047995_NC_047995_90	NC_047995	NC_047995	90	54594	55607	-1	E								0
NC_047995_NC_047995_91	NC_047995	NC_047995	91	55620	56675	-1	E								0
NC_047995_NC_047995_92	NC_047995	NC_047995	92	56691	57734	-1	E								0
NC_047995_NC_047995_93	NC_047995	NC_047995	93	57803	58384	-1	E								0
NC_047995_NC_047995_94	NC_047995	NC_047995	94	58396	58617	-1	E								0
NC_047995_NC_047995_95	NC_047995	NC_047995	95	58631	59563	-1	E								0
NC_047995_NC_047995_96	NC_047995	NC_047995	96	59577	60173	-1	E								0
NC_047995_NC_047995_97	NC_047995	NC_047995	97	60247	61869	-1	E								0
NC_047995_NC_047995_98	NC_047995	NC_047995	98	61893	62636	-1	E								0
NC_047995_NC_047995_99	NC_047995	NC_047995	99	62633	63139	-1	E								0
NC_047995_NC_047995_100	NC_047995	NC_047995	100	63145	63399	-1	E								0
NC_047995_NC_047995_101	NC_047995	NC_047995	101	63496	64317	-1	E								0
NC_047995_NC_047995_102	NC_047995	NC_047995	102	64395	65222	-1	E								0
NC_047995_NC_047995_103	NC_047995	NC_047995	103	65206	65682	-1	E								0
NC_047995_NC_047995_104	NC_047995	NC_047995	104	65685	66506	-1	D			Collagen triple helix repeat (20 copies) [PF01391.21]					0
NC_047995_NC_047995_105	NC_047995	NC_047995	105	66517	66720	-1	E								0
NC_047995_NC_047995_106	NC_047995	NC_047995	106	66730	69606	-1	E								0
NC_047995_NC_047995_107	NC_047995	NC_047995	107	69648	71666	-1	E								0
NC_047995_NC_047995_108	NC_047995	NC_047995	108	71676	72167	-1	D			Collagen triple helix repeat (20 copies) [PF01391.21]					0
NC_047995_NC_047995_109	NC_047995	NC_047995	109	72177	72809	-1	D			Collagen triple helix repeat (20 copies) [PF01391.21]					0
NC_047995_NC_047995_110	NC_047995	NC_047995	110	72809	74251	-1	D			Collagen triple helix repeat (20 copies) [PF01391.21]; Pretoxin HINT domain [PF07591.14]					0
NC_047995_NC_047995_111	NC_047995	NC_047995	111	74248	76587	-1	E								0
NC_047995_NC_047995_112	NC_047995	NC_047995	112	76673	81208	-1	E								0
NC_047995_NC_047995_113	NC_047995	NC_047995	113	81205	82668	-1	E								0
NC_047995_NC_047995_114	NC_047995	NC_047995	114	82670	83092	-1	E								0
NC_047995_NC_047995_115	NC_047995	NC_047995	115	83092	83382	-1	D			PAAR motif [PF05488.16]					0
NC_047995_NC_047995_116	NC_047995	NC_047995	116	83494	83652	-1	E								0
NC_047995_NC_047995_117	NC_047995	NC_047995	117	84726	86486	-1	D			KTSC and Metallopeptidase N-terminal fusion domain [PF20294.1]					0
NC_047995_NC_047995_118	NC_047995	NC_047995	118	86495	86929	-1	E								0
NC_047995_NC_047995_119	NC_047995	NC_047995	119	86926	87540	-1	C	K00943	dTMP kinase [EC:2.7.4.9]	Thymidylate kinase [PF02223.20]; AAA domain [PF13521.9]					0
NC_047995_NC_047995_120	NC_047995	NC_047995	120	87550	88038	-1	D			DNA repair protein MmcB-like [PF06319.15]					0
NC_047995_NC_047995_121	NC_047995	NC_047995	121	88028	88486	-1	D			NUDIX domain [PF00293.31]					0
NC_047995_NC_047995_122	NC_047995	NC_047995	122	88483	88986	-1	E								0
NC_047995_NC_047995_123	NC_047995	NC_047995	123	89028	89318	-1	E								0
NC_047995_NC_047995_124	NC_047995	NC_047995	124	89315	90040	-1	E								0
NC_047995_NC_047995_125	NC_047995	NC_047995	125	90051	90839	-1	D			Type VI secretion system/phage-baseplate injector OB domain [PF04717.15]					0
NC_047995_NC_047995_126	NC_047995	NC_047995	126	90836	92731	-1	E								0
NC_047995_NC_047995_127	NC_047995	NC_047995	127	92734	93198	-1	E								0
NC_047995_NC_047995_128	NC_047995	NC_047995	128	93198	93491	-1	E								0
NC_047995_NC_047995_129	NC_047995	NC_047995	129	93470	94285	-1	E								0
NC_047995_NC_047995_130	NC_047995	NC_047995	130	94298	96964	-1	E								0
NC_047995_NC_047995_131	NC_047995	NC_047995	131	96967	97809	-1	E								0
NC_047995_NC_047995_132	NC_047995	NC_047995	132	97809	98492	-1	E								0
NC_047995_NC_047995_133	NC_047995	NC_047995	133	98503	99015	-1	E								0
NC_047995_NC_047995_134	NC_047995	NC_047995	134	99018	99689	-1	D			KTSC and Metallopeptidase N-terminal fusion domain [PF20294.1]					0
NC_047995_NC_047995_135	NC_047995	NC_047995	135	99741	100250	-1	E								0
NC_047995_NC_047995_136	NC_047995	NC_047995	136	100262	101947	-1	D			Phage tail sheath protein subtilisin-like domain [PF04984.17]; Phage tail sheath C-terminal domain [PF17482.5]					0
NC_047995_NC_047995_137	NC_047995	NC_047995	137	102004	102348	-1	E								0
NC_047995_NC_047995_138	NC_047995	NC_047995	138	102348	103043	-1	E								0
NC_047995_NC_047995_139	NC_047995	NC_047995	139	103108	103509	-1	E								0
NC_047995_NC_047995_140	NC_047995	NC_047995	140	103562	104662	-1	E								0
NC_047995_NC_047995_141	NC_047995	NC_047995	141	104725	105432	-1	E								0
NC_047995_NC_047995_142	NC_047995	NC_047995	142	105484	107514	-1	E								0
NC_047995_NC_047995_143	NC_047995	NC_047995	143	107593	108789	-1	D			KTSC and Metallopeptidase N-terminal fusion domain [PF20294.1]					0
NC_047995_NC_047995_144	NC_047995	NC_047995	144	108789	109568	-1	E								0
NC_047995_NC_047995_145	NC_047995	NC_047995	145	109579	110001	-1	E								0
