	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_bitScore	viral_eVal	viral_identity	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001480.1_1	QGNH01001480.1	QGNH01001480.1	1	1	147	1	E															0	False	F
QGNH01001480.1_2	QGNH01001480.1	QGNH01001480.1	2	197	358	1	E															0	False	F
QGNH01001480.1_3	QGNH01001480.1	QGNH01001480.1	3	331	777	1	E															0	False	F
QGNH01001480.1_4	QGNH01001480.1	QGNH01001480.1	4	830	1729	1	E															0	False	F
QGNH01001480.1_5	QGNH01001480.1	QGNH01001480.1	5	1935	2798	1	D							Glycosyltransferase family 9 (heptosyltransferase) [PF01075.20]	GT9	GT9 lipopolysaccharide N-acetylglucosaminyltransferase (EC 2.4.1.56); heptosyltransferase (EC 2.4.-.-).	2.4.1.56,2.4.99.-	GT9.hmm				0	False	F
QGNH01001480.1_6	QGNH01001480.1	QGNH01001480.1	6	2980	3471	1	E															0	False	F
QGNH01001480.1_7	QGNH01001480.1	QGNH01001480.1	7	3484	3933	1	E															0	False	F
QGNH01001480.1_8	QGNH01001480.1	QGNH01001480.1	8	4043	4669	1	E															0	False	F
QGNH01001480.1_9	QGNH01001480.1	QGNH01001480.1	9	4750	5229	1	E															0	False	F
QGNH01001480.1_10	QGNH01001480.1	QGNH01001480.1	10	5434	7614	1	D	YP_009885083.1	YP_009885083.1 MutT/NUDIX hydrolase [Arthrobacter phage Mufasa8]	False	72.0	1.198e-11	0.2	Phage portal protein [PF04860.15]					VOG00344	sp|Q6QGD5|PORTL_BPT5 Portal protein; XhXpXrXs	Xh;Xr;Xp;Xs	0	False	V
QGNH01001480.1_11	QGNH01001480.1	QGNH01001480.1	11	7621	9135	1	E															0	False	
QGNH01001480.1_12	QGNH01001480.1	QGNH01001480.1	12	9172	10149	1	E															0	False	
QGNH01001480.1_13	QGNH01001480.1	QGNH01001480.1	13	10207	10686	1	E															0	False	
QGNH01001480.1_14	QGNH01001480.1	QGNH01001480.1	14	10696	11535	1	E															0	False	
QGNH01001480.1_15	QGNH01001480.1	QGNH01001480.1	15	11546	11881	1	E															0	False	
QGNH01001480.1_16	QGNH01001480.1	QGNH01001480.1	16	11878	12117	1	E															0	False	
QGNH01001480.1_17	QGNH01001480.1	QGNH01001480.1	17	12178	12423	1	E															0	False	
QGNH01001480.1_18	QGNH01001480.1	QGNH01001480.1	18	12433	12936	1	E															0	False	
QGNH01001480.1_19	QGNH01001480.1	QGNH01001480.1	19	12948	13427	1	E															0	False	
QGNH01001480.1_20	QGNH01001480.1	QGNH01001480.1	20	13438	14001	1	E															0	False	
QGNH01001480.1_21	QGNH01001480.1	QGNH01001480.1	21	14043	15143	1	E															0	False	
QGNH01001480.1_22	QGNH01001480.1	QGNH01001480.1	22	15196	15930	1	E															0	False	
QGNH01001480.1_23	QGNH01001480.1	QGNH01001480.1	23	15963	16352	1	E															0	False	
QGNH01001480.1_24	QGNH01001480.1	QGNH01001480.1	24	16524	21680	1	E															0	False	F
QGNH01001480.1_25	QGNH01001480.1	QGNH01001480.1	25	21702	22718	1	E															0	False	F
