	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_bitScore	viral_eVal	viral_identity	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001832.1_1	QGNH01001832.1	QGNH01001832.1	1	3	503	-1	D							Protein of unknown function (DUF3037) [PF11236.11]				0	False	F
QGNH01001832.1_2	QGNH01001832.1	QGNH01001832.1	2	706	945	-1	D							HipA-like kinase [PF20613.1]				0	False	F
QGNH01001832.1_3	QGNH01001832.1	QGNH01001832.1	3	1082	1528	-1	D							HipA-like kinase [PF20613.1]				0	False	F
QGNH01001832.1_4	QGNH01001832.1	QGNH01001832.1	4	1739	3253	-1	D	YP_009190560.1	YP_009190560.1 terminase [Shigella phage Ss-VASD]	False	141.0	2.001e-33	0.218	Terminase RNaseH-like domain [PF17289.5]	VOG07294	sp|Q05219|VG13_BPML5 Gene 13 protein; Xu	Xu	0	False	F
QGNH01001832.1_5	QGNH01001832.1	QGNH01001832.1	5	3461	4180	-1	E											0	False	F
QGNH01001832.1_6	QGNH01001832.1	QGNH01001832.1	6	4159	7434	-1	E											0	False	F
QGNH01001832.1_7	QGNH01001832.1	QGNH01001832.1	7	7582	8550	-1	E											0	False	F
QGNH01001832.1_8	QGNH01001832.1	QGNH01001832.1	8	8547	9053	-1	E											0	False	F
QGNH01001832.1_9	QGNH01001832.1	QGNH01001832.1	9	9113	9553	-1	E											0	False	F
QGNH01001832.1_10	QGNH01001832.1	QGNH01001832.1	10	9557	10180	-1	E											0	False	F
