	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
NC_031224_1	NC_031224	NC_031224	1	70	285	1	E			YP_009300690.1	YP_009300690.1 hypothetical protein BI184_gp01 [Arthrobacter phage Mudcat]	False	0.972	148.0	9.633e-42									VOG04836	REFSEQ hypothetical protein; Xu	Xu	0	False	F
NC_031224_2	NC_031224	NC_031224	2	371	568	-1	E			YP_009300691.1	YP_009300691.1 hypothetical protein BI184_gp02 [Arthrobacter phage Mudcat]	False	1.0	148.0	7.111e-42									VOG19730	REFSEQ hypothetical protein; Xu	Xu	0	False	F
NC_031224_3	NC_031224	NC_031224	3	735	1082	1	E			YP_009603092.1	YP_009603092.1 hypothetical protein FDH65_gp03 [Arthrobacter phage Circum]	False	0.881	213.0	1.819e-63									VOG17512	REFSEQ hypothetical protein; Xu	Xu	0	False	F
NC_031224_4	NC_031224	NC_031224	4	1075	1482	1	E			YP_009300693.1	YP_009300693.1 HNH endonuclease [Arthrobacter phage Mudcat]	False	1.0	294.0	2.64e-91												0	False	F
NC_031224_5	NC_031224	NC_031224	5	1504	2433	1	D			YP_009300694.1	YP_009300694.1 endolysin [Arthrobacter phage Mudcat]	True	0.994	651.0	2.131e-211	MER0247286	M23B	MER0247286 - subfamily M23B unassigned peptidases (Microbacterium testaceum) [M23.UPB]#M23B#{peptidase unit: 254-475}~source YP_004223928~	False	72.0	3.994e-12	0.295	Peptidase family M23 [PF01551.25]				0	False	PF
NC_031224_6	NC_031224	NC_031224	6	2459	2827	1	E			YP_009300695.1	YP_009300695.1 virion structural protein [Arthrobacter phage Mudcat]	False	0.983	255.0	5.321e-78									VOG17511	REFSEQ virion structural protein; Xu	Xu	0	False	F
NC_031224_7	NC_031224	NC_031224	7	2820	3827	1	E			YP_009300696.1	YP_009300696.1 hypothetical protein BI184_gp07 [Arthrobacter phage Mudcat]	True	0.925	650.0	9.884e-211									VOG19729	REFSEQ hypothetical protein; Xu	Xu	0	False	F
NC_031224_8	NC_031224	NC_031224	8	3848	5602	1	D			YP_009300697.1	YP_009300697.1 terminase [Arthrobacter phage Mudcat]	True	0.974	1200.0	0.0								Terminase large subunit, endonuclease domain [PF20441.1]; Terminase large subunit, ATPase domain [PF03354.18]	VOG07294	sp|Q05219|VG13_BPML5 Gene 13 protein; Xu	Xu	0	False	F
NC_031224_9	NC_031224	NC_031224	9	5611	6120	1	E			YP_009603098.1	YP_009603098.1 hypothetical protein FDH65_gp09 [Arthrobacter phage Circum]	False	0.917	326.0	1.063e-101									VOG01040	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_031224_10	NC_031224	NC_031224	10	6135	7445	1	D			YP_009300699.1	YP_009300699.1 portal protein [Arthrobacter phage Mudcat]	True	0.944	866.0	2.131e-283								Phage portal protein [PF04860.15]	VOG00344	sp|Q6QGD5|PORTL_BPT5 Portal protein; XhXpXrXs	Xr;Xs;Xh;Xp	0	False	V
NC_031224_11	NC_031224	NC_031224	11	7442	8053	1	E			YP_010666689.1	YP_010666689.1 hypothetical protein PQB81_gp010 [Arthrobacter phage Kardesai]	True	0.891	379.0	3.177e-119									VOG19731	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_031224_12	NC_031224	NC_031224	12	8037	10010	1	C	K06904	uncharacterized protein	YP_009300701.1	YP_009300701.1 head maturation protease [Arthrobacter phage Mudcat]	True	0.939	1296.0	0.0								Caudovirus prohead serine protease [PF04586.20]	VOG02260	sp|D3WAC5|CAPSD_BPLP2 Capsid protein; Xs	Xs	0	False	V
NC_031224_13	NC_031224	NC_031224	13	10030	10365	1	E			YP_010666792.1	YP_010666792.1 hypothetical protein PQB82_gp13 [Arthrobacter phage Dynamite]	False	0.987	233.0	1.095e-70									VOG17513	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_031224_14	NC_031224	NC_031224	14	10340	10642	1	E			YP_010666692.1	YP_010666692.1 hypothetical protein PQB81_gp013 [Arthrobacter phage Kardesai]	False	0.997	213.0	8.757e-64									VOG02216	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_031224_15	NC_031224	NC_031224	15	10655	11521	1	E			YP_010666100.1	YP_010666100.1 major tail protein [Arthrobacter phage Tribby]	True	0.968	589.0	2.462e-190									VOG00708	sp|O21879|TUBE_BPLSK Tail tube protein; XpXrXs	Xr;Xs;Xp	0	False	V
