	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
NC_008617_1	NC_008617	NC_008617	1	59	1096	-1	D			YP_908790.1	YP_908790.1 site-specific integrase [Staphylococcus phage phiNM3]	True	0.958	697	1.119e-226								Phage integrase family [PF00589.25]; Phage integrase SAM-like domain [PF13102.9]; Phage integrase, N-terminal SAM-like domain [PF14659.9]	VOG00056	sp|P22877|INTR_SACER Integrase; XhXr	Xh;Xr	0	False	VF
NC_008617_2	NC_008617	NC_008617	2	1155	1619	-1	E			YP_009002758.1	YP_009002758.1 lipoprotein [Staphylococcus phage StauST398-4]	False	0.829	265	6.6949999999999995e-81									VOG26612	REFSEQ lipoprotein; Xu	Xu	0	False	F
NC_008617_3	NC_008617	NC_008617	3	1719	1901	-1	E			YP_009002759.1	YP_009002759.1 hypothetical protein StauST398-4_0003 [Staphylococcus phage StauST398-4]	False	0.964	124	9.899e-34									VOG12808	REFSEQ hypothetical protein; Xu	Xu	0	False	F
NC_008617_4	NC_008617	NC_008617	4	2105	2446	-1	E			YP_009002760.1	YP_009002760.1 hypothetical protein StauST398-4_0004 [Staphylococcus phage StauST398-4]	False	0.939	225	1.2609999999999999e-67									VOG12807	REFSEQ hypothetical protein; Xu	Xu	0	False	F
NC_008617_5	NC_008617	NC_008617	5	2452	3384	-1	D			NP_803310.1	NP_803310.1 DNA polymerase exonuclease subunit [Staphylococcus phage phi 12]	True	0.957	626	9.392999999999999e-203								Exonuclease [PF00929.27]	VOG00088	sp|P04536|EXOD_BPT4 Exodeoxyribonuclease; Xu	Xu	0	False	F
NC_008617_6	NC_008617	NC_008617	6	3400	4113	-1	D			NP_803311.1	NP_803311.1 transcriptional regulator [Staphylococcus phage phi 12]	True	0.948	474	1.552e-151	MER0069541	S24	MER0069541 - irvR self-cleaving protein (Staphylococcus aureus) [S24.005]#S24#{peptidase unit: 113-237}~source ABD20756~	False	0.976	259.0	5.883e-77	Peptidase S24-like [PF00717.26]; Helix-turn-helix [PF01381.25]; Helix-turn-helix domain [PF12844.10]				0	False	PF
NC_008617_7	NC_008617	NC_008617	7	4246	4509	1	D			NP_803312.1	NP_803312.1 transcriptional repressor [Staphylococcus phage phi 12]	False	0.942	174	1.324e-50								Helix-turn-helix [PF01381.25]; Helix-turn-helix domain [PF12844.10]				0	False	F
NC_008617_8	NC_008617	NC_008617	8	4525	4740	1	D			YP_908797.1	YP_908797.1 transcriptional regulator [Staphylococcus phage phiNM3]	False	0.994	151	5.576e-43								Protein of unknown function (DUF2829) [PF11195.11]				0	False	F
NC_008617_9	NC_008617	NC_008617	9	4729	5058	-1	E			YP_009002764.1	YP_009002764.1 hypothetical protein StauST398-4_0008 [Staphylococcus phage StauST398-4]	False	0.929	214	3.842e-64									VOG12450	REFSEQ hypothetical protein; Xu	Xu	0	False	F
NC_008617_10	NC_008617	NC_008617	10	5109	5861	1	C	K07741	anti-repressor protein	YP_009002765.1	YP_009002765.1 anti-repressor [Staphylococcus phage StauST398-4]	True	0.965	510	9.911e-164								Phage antirepressor protein KilAC domain [PF03374.17]; AntA/AntB antirepressor [PF08346.15]	VOG00291	sp|P44193|Y1422_HAEIN Uncharacterized protein HI_1422; Xu	Xu	0	False	
NC_008617_11	NC_008617	NC_008617	11	5877	6074	1	E			YP_009002766.1	YP_009002766.1 hypothetical protein StauST398-4_0010 [Staphylococcus phage StauST398-4]	False	1.0	144	1.229e-40									VOG12805	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_008617_12	NC_008617	NC_008617	12	6105	6245	1	E			YP_009830208.1	YP_009830208.1 hypothetical protein HWA90_gp37 [Staphylococcus phage P630]	False	0.905	89	6.382e-22									VOG12804	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_008617_13	NC_008617	NC_008617	13	6260	6892	-1	E			YP_001429845.1	YP_001429845.1 hypothetical protein SPTP3101_p10 [Staphylococcus phage tp310-1]	True	0.955	424	1.072e-134									VOG15151	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_008617_14	NC_008617	NC_008617	14	6951	7271	1	D			YP_009835632.1	YP_009835632.1 DUF771 domain-containing protein [Staphylococcus phage phiSa2wa_st22]	False	1.0	226	2.5319999999999998e-68								Domain of unknown function (DUF771) [PF05595.14]	VOG00526	REFSEQ DUF771 domain-containing protein; Xu	Xu	0	False	
NC_008617_15	NC_008617	NC_008617	15	7524	7850	1	D			YP_009838426.1	YP_009838426.1 DUF2482 family protein [Staphylococcus phage SA1014ruMSSAST7]	False	0.94	215	1.945e-64								Hypothetical protein of unknown function (DUF2482) [PF10655.12]	VOG15156	REFSEQ DUF2482 family protein; Xu	Xu	0	False	
