	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_bitScore	viral_eVal	viral_identity	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001701.1_1	QGNH01001701.1	QGNH01001701.1	1	3	170	1	E											0	False	F
QGNH01001701.1_2	QGNH01001701.1	QGNH01001701.1	2	310	513	-1	E											0	False	F
QGNH01001701.1_3	QGNH01001701.1	QGNH01001701.1	3	743	949	1	E											0	False	F
QGNH01001701.1_4	QGNH01001701.1	QGNH01001701.1	4	946	2334	-1	D							C1q domain [PF00386.24]				0	False	F
QGNH01001701.1_5	QGNH01001701.1	QGNH01001701.1	5	2847	3233	-1	E											0	False	F
QGNH01001701.1_6	QGNH01001701.1	QGNH01001701.1	6	3190	3297	-1	E											0	False	F
QGNH01001701.1_7	QGNH01001701.1	QGNH01001701.1	7	3322	4302	-1	E											0	False	F
QGNH01001701.1_8	QGNH01001701.1	QGNH01001701.1	8	4374	6530	1	D							Phage P22-like portal protein [PF16510.8]	VOG02069	sp|Q9T1S9|PORTL_BPAPS Portal protein; XhXpXrXs	Xp;Xh;Xr;Xs	0	False	VF
QGNH01001701.1_9	QGNH01001701.1	QGNH01001701.1	9	6527	6742	1	E											0	False	
QGNH01001701.1_10	QGNH01001701.1	QGNH01001701.1	10	6702	6953	1	E											0	False	
QGNH01001701.1_11	QGNH01001701.1	QGNH01001701.1	11	7142	7624	-1	E											0	False	
QGNH01001701.1_12	QGNH01001701.1	QGNH01001701.1	12	7694	8461	1	E											0	False	F
QGNH01001701.1_13	QGNH01001701.1	QGNH01001701.1	13	8549	9499	1	E											0	False	F
QGNH01001701.1_14	QGNH01001701.1	QGNH01001701.1	14	9512	10525	1	E											0	False	F
QGNH01001701.1_15	QGNH01001701.1	QGNH01001701.1	15	10567	10947	1	E											0	False	F
QGNH01001701.1_16	QGNH01001701.1	QGNH01001701.1	16	10957	11490	1	E											0	False	F
QGNH01001701.1_17	QGNH01001701.1	QGNH01001701.1	17	11487	12506	1	E											0	False	F
QGNH01001701.1_18	QGNH01001701.1	QGNH01001701.1	18	12514	12801	1	E	YP_009310370.1	YP_009310370.1 hypothetical protein GMAR_ORF253 [Golden Marseillevirus]	False	61.0	7.797e-11	0.487		VOG16493	REFSEQ hypothetical protein; Xu	Xu	0	False	F
QGNH01001701.1_19	QGNH01001701.1	QGNH01001701.1	19	12798	13049	1	E											0	False	F
