locus_tag	ftype	length_bp	gene	EC_number	COG	product
OPBFHNOB_00001	CDS	222				hypothetical protein
OPBFHNOB_00002	CDS	279				hypothetical protein
OPBFHNOB_00003	CDS	108				hypothetical protein
OPBFHNOB_00004	CDS	621				Repeat element protein
OPBFHNOB_00005	CDS	126				hypothetical protein
OPBFHNOB_00006	CDS	255				hypothetical protein
OPBFHNOB_00007	CDS	552				hypothetical protein
OPBFHNOB_00008	CDS	126				hypothetical protein
OPBFHNOB_00009	CDS	387				hypothetical protein
OPBFHNOB_00010	CDS	240				hypothetical protein
OPBFHNOB_00011	CDS	300				hypothetical protein
OPBFHNOB_00012	CDS	396				Repeat element protein
OPBFHNOB_00013	CDS	234				hypothetical protein
OPBFHNOB_00014	CDS	393				hypothetical protein
OPBFHNOB_00015	CDS	198				hypothetical protein
OPBFHNOB_00016	CDS	714				Repeat element protein
