	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	pfam_hits	vogdb_categories	vogdb_id	vogdb_description	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001178.1_1	QGNH01001178.1	QGNH01001178.1	1	50	622	1	E													0	False	F
QGNH01001178.1_2	QGNH01001178.1	QGNH01001178.1	2	619	2241	1	D			YP_009882709.1	YP_009882709.1 TIR domain-containing protein [Klebsiella phage ST15-OXA48phi14.1]	False	0.415	118.0	4.4950000000000005e-26	TIR domain [PF13676.9]; SEFIR domain [PF08357.14]				0	False	F
QGNH01001178.1_3	QGNH01001178.1	QGNH01001178.1	3	2216	3364	1	E													0	False	F
QGNH01001178.1_4	QGNH01001178.1	QGNH01001178.1	4	3383	4099	1	E													0	False	F
QGNH01001178.1_5	QGNH01001178.1	QGNH01001178.1	5	4102	6987	1	C	K07445	putative DNA methylase	YP_007348254.1	YP_007348254.1 DNA methyltransferase [Sulfolobus virus STSV2]	False	0.188	115.0	2.629e-24	Protein of unknown function (DUF1156) [PF06634.15]				0	False	F
QGNH01001178.1_6	QGNH01001178.1	QGNH01001178.1	6	7166	9391	1	D									CHAT domain [PF12770.10]				0	False	
QGNH01001178.1_7	QGNH01001178.1	QGNH01001178.1	7	9388	12267	1	C	K07445	putative DNA methylase	YP_077205.1	YP_077205.1 DNA methyltransferase [Sulfolobus virus STSV1]	False	0.178	99.0	1.259e-19	Protein of unknown function (DUF1156) [PF06634.15]				0	False	
QGNH01001178.1_8	QGNH01001178.1	QGNH01001178.1	8	12273	14048	1	D									AAA ATPase domain [PF13175.9]; AAA domain, putative AbiEii toxin, Type IV TA system [PF13304.9]; RecF/RecN/SMC N terminal domain [PF02463.22]; AAA domain [PF13476.9]; AAA domain [PF13514.9]; P-loop containing region of AAA domain [PF13555.9]				0	False	F
QGNH01001178.1_9	QGNH01001178.1	QGNH01001178.1	9	14179	15102	1	C	K06922	uncharacterized protein							Swt1-like HEPN [PF18731.4]				0	False	F
QGNH01001178.1_10	QGNH01001178.1	QGNH01001178.1	10	15041	17554	1	C	K06922	uncharacterized protein							Protein of unknown function (DUF499) [PF04465.15]				0	False	F
