#GroupName	ProteinCount	SpeciesCount	FunctionalCategory	ConsensusFunctionalDescription
VOG00001	1635	42	Xh	sp|Q5UQJ2|YR863_MIMIV Putative ankyrin repeat protein R863
VOG00002	1273	996	Xu	sp|Q5UR40|YR559_MIMIV Uncharacterized HTH-type transcriptional regulator R559
VOG00003	369	80	Xh	sp|Q5UPJ9|YL122_MIMIV Putative ankyrin repeat protein L122
VOG00004	213	42	Xu	sp|Q91FD6|388R_IIV6 Putative MSV199 domain-containing protein 388R
VOG00005	629	74	Xh	sp|Q5UPF8|YL088_MIMIV Putative ankyrin repeat protein L88
VOG00006	312	14	Xu	sp|Q5UQL2|YL414_MIMIV Putative F-box and FNIP repeat-containing protein L414
VOG00007	893	715	XhXrXs	sp|P17766|POLG_PPVNA Genome polyprotein
VOG00008	1353	1040	Xr	sp|O22001|VXIS_BPMD2 Excisionase
VOG00009	151	108	Xu	sp|Q5UPT4|YL247_MIMIV Uncharacterized HNH endonuclease L247
VOG00010	269	75	Xu	REFSEQ 2OG-Fe(II) oxygenase
VOG00011	181	156	Xu	sp|P03795|Y28_BPT7 Protein 2.8
VOG00012	237	112	Xu	sp|P69037|FP25_NPVAC Protein FP25
VOG00013	123	91	Xh	sp|P07072|TEV2_BPT4 Intron-associated endonuclease 2
VOG00014	95	26	Xu	sp|Q91FA5|420R_IIV6 Putative MSV199 domain-containing protein 420R
VOG00015	106	53	Xu	sp|Q91FN5|289L_IIV6 Putative Bro-N domain-containing protein 289L
VOG00016	127	8	Xu	REFSEQ hypothetical protein
VOG00017	128	26	Xu	sp|Q8YTC2|Y2800_NOSS1 Uncharacterized WD repeat-containing protein alr2800
VOG00018	143	134	Xp	sp|P00641|ENDO_BPT7 Endonuclease I
VOG00019	541	501	Xu	sp|Q6QGG9|D5_BPT5 Putative transcription factor D5
VOG00020	277	274	XhXp	sp|Q8LTD0|SPAN2_BPP2 Probable spanin, outer lipoprotein subunit
VOG00021	803	418	Xh	sp|Q6QGD3|ENDO1_BPT5 Putative endonuclease
VOG00022	439	247	XrXs	sp|P16650|TGB1_PVSP Movement and silencing protein TGBp1
VOG00023	56	33	Xh	sp|Q5UNT1|YL673_MIMIV Putative serine/threonine-protein kinase L673
VOG00024	55	50	Xu	sp|P03796|Y77_BPT7 Protein 7.7
VOG00025	296	188	XhXr	sp|P03587|RDRP_TOML Replicase large subunit
VOG00026	55	38	Xh	sp|Q6QGD3|ENDO1_BPT5 Putative endonuclease
VOG00027	233	22	Xs	sp|F5HDC7|US22_HCMVM Tegument protein US22
VOG00028	89	8	Xu	REFSEQ hypothetical protein
VOG00029	151	29	Xu	REFSEQ putative virion structural protein
VOG00030	172	51	Xu	REFSEQ hypothetical protein
VOG00031	378	113	Xh	sp|B1XLW1|Y2658_SYNP2 PKHD-type hydroxylase SYNPCC7002_A2658
VOG00032	400	314	XhXpXrXs	sp|B9VUU3|POLG_HE71 Genome polyprotein
VOG00033	219	35	Xu	REFSEQ virion structural protein
VOG00034	54	23	XpXs	sp|Q9G0B5|FIB37_BPAR1 Long tail fiber protein Gp37
VOG00035	266	94	Xs	sp|A7U6E9|MCP_POV01 Major capsid protein
VOG00036	3115	2446	Xh	sp|P20703|UVSW_BPT4 ATP-dependent DNA helicase uvsW
VOG00037	54	34	Xh	sp|Q5UNT4|YL670_MIMIV Putative serine/threonine-protein kinase L670
VOG00038	1801	1423	Xh	sp|P00276|GLRX_BPT4 Glutaredoxin
VOG00039	126	118	Xu	sp|P14107|Y8K6_BPP22 Uncharacterized 8.6 kDa protein in ral-gp17 intergenic region
VOG00040	146	73	Xu	sp|Q5UQ39|YL796_MIMIV Uncharacterized protein L796
VOG00041	132	39	XhXp	sp|O72736|KBTB1_CWPXG Kelch repeat and BTB domain-containing protein 1
VOG00042	105	99	Xu	REFSEQ Lar-like restriction alleviation protein
VOG00043	191	165	Xu	REFSEQ hypothetical protein
VOG00044	42	23	Xu	sp|Q91FK9|315L_IIV6 Putative KilA-N domain-containing protein 315L
VOG00045	42	4	Xu	REFSEQ hypothetical protein
VOG00046	56	33	Xu	sp|Q5UP86|YL012_MIMIV Uncharacterized protein L12
VOG00047	618	309	Xh	sp|P41719|PK1_NPVHZ Serine/threonine-protein kinase 1
VOG00048	75	75	Xu	sp|Q9T1Q7|VP41_BPAPS Putative protein p41
VOG00049	55	8	Xu	REFSEQ hypothetical protein
VOG00050	76	48	Xu	REFSEQ hypothetical protein
VOG00051	35	30	Xu	REFSEQ HNH endonuclease
VOG00052	1031	1002	XhXr	sp|Q9CQ43|DUT_MOUSE Deoxyuridine 5'-triphosphate nucleotidohydrolase
VOG00053	734	733	Xu	sp|P13004|YLYS_BPPHV Uncharacterized protein near lysin gene (Fragment)
VOG00054	1562	1493	Xh	sp|P00452|RIR1_ECOLI Ribonucleoside-diphosphate reductase 1 subunit alpha
VOG00055	218	184	Xu	sp|A0A7H0DND1|PG160_MONPV DNA packaging protein OPG160
VOG00056	1281	775	XhXr	sp|P36279|REP_TLCVA Replication-associated protein
VOG00057	62	16	XhXs	sp|Q5UQ13|COLL2_MIMIV Collagen-like protein 2
VOG00058	129	66	Xu	REFSEQ DNA endonuclease V
VOG00059	1285	443	XhXpXrXs	sp|P13333|TUBE_BPT4 Tail tube protein gp19
VOG00060	57	11	Xh	sp|Q5UP39|YR873_MIMIV Putative ankyrin repeat protein R873
VOG00061	590	453	XhXpXrXs	sp|P03726|EXLYS_BPT7 Peptidoglycan transglycosylase gp16
VOG00062	778	774	Xu	REFSEQ hypothetical protein
VOG00063	162	150	Xu	sp|Q5UP18|YR865_MIMIV Uncharacterized protein R865
VOG00064	111	111	Xu	REFSEQ Rz-like spanin
VOG00065	405	402	XhXs	sp|Q6QGD9|HCP_BPT5 Head completion protein
VOG00066	1509	1423	XhXr	sp|P04520|PRIM_BPT4 DNA primase
VOG00067	68	67	Xh	sp|P34081|HMUI_BPSP1 DNA endonuclease I-HmuI
VOG00068	61	51	Xu	REFSEQ hypothetical protein
VOG00069	406	384	Xu	sp|P41039|YBII_ECOLI Uncharacterized protein YbiI
