L1	KO	Function	EC	Count
integration and excision	phrog_1	integrase		1
DNA, RNA and nucleotide metabolism	phrog_100	SbcD-like subunit of palindrome specific endonuclease		1
transcription regulation	phrog_101	CII-like transcriptional activator		1
head and packaging	phrog_1012	assembly (protein IV of M13)		1
other	phrog_10255	kinase		1
DNA, RNA and nucleotide metabolism	phrog_10276	DNA repair protein		1
tail	phrog_103	tail protein		1
DNA, RNA and nucleotide metabolism	phrog_10371	DNA helicase		1
other	phrog_1040	peptidase HslV family		1
tail	phrog_1047	tail associated lysin		1
DNA, RNA and nucleotide metabolism	phrog_107	exonuclease		1
DNA, RNA and nucleotide metabolism	phrog_1075	tRNA splicing ligase		1
transcription regulation	phrog_1076	FmdB-like transcriptional regulator		1
other	phrog_10912	kinase		1
tail	phrog_11	baseplate spike		1
moron, auxiliary metabolic gene and host takeover	phrog_1112	phosphoribosylaminoimidazole-succinocarboxamide synthase		1
DNA, RNA and nucleotide metabolism	phrog_11145	DNA binding protein		1
DNA, RNA and nucleotide metabolism	phrog_1139	DNA primase		1
other	phrog_11787	DNA methyltransferase		1
other	phrog_1185	nudix hydrolase		1
other	phrog_1198	MutT/NUDIX hydrolase		1
moron, auxiliary metabolic gene and host takeover	phrog_1207	phosphoribosylaminoimidazole synthetase		1
DNA, RNA and nucleotide metabolism	phrog_1211	2-aminooxy adenylosuccinate synthetase		1
moron, auxiliary metabolic gene and host takeover	phrog_1213	RelE-like toxin		1
DNA, RNA and nucleotide metabolism	phrog_12156	DNA helicase		1
head and packaging	phrog_1224	endolysin		1
other	phrog_12316	ATPase		1
other	phrog_1249	acetyltransferase		1
DNA, RNA and nucleotide metabolism	phrog_125	DNA invertase		1
lysis	phrog_126	holin/anti-holin		1
DNA, RNA and nucleotide metabolism	phrog_1268	DNA polymerase		1
tail	phrog_12925	tail protein		1
DNA, RNA and nucleotide metabolism	phrog_12965	DNA binding protein		1
transcription regulation	phrog_130	anti-repressor Ant		1
DNA, RNA and nucleotide metabolism	phrog_13076	endonuclease		1
other	phrog_1319	dehydrogenase		1
DNA, RNA and nucleotide metabolism	phrog_135	dUTPase		1
moron, auxiliary metabolic gene and host takeover	phrog_1358	FtsK/SpoIIIE-like protein		1
transcription regulation	phrog_1368	transcriptional regulator		1
moron, auxiliary metabolic gene and host takeover	phrog_1381	plasmid antitoxin with HTH domain		1
head and packaging	phrog_1383	virion structural protein		1
DNA, RNA and nucleotide metabolism	phrog_13933	nuclease		1
moron, auxiliary metabolic gene and host takeover	phrog_1395	quaternary ammonium compound-resistance protein QacE		1
other	phrog_13987	radical SAM domain-containing protein		1
transcription regulation	phrog_14147	transcriptional regulator		1
DNA, RNA and nucleotide metabolism	phrog_1423	Reverse transcriptase		1
DNA, RNA and nucleotide metabolism	phrog_144	HNH endonuclease		1
lysis	phrog_1493	endolysin		1
integration and excision	phrog_151	transposase		1
moron, auxiliary metabolic gene and host takeover	phrog_1550	QueC-like queuosine biosynthesis		1
other	phrog_15516	methyltransferase		1
integration and excision	phrog_157	transposase		1
DNA, RNA and nucleotide metabolism	phrog_159	RuvC-like Holliday junction resolvase		1
DNA, RNA and nucleotide metabolism	phrog_16	DNA helicase		1
DNA, RNA and nucleotide metabolism	phrog_160	thymidylate synthase		1
moron, auxiliary metabolic gene and host takeover	phrog_1601	Nol-like carbamoyltransferase		1
moron, auxiliary metabolic gene and host takeover	phrog_16249	ferredoxin		1
DNA, RNA and nucleotide metabolism	phrog_164	ParA-like partition protein		1
other	phrog_16448	ATPase		1
other	phrog_1649	metallo-phosphoesterase		1
DNA, RNA and nucleotide metabolism	phrog_1663	dCTP deaminase		1
tail	phrog_16641	tail fiber protein		1
DNA, RNA and nucleotide metabolism	phrog_168	clamp loader of DNA polymerase		1
moron, auxiliary metabolic gene and host takeover	phrog_16914	sporulation protein		1
DNA, RNA and nucleotide metabolism	phrog_17	DNA polymerase		1
other	phrog_170	PhoH-like phosphate starvation-inducible		1
DNA, RNA and nucleotide metabolism	phrog_174	dCMP deaminase		1
transcription regulation	phrog_1740	RNA polymerase sigma factor		1
moron, auxiliary metabolic gene and host takeover	phrog_1741	QueC-like queuosine biosynthesis		1
other	phrog_1758	acetyltransferase		1
lysis	phrog_1794	amidase		1
other	phrog_1802	radical SAM domain-containing protein		1
other	phrog_18111	ATPase		1
other	phrog_1815	guanylate kinase		1
other	phrog_18508	kinase		1
other	phrog_18609	kinase		1
other	phrog_18935	nitroreductase		1
