	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	heme_regulatory_motif_count
NC_028837_NC_028837_1	NC_028837	NC_028837	1	50	364	1	D										Phage terminase, small subunit [PF05119.15]	0
NC_028837_NC_028837_2	NC_028837	NC_028837	2	339	2069	1	D										Terminase large subunit, endonuclease domain [PF20441.1]; Terminase large subunit, ATPase domain [PF03354.18]	0
NC_028837_NC_028837_3	NC_028837	NC_028837	3	2084	3319	1	D										Phage portal protein [PF04860.15]	0
NC_028837_NC_028837_4	NC_028837	NC_028837	4	3309	4025	1	C	K01358	ATP-dependent Clp protease, protease subunit [EC:3.4.21.92]	MER1066596	S49A	MER1066596 - subfamily S49A unassigned non-peptidase homologues (Paenibacillus larvae) [S49.UNA]#S49A#{peptidase unit: 9-178}~source W2E9A0~	False	0.934	335.0	4.636999999999999e-103	Clp protease [PF00574.26]; Serine dehydrogenase proteinase [PF01972.19]	0
NC_028837_NC_028837_5	NC_028837	NC_028837	5	4022	5152	1	E											0
NC_028837_NC_028837_6	NC_028837	NC_028837	6	5305	5568	1	D										Phage gp6-like head-tail connector protein [PF05135.16]	0
NC_028837_NC_028837_7	NC_028837	NC_028837	7	5565	5882	1	D										Phage head-tail joining protein [PF05521.14]	0
NC_028837_NC_028837_8	NC_028837	NC_028837	8	5882	6310	1	E											0
NC_028837_NC_028837_9	NC_028837	NC_028837	9	6294	6689	1	D										Protein of unknown function (DUF3168) [PF11367.11]	0
NC_028837_NC_028837_10	NC_028837	NC_028837	10	6691	7128	1	D										Phage tail tube protein [PF06199.14]; Lambda phage tail tube protein, TTP [PF16461.8]	0
NC_028837_NC_028837_11	NC_028837	NC_028837	11	7125	7463	1	E											0
NC_028837_NC_028837_12	NC_028837	NC_028837	12	7490	7744	1	E											0
NC_028837_NC_028837_13	NC_028837	NC_028837	13	7801	10437	1	D										Phage-related minor tail protein [PF10145.12]	0
NC_028837_NC_028837_14	NC_028837	NC_028837	14	10434	11285	1	D										Phage tail protein [PF05709.14]	0
NC_028837_NC_028837_15	NC_028837	NC_028837	15	11288	12406	1	D										Siphovirus ReqiPepy6 Gp37-like protein [PF14594.9]	0
NC_028837_NC_028837_16	NC_028837	NC_028837	16	12412	13485	1	E											0
NC_028837_NC_028837_17	NC_028837	NC_028837	17	13495	13833	1	E											0
NC_028837_NC_028837_18	NC_028837	NC_028837	18	13830	13991	1	E											0
NC_028837_NC_028837_19	NC_028837	NC_028837	19	13969	14211	1	D										BhlA holin family [PF10960.11]	0
NC_028837_NC_028837_20	NC_028837	NC_028837	20	14208	14882	1	C	K01447	N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28]	MER0140977	M15C	MER0140977 - Ply500 L-Ala-D-Glu peptidase (Listeria monocytogenes) [M15.021]#M15C#{peptidase unit: 82-308}~source ACK40886~	False	0.546	89.0	1.851e-18	N-acetylmuramoyl-L-alanine amidase [PF01510.28]	0
NC_028837_NC_028837_21	NC_028837	NC_028837	21	14892	15134	1	D										Bacteriophage A118-like holin, Hol118 [PF06946.14]	0
NC_028837_NC_028837_22	NC_028837	NC_028837	22	15268	15459	1	E											0
NC_028837_NC_028837_23	NC_028837	NC_028837	23	15848	16555	1	D										Putative amidase domain [PF12671.10]	0
NC_028837_NC_028837_24	NC_028837	NC_028837	24	16591	17115	1	E											0
NC_028837_NC_028837_25	NC_028837	NC_028837	25	17445	18164	-1	C	K07497	putative transposase								Integrase core domain [PF13683.9]; Integrase core domain [PF13333.9]; HTH-like domain [PF13276.9]; Integrase core domain [PF00665.29]	0
NC_028837_NC_028837_26	NC_028837	NC_028837	26	18335	19018	-1	C	K07483	transposase								Helix-turn-helix domain [PF13518.9]; Transposase [PF01527.23]	0
NC_028837_NC_028837_27	NC_028837	NC_028837	27	19504	19707	-1	E											0
NC_028837_NC_028837_28	NC_028837	NC_028837	28	19709	20227	-1	E											0
NC_028837_NC_028837_29	NC_028837	NC_028837	29	20499	20753	1	D										YolD-like protein [PF08863.13]	0
NC_028837_NC_028837_30	NC_028837	NC_028837	30	20951	21640	-1	C	K07497	putative transposase								Integrase core domain [PF00665.29]; HTH-like domain [PF13276.9]	0
NC_028837_NC_028837_31	NC_028837	NC_028837	31	21646	21927	-1	C	K07483	transposase								Transposase [PF01527.23]	0
NC_028837_NC_028837_32	NC_028837	NC_028837	32	22411	22734	1	E											0
NC_028837_NC_028837_33	NC_028837	NC_028837	33	22841	23083	-1	D										Helix-turn-helix domain [PF12844.10]; Helix-turn-helix [PF01381.25]	0
NC_028837_NC_028837_34	NC_028837	NC_028837	34	23300	23557	1	D										Cro/C1-type HTH DNA-binding domain [PF13443.9]; Helix-turn-helix [PF01381.25]	0
NC_028837_NC_028837_35	NC_028837	NC_028837	35	23712	23858	1	E											0
NC_028837_NC_028837_36	NC_028837	NC_028837	36	23884	24624	1	D										Phage regulatory protein Rha (Phage_pRha) [PF09669.13]	0
NC_028837_NC_028837_37	NC_028837	NC_028837	37	24651	24869	1	E											0
NC_028837_NC_028837_38	NC_028837	NC_028837	38	24914	25162	1	E											0
NC_028837_NC_028837_39	NC_028837	NC_028837	39	25168	25431	1	E											0
NC_028837_NC_028837_40	NC_028837	NC_028837	40	25458	26216	1	C	K07741	anti-repressor protein								Phage antirepressor protein KilAC domain [PF03374.17]; BRO family, N-terminal domain [PF02498.20]	0
NC_028837_NC_028837_41	NC_028837	NC_028837	41	26213	26692	1	E											0
NC_028837_NC_028837_42	NC_028837	NC_028837	42	26667	26930	1	E											0
NC_028837_NC_028837_43	NC_028837	NC_028837	43	26935	27225	1	E											0
NC_028837_NC_028837_44	NC_028837	NC_028837	44	27209	28741	1	D										RecF/RecN/SMC N terminal domain [PF02463.22]; AAA ATPase domain [PF13175.9]; AAA domain [PF13476.9]	0
NC_028837_NC_028837_45	NC_028837	NC_028837	45	28728	28925	1	E											0
NC_028837_NC_028837_46	NC_028837	NC_028837	46	28928	29830	1	C	K07455	recombination protein RecT								RecT family [PF03837.17]	0
NC_028837_NC_028837_47	NC_028837	NC_028837	47	29843	30601	1	D										Beta-lactamase superfamily domain [PF12706.10]; Metallo-beta-lactamase superfamily [PF00753.30]; Metallo-beta-lactamase superfamily domain [PF16661.8]	0
NC_028837_NC_028837_48	NC_028837	NC_028837	48	30598	30912	1	E											0
NC_028837_NC_028837_49	NC_028837	NC_028837	49	30926	31756	1	E											0
NC_028837_NC_028837_50	NC_028837	NC_028837	50	31722	33044	1	C	K02314	replicative DNA helicase [EC:5.6.2.3]								DnaB-like helicase C terminal domain [PF03796.18]; DnaB-like helicase N terminal domain [PF00772.24]; AAA domain [PF13481.9]	0
NC_028837_NC_028837_51	NC_028837	NC_028837	51	33047	33352	1	E											0
NC_028837_NC_028837_52	NC_028837	NC_028837	52	33363	34400	1	C	K00558	DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]								C-5 cytosine-specific DNA methylase [PF00145.20]	0
NC_028837_NC_028837_53	NC_028837	NC_028837	53	34414	34596	1	E											0
NC_028837_NC_028837_54	NC_028837	NC_028837	54	34708	34923	1	E											0
