L1	L2	L3	KO	Function	EC	Count
Metabolism	Carbohydrate metabolism	Propanoate metabolism [PATH:ko00640]	K00005	gldA; glycerol dehydrogenase	1.1.1.6	1
Metabolism	Lipid metabolism	Glycerolipid metabolism [PATH:ko00561]	K00005	gldA; glycerol dehydrogenase	1.1.1.6	1
Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions [PATH:ko00040]	K00008	SORD, gutB; L-iditol 2-dehydrogenase	1.1.1.14	1
Metabolism	Carbohydrate metabolism	Fructose and mannose metabolism [PATH:ko00051]	K00008	SORD, gutB; L-iditol 2-dehydrogenase	1.1.1.14	1
Metabolism	Carbohydrate metabolism	Fructose and mannose metabolism [PATH:ko00051]	K00009	mtlD; mannitol-1-phosphate 5-dehydrogenase	1.1.1.17	1
Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions [PATH:ko00040]	K00012	UGDH, ugd; UDPglucose 6-dehydrogenase	1.1.1.22	1
Metabolism	Carbohydrate metabolism	Ascorbate and aldarate metabolism [PATH:ko00053]	K00012	UGDH, ugd; UDPglucose 6-dehydrogenase	1.1.1.22	1
Metabolism	Carbohydrate metabolism	Amino sugar and nucleotide sugar metabolism [PATH:ko00520]	K00012	UGDH, ugd; UDPglucose 6-dehydrogenase	1.1.1.22	1
Metabolism	Glycan biosynthesis and metabolism	O-Antigen nucleotide sugar biosynthesis [PATH:ko00541]	K00012	UGDH, ugd; UDPglucose 6-dehydrogenase	1.1.1.22	1
Metabolism	Amino acid metabolism	Histidine metabolism [PATH:ko00340]	K00013	hisD; histidinol dehydrogenase	1.1.1.23	1
Metabolism	Amino acid metabolism	Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:ko00400]	K00014	aroE; shikimate dehydrogenase	1.1.1.25	1
Metabolism	Carbohydrate metabolism	Glyoxylate and dicarboxylate metabolism [PATH:ko00630]	K00015	gyaR, GOR1; glyoxylate reductase	1.1.1.26	1
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis [PATH:ko00010]	K00016	LDH, ldh; L-lactate dehydrogenase	1.1.1.27	1
Metabolism	Carbohydrate metabolism	Pyruvate metabolism [PATH:ko00620]	K00016	LDH, ldh; L-lactate dehydrogenase	1.1.1.27	1
Metabolism	Carbohydrate metabolism	Propanoate metabolism [PATH:ko00640]	K00016	LDH, ldh; L-lactate dehydrogenase	1.1.1.27	1
Metabolism	Amino acid metabolism	Cysteine and methionine metabolism [PATH:ko00270]	K00016	LDH, ldh; L-lactate dehydrogenase	1.1.1.27	1
