	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01000915.1_1	QGNH01000915.1	QGNH01000915.1	1	1	144	1	D														Phage minor tail protein L [PF05100.15]				0	False	F
QGNH01000915.1_2	QGNH01000915.1	QGNH01000915.1	2	147	878	1	D	YP_010648441.1	YP_010648441.1 C40 family peptidase [Aeromonas phage pAEv1818]	False	0.266	91.0	2.619e-19	MER0905001	M67B	MER0905001 - subfamily M67B unassigned peptidases (Pectobacterium carotovorum) [M67.UPB]#M67B#{peptidase unit: 1-86}~source A0A0B2T189~	False	0.471	64.0	5.637e-10	Prokaryotic homologs of the JAB domain [PF14464.9]; NlpC/P60 family [PF00877.22]				0	False	PF
QGNH01000915.1_3	QGNH01000915.1	QGNH01000915.1	3	875	1618	1	D	YP_005098336.1	YP_005098336.1 minor tail protein [Synechococcus phage S-CBS4]	False	0.291	105.0	6.2379999999999996e-24	MER0453500	C40	MER0453500 - family C40 unassigned peptidases (Acinetobacter baumannii) [C40.UPW]#C40#{peptidase unit: 127-241}~source EGU01823~	False	0.33	66.0	1.008e-10	Prokaryotic homologs of the JAB domain [PF14464.9]				0	False	PF
QGNH01000915.1_4	QGNH01000915.1	QGNH01000915.1	4	1615	2052	1	E																		0	False	F
QGNH01000915.1_5	QGNH01000915.1	QGNH01000915.1	5	2007	2384	1	E																		0	False	F
QGNH01000915.1_6	QGNH01000915.1	QGNH01000915.1	6	2386	4050	1	D	YP_009836203.1	YP_009836203.1 tail protein [Pseudomonas phage PMBT14]	False	0.343	301.0	1.994e-86								Putative phage tail protein [PF13550.9]				0	False	F
QGNH01000915.1_7	QGNH01000915.1	QGNH01000915.1	7	4266	6269	1	E																		0	False	F
QGNH01000915.1_8	QGNH01000915.1	QGNH01000915.1	8	6233	6817	1	E																		0	False	
QGNH01000915.1_9	QGNH01000915.1	QGNH01000915.1	9	7145	7420	1	E																		0	False	
QGNH01000915.1_10	QGNH01000915.1	QGNH01000915.1	10	7441	8220	1	E																		0	False	
QGNH01000915.1_11	QGNH01000915.1	QGNH01000915.1	11	8258	8821	1	D	YP_007010936.1	YP_007010936.1 HNH endonuclease [Deep-sea thermophilic phage D6E]	False	0.383	123.0	9.702e-31								NUMOD4 motif [PF07463.14]	VOG00302	sp|Q5UPT6|YL245_MIMIV Uncharacterized HNH endonuclease L245; Xu	Xu	0	False	
QGNH01000915.1_12	QGNH01000915.1	QGNH01000915.1	12	8823	10511	-1	E																		0	False	F
QGNH01000915.1_13	QGNH01000915.1	QGNH01000915.1	13	10647	11648	-1	E																		0	False	F
QGNH01000915.1_14	QGNH01000915.1	QGNH01000915.1	14	11614	14976	-1	D	YP_009905444.1	YP_009905444.1 tail length tape measure protein [Lactococcus phage AM4]	False	0.239	94.0	4.368e-18								Phage-related minor tail protein [PF10145.12]				0	False	F
