	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_bitScore	viral_eVal	viral_identity	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01000742.1_1	QGNH01000742.1	QGNH01000742.1	1	3	1661	1	E											0	False	F
QGNH01000742.1_2	QGNH01000742.1	QGNH01000742.1	2	1745	6550	1	E											0	False	F
QGNH01000742.1_3	QGNH01000742.1	QGNH01000742.1	3	6563	11713	1	E											0	False	
QGNH01000742.1_4	QGNH01000742.1	QGNH01000742.1	4	12297	12935	1	E											0	False	
QGNH01000742.1_5	QGNH01000742.1	QGNH01000742.1	5	12964	13368	1	E											0	False	
QGNH01000742.1_6	QGNH01000742.1	QGNH01000742.1	6	13378	13779	1	E											0	False	
QGNH01000742.1_7	QGNH01000742.1	QGNH01000742.1	7	13776	15002	1	D							Baseplate J-like protein [PF04865.17]	VOG00521	sp|P51767|BPJ_BPP2 Baseplate protein J; XhXs	Xs;Xh	0	False	V
QGNH01000742.1_8	QGNH01000742.1	QGNH01000742.1	8	15003	16535	1	E											0	False	
QGNH01000742.1_9	QGNH01000742.1	QGNH01000742.1	9	16538	17158	1	E											0	False	
QGNH01000742.1_10	QGNH01000742.1	QGNH01000742.1	10	17165	19825	1	E											0	False	F
QGNH01000742.1_11	QGNH01000742.1	QGNH01000742.1	11	19853	21295	1	E											0	False	F
QGNH01000742.1_12	QGNH01000742.1	QGNH01000742.1	12	21295	22830	1	E	YP_001429655.1	YP_001429655.1 virion structural protein [Bacillus phage 0305phi8-36]	False	68.0	1.414e-10	0.334					0	False	F
QGNH01000742.1_13	QGNH01000742.1	QGNH01000742.1	13	22831	23355	1	E											0	False	F
QGNH01000742.1_14	QGNH01000742.1	QGNH01000742.1	14	23360	24436	1	E											0	False	F
