	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	heme_regulatory_motif_count
NC_051672_NC_051672_1	NC_051672	NC_051672	1	3	110	-1	E											0
NC_051672_NC_051672_2	NC_051672	NC_051672	2	112	567	1	E											0
NC_051672_NC_051672_3	NC_051672	NC_051672	3	599	2212	1	D										Terminase large subunit, ATPase domain [PF03354.18]	0
NC_051672_NC_051672_4	NC_051672	NC_051672	4	2243	3601	1	D										Phage portal protein, SPP1 Gp6-like [PF05133.17]	0
NC_051672_NC_051672_5	NC_051672	NC_051672	5	3588	4343	1	E											0
NC_051672_NC_051672_6	NC_051672	NC_051672	6	4428	5021	1	E											0
NC_051672_NC_051672_7	NC_051672	NC_051672	7	5040	5861	1	D										P22 coat protein - gene protein 5 [PF11651.11]	0
NC_051672_NC_051672_8	NC_051672	NC_051672	8	5870	6439	1	E											0
NC_051672_NC_051672_9	NC_051672	NC_051672	9	6436	6765	1	E											0
NC_051672_NC_051672_10	NC_051672	NC_051672	10	6772	7098	1	D										Bacteriophage HK97-gp10, putative tail-component [PF04883.15]	0
NC_051672_NC_051672_11	NC_051672	NC_051672	11	7088	7492	1	E											0
NC_051672_NC_051672_12	NC_051672	NC_051672	12	7603	8412	1	E											0
NC_051672_NC_051672_13	NC_051672	NC_051672	13	8532	9083	1	E											0
NC_051672_NC_051672_14	NC_051672	NC_051672	14	9034	9468	1	E											0
NC_051672_NC_051672_15	NC_051672	NC_051672	15	9486	13124	1	D										Tape measure protein [PF20155.2]	0
NC_051672_NC_051672_16	NC_051672	NC_051672	16	13125	14834	1	E											0
NC_051672_NC_051672_17	NC_051672	NC_051672	17	14921	16141	1	E											0
NC_051672_NC_051672_18	NC_051672	NC_051672	18	16154	16684	1	E											0
NC_051672_NC_051672_19	NC_051672	NC_051672	19	16741	17571	1	E											0
NC_051672_NC_051672_20	NC_051672	NC_051672	20	17568	20060	1	E											0
NC_051672_NC_051672_21	NC_051672	NC_051672	21	20057	22891	1	C	K01286	D-alanyl-D-alanine carboxypeptidase [EC:3.4.16.4]	MER0137294	S12	MER0137294 - family S12 unassigned peptidases () [S12.UPW]#S12#{peptidase unit: 77-415}~source ACF34194~	True	454.0	3.255e-133	0.67	Beta-lactamase [PF00144.27]	0
NC_051672_NC_051672_22	NC_051672	NC_051672	22	22891	23838	1	E											0
NC_051672_NC_051672_23	NC_051672	NC_051672	23	23904	24335	1	E											0
NC_051672_NC_051672_24	NC_051672	NC_051672	24	24647	24943	1	E											0
NC_051672_NC_051672_25	NC_051672	NC_051672	25	25093	25254	1	E											0
NC_051672_NC_051672_26	NC_051672	NC_051672	26	25254	27233	1	D										GDSL-like Lipase/Acylhydrolase family [PF13472.9]	0
NC_051672_NC_051672_27	NC_051672	NC_051672	27	27304	27537	1	E											0
NC_051672_NC_051672_28	NC_051672	NC_051672	28	27534	28727	1	C	K01447	N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28]									0
NC_051672_NC_051672_29	NC_051672	NC_051672	29	28727	29728	1	D										Cutinase [PF01083.25]; PE-PPE domain [PF08237.14]	0
NC_051672_NC_051672_30	NC_051672	NC_051672	30	29742	29975	1	D										Putative lactococcus lactis phage r1t holin [PF16945.8]	0
NC_051672_NC_051672_31	NC_051672	NC_051672	31	29972	30346	1	D										Protein of unknown function (DUF2746) [PF10874.11]	0
NC_051672_NC_051672_32	NC_051672	NC_051672	32	30370	30603	1	E											0
NC_051672_NC_051672_33	NC_051672	NC_051672	33	30590	31411	1	D										RNase_H superfamily [PF13482.9]	0
NC_051672_NC_051672_34	NC_051672	NC_051672	34	31468	31719	1	E											0
NC_051672_NC_051672_35	NC_051672	NC_051672	35	31712	31804	1	E											0
NC_051672_NC_051672_36	NC_051672	NC_051672	36	31846	31998	-1	E											0
NC_051672_NC_051672_37	NC_051672	NC_051672	37	31998	32339	-1	E											0
NC_051672_NC_051672_38	NC_051672	NC_051672	38	32339	32506	-1	E											0
NC_051672_NC_051672_39	NC_051672	NC_051672	39	32506	32742	-1	E											0
NC_051672_NC_051672_40	NC_051672	NC_051672	40	32744	32941	-1	D										Transposase [PF01710.19]	0
NC_051672_NC_051672_41	NC_051672	NC_051672	41	32941	33153	-1	E											0
NC_051672_NC_051672_42	NC_051672	NC_051672	42	33655	34944	1	D										Phage integrase family [PF00589.25]; Phage integrase, N-terminal SAM-like domain [PF14659.9]	0
NC_051672_NC_051672_43	NC_051672	NC_051672	43	35021	35434	-1	E											0
NC_051672_NC_051672_44	NC_051672	NC_051672	44	35737	36477	-1	E											0
NC_051672_NC_051672_45	NC_051672	NC_051672	45	36769	37635	1	C	K14623	DNA-damage-inducible protein D									0
NC_051672_NC_051672_46	NC_051672	NC_051672	46	37695	38213	1	E											0
NC_051672_NC_051672_47	NC_051672	NC_051672	47	38210	38509	1	E											0
NC_051672_NC_051672_48	NC_051672	NC_051672	48	38506	38721	1	E											0
NC_051672_NC_051672_49	NC_051672	NC_051672	49	38718	38810	1	E											0
NC_051672_NC_051672_50	NC_051672	NC_051672	50	38807	39004	1	E											0
NC_051672_NC_051672_51	NC_051672	NC_051672	51	39001	39192	1	E											0
NC_051672_NC_051672_52	NC_051672	NC_051672	52	39189	39803	1	E											0
NC_051672_NC_051672_53	NC_051672	NC_051672	53	39838	40602	1	E											0
NC_051672_NC_051672_54	NC_051672	NC_051672	54	40680	40961	1	E											0
NC_051672_NC_051672_55	NC_051672	NC_051672	55	40958	41305	1	D										Protein of unknown function (DUF732) [PF05305.17]	0
NC_051672_NC_051672_56	NC_051672	NC_051672	56	41305	41799	1	C	K18955	WhiB family transcriptional regulator, redox-sensing transcriptional regulator								Transcription factor WhiB [PF02467.19]	0
NC_051672_NC_051672_57	NC_051672	NC_051672	57	41796	42281	1	E											0
NC_051672_NC_051672_58	NC_051672	NC_051672	58	42278	42559	1	C	K18955	WhiB family transcriptional regulator, redox-sensing transcriptional regulator								Transcription factor WhiB [PF02467.19]	0
NC_051672_NC_051672_59	NC_051672	NC_051672	59	42556	42921	1	D										Helix-turn-helix domain of resolvase [PF02796.18]	0
NC_051672_NC_051672_60	NC_051672	NC_051672	60	42921	43076	1	E											0
NC_051672_NC_051672_61	NC_051672	NC_051672	61	43076	43309	1	E											0
NC_051672_NC_051672_62	NC_051672	NC_051672	62	43306	43770	1	E											0
NC_051672_NC_051672_63	NC_051672	NC_051672	63	43767	44744	1	D										AAA domain [PF13479.9]	0
NC_051672_NC_051672_64	NC_051672	NC_051672	64	44741	45097	1	E											1
NC_051672_NC_051672_65	NC_051672	NC_051672	65	45094	47070	1	C	K00571	site-specific DNA-methyltransferase (adenine-specific) [EC:2.1.1.72]								DNA methylase [PF01555.21]; LAGLIDADG endonuclease [PF00961.22]	0
NC_051672_NC_051672_66	NC_051672	NC_051672	66	47183	47290	1	E											0
NC_051672_NC_051672_67	NC_051672	NC_051672	67	47319	47576	-1	E											0
NC_051672_NC_051672_68	NC_051672	NC_051672	68	47751	47873	1	E											0
NC_051672_NC_051672_69	NC_051672	NC_051672	69	47870	48088	1	E											0
NC_051672_NC_051672_70	NC_051672	NC_051672	70	48085	48990	1	E											0
NC_051672_NC_051672_71	NC_051672	NC_051672	71	48987	49349	1	E											0
NC_051672_NC_051672_72	NC_051672	NC_051672	72	49381	49566	1	E											0
NC_051672_NC_051672_73	NC_051672	NC_051672	73	49646	50026	1	E											0
NC_051672_NC_051672_74	NC_051672	NC_051672	74	50026	50220	1	E											0
NC_051672_NC_051672_75	NC_051672	NC_051672	75	50217	50432	1	E											0
NC_051672_NC_051672_76	NC_051672	NC_051672	76	50429	50584	1	E											0
NC_051672_NC_051672_77	NC_051672	NC_051672	77	50581	50796	1	E											0
NC_051672_NC_051672_78	NC_051672	NC_051672	78	50793	51092	1	E											0
NC_051672_NC_051672_79	NC_051672	NC_051672	79	51089	51304	1	E											0
NC_051672_NC_051672_80	NC_051672	NC_051672	80	51426	51758	1	E											0
NC_051672_NC_051672_81	NC_051672	NC_051672	81	51745	51930	1	E											0
NC_051672_NC_051672_82	NC_051672	NC_051672	82	51927	52118	1	E											0
NC_051672_NC_051672_83	NC_051672	NC_051672	83	52115	52522	1	E											0
NC_051672_NC_051672_84	NC_051672	NC_051672	84	52519	52728	1	E											0
NC_051672_NC_051672_85	NC_051672	NC_051672	85	52725	53210	1	E											0
NC_051672_NC_051672_86	NC_051672	NC_051672	86	53207	53470	1	E											0
NC_051672_NC_051672_87	NC_051672	NC_051672	87	53467	53646	1	E											0
NC_051672_NC_051672_88	NC_051672	NC_051672	88	53780	53953	1	E											0
NC_051672_NC_051672_89	NC_051672	NC_051672	89	54066	54305	1	E											0
