	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
NC_023729_1	NC_023729	NC_023729	1	97	504	1	E			YP_010052138.1	YP_010052138.1 hypothetical protein KD932_gp01 [Mycobacterium phage Fulbright]	False	0.9	256	7.266e-78													VOG00066	sp|P41039|YBII_ECOLI Uncharacterized protein YbiI; Xu	Xu	0	False	F
NC_023729_2	NC_023729	NC_023729	2	504	2036	1	E			YP_010052275.1	YP_010052275.1 terminase large subunit [Mycobacterium phage Tapioca]	True	0.994	1073	0.0													VOG07294	sp|Q05219|VG13_BPML5 Gene 13 protein; Xu	Xu	0	False	F
NC_023729_3	NC_023729	NC_023729	3	2029	2235	1	E			YP_010051867.1	YP_010051867.1 hypothetical protein KD928_gp03 [Mycobacterium phage Philonius]	False	0.964	140	3.396e-39													VOG09366	REFSEQ hypothetical protein; Xu	Xu	0	False	F
NC_023729_4	NC_023729	NC_023729	4	2249	3538	1	D			YP_010051868.1	YP_010051868.1 portal protein [Mycobacterium phage Philonius]	True	0.986	895	1.58e-293								Phage portal protein [PF04860.15]					VOG00344	sp|Q6QGD5|PORTL_BPT5 Portal protein; XhXpXrXs	Xp;Xh;Xs;Xr	0	False	VF
NC_023729_5	NC_023729	NC_023729	5	3538	4344	1	C	K06904	uncharacterized protein	YP_009017001.1	YP_009017001.1 head maturation protease [Mycobacterium phage Charlie]	True	0.936	528	1.164e-169	MER0323020	S78	MER0323020 - prohead peptidase (bacteriophage HK97) () [S78.001]#S78#{peptidase unit: 20-177}~source AEL19933~	False	0.972	326.0	2.449e-99	Caudovirus prohead serine protease [PF04586.20]					VOG02183	sp|D3WAC4|PRO_BPLP2 Probable capsid maturation protease; XhXs	Xh;Xs	0	False	VPF
NC_023729_6	NC_023729	NC_023729	6	4372	5664	1	D			YP_009017002.1	YP_009017002.1 major head protein [Mycobacterium phage Charlie]	True	0.923	832	9.4e-272								Phage capsid family [PF05065.16]					VOG00134	sp|O64210|CAPSD_BPMD2 Probable major capsid protein gp17; Xs	Xs	0	False	VF
NC_023729_7	NC_023729	NC_023729	7	5730	5963	1	E			YP_009017003.1	YP_009017003.1 hypothetical protein CL81_gp07 [Mycobacterium phage Charlie]	False	0.92	151	1.4190000000000003e-42													VOG01600	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_023729_8	NC_023729	NC_023729	8	5956	6441	1	E			YP_009017004.1	YP_009017004.1 head-tail adaptor [Mycobacterium phage Charlie]	False	0.987	338	7.685e-106													VOG00699	REFSEQ head-tail adaptor; Xu	Xu	0	False	
NC_023729_9	NC_023729	NC_023729	9	6438	6782	1	E			YP_009017005.1	YP_009017005.1 head closure [Mycobacterium phage Charlie]	False	0.98	238	3.923000000000001e-72													VOG01437	REFSEQ head closure; Xu	Xu	0	False	
NC_023729_10	NC_023729	NC_023729	10	6794	6988	1	E			YP_009017006.1	YP_009017006.1 neck protein [Mycobacterium phage Charlie]	False	0.978	134	3.209e-37													VOG09245	REFSEQ neck protein; Xu	Xu	0	False	
NC_023729_11	NC_023729	NC_023729	11	6975	7346	1	D			YP_009017007.1	YP_009017007.1 minor tail protein [Mycobacterium phage Charlie]	False	0.98	256	2.1650000000000003e-78								Bacteriophage HK97-gp10, putative tail-component [PF04883.15]					VOG04260	REFSEQ head-tail connector protein; Xu	Xu	0	False	
NC_023729_12	NC_023729	NC_023729	12	7343	7762	1	E			YP_009616865.1	YP_009616865.1 head-tail adaptor [Mycobacterium phage Pipsqueaks]	False	1.0	297	4.8199999999999996e-92													VOG00096	sp|O64216|VG22_BPMD2 Gene 22 protein; Xu	Xu	0	False	
NC_023729_13	NC_023729	NC_023729	13	7877	8935	1	E			YP_009616866.1	YP_009616866.1 major tail protein [Mycobacterium phage Pipsqueaks]	True	0.955	708	1.669e-230													VOG00135	sp|Q05229|VG23_BPML5 Major tail protein Gp23; Xs	Xs	0	False	V
NC_023729_14	NC_023729	NC_023729	14	9036	9566	1	E			YP_009017011.1	YP_009017011.1 tail assembly chaperone [Mycobacterium phage Charlie]	True	0.949	353	7.116e-111																0	False	
NC_023729_15	NC_023729	NC_023729	15	9619	9942	1	E			YP_009616867.1	YP_009616867.1 tail assembly chaperone [Mycobacterium phage Pipsqueaks]	False	0.946	215	2.541e-64																0	False	
NC_023729_16	NC_023729	NC_023729	16	10123	13266	1	D			YP_009017012.1	YP_009017012.1 tail length tape measure protein [Mycobacterium phage Charlie]	True	0.902	1969	0.0	MER0092407	C40	MER0092407 - family C40 non-peptidase homologues (Mycobacterium gilvum) [C40.UNW]#C40#{peptidase unit: 16-118}~source ABP45749~	False	0.37	60.0	1.905e-07						VOG06180	REFSEQ tail length tape measure protein; Xu	Xu	0	False	P
NC_023729_17	NC_023729	NC_023729	17	13268	14989	1	E			YP_009616870.1	YP_009616870.1 minor tail protein [Mycobacterium phage Pipsqueaks]	True	0.998	1211	0.0																0	False	
NC_023729_18	NC_023729	NC_023729	18	14989	16698	1	E			YP_009197143.1	YP_009197143.1 minor tail protein [Mycobacterium phage Carcharodon]	True	0.991	1192	0.0													VOG02068	sp|Q05235|VG28_BPML5 Minor tail protein Gp28; Xu	Xu	0	False	
NC_023729_19	NC_023729	NC_023729	19	16714	17556	1	E			YP_009017015.1	YP_009017015.1 minor tail protein [Mycobacterium phage Charlie]	True	0.972	576	5.565e-186													VOG08267	REFSEQ minor tail protein; Xu	Xu	0	False	
NC_023729_20	NC_023729	NC_023729	20	17556	19550	1	E			YP_009197145.1	YP_009197145.1 minor tail protein [Mycobacterium phage Carcharodon]	True	0.948	1322	0.0													VOG00660	REFSEQ minor tail protein; Xu	Xu	0	False	
NC_023729_21	NC_023729	NC_023729	21	19550	20191	1	E			YP_009197146.1	YP_009197146.1 hypothetical protein AVV74_gp21 [Mycobacterium phage Carcharodon]	True	0.971	438	1.448e-139													VOG09368	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_023729_22	NC_023729	NC_023729	22	20223	21437	1	E			YP_010754814.1	YP_010754814.1 minor tail protein [Mycobacterium phage LilSpotty]	True	0.885	746	1.877e-242													VOG08021	sp|Q05241|VG32_BPML5 Gene 32 protein; Xu	Xu	0	False	
NC_023729_23	NC_023729	NC_023729	23	21446	21742	1	E			YP_009197148.1	YP_009197148.1 hypothetical protein AVV74_gp23 [Mycobacterium phage Carcharodon]	False	0.993	208	4.834e-62													VOG08522	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_023729_24	NC_023729	NC_023729	24	21744	22169	1	E			YP_010051960.1	YP_010051960.1 virion structural protein [Mycobacterium phage Aggie]	False	0.895	265	3.611e-81													VOG03176	REFSEQ virion structural protein; Xu	Xu	0	False	
NC_023729_25	NC_023729	NC_023729	25	22169	22348	1	E			YP_010051961.1	YP_010051961.1 hypothetical protein KD929_gp25 [Mycobacterium phage Aggie]	False	0.987	125	3.635e-34													VOG01868	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_023729_26	NC_023729	NC_023729	26	22348	22533	1	E			YP_010051962.1	YP_010051962.1 hypothetical protein KD929_gp26 [Mycobacterium phage Aggie]	False	1.0	140	2.379e-39													VOG03097	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_023729_27	NC_023729	NC_023729	27	22601	22837	1	E			YP_010052300.1	YP_010052300.1 hypothetical protein KD934_gp27 [Mycobacterium phage Tapioca]	False	0.901	149	5.289e-42																0	False	
NC_023729_28	NC_023729	NC_023729	28	22834	24342	1	C	K03791	putative chitinase	YP_010051964.1	YP_010051964.1 endolysin [Mycobacterium phage Aggie]	True	0.986	1047	0.0								Chitinase class I [PF00182.22]; Peptidase_C39 like family [PF13529.9]	GH19	GH19 chitinase (EC 3.2.1.14); lysozyme (EC 3.2.1.17); [reducing end] chitinase (EC 3.2.1.201)	3.2.1.14,3.2.1.17	GH19.hmm				0	False	
NC_023729_29	NC_023729	NC_023729	29	24339	24743	1	D			YP_010051965.1	YP_010051965.1 holin [Mycobacterium phage Aggie]	False	0.864	243	2.325e-73								Mycobacterial 2 TMS Phage Holin (M2 Hol) Family [PF16081.8]					VOG03716	sp|O64204|HOLIN_BPMD2 Holin; XhXp	Xp;Xh	0	False	
NC_023729_30	NC_023729	NC_023729	30	24740	25108	1	D			YP_010052303.1	YP_010052303.1 minor tail protein [Mycobacterium phage Tapioca]	False	0.947	245	1.962e-74								Protein of unknown function (DUF2746) [PF10874.11]					VOG00752	sp|Q05239|VG30_BPML5 Gene 30 protein; Xu	Xu	0	False	
NC_023729_31	NC_023729	NC_023729	31	25182	25565	-1	E			YP_009017027.1	YP_009017027.1 HicB-like antitoxin [Mycobacterium phage Charlie]	False	0.932	250	3.001e-76													VOG00865	REFSEQ HicB-like antitoxin; Xu	Xu	0	False	
