	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
NC_007497_1	NC_007497	NC_007497	1	123	512	-1	E			YP_355336.1	YP_355336.1 HNH endonuclease [Burkholderia phage Bcep176]	False	0.973	267.0	7.861e-82																0	False	F
NC_007497_2	NC_007497	NC_007497	2	730	1320	-1	E			YP_355337.1	YP_355337.1 gp2 [Burkholderia phage Bcep176]	True	0.963	399.0	1.717e-126																0	False	F
NC_007497_3	NC_007497	NC_007497	3	1366	1614	-1	E			YP_355338.1	YP_355338.1 gp3 [Burkholderia phage Bcep176]	False	1.0	179.0	3.183e-52													VOG24433	REFSEQ gp3; Xu	Xu	0	False	F
NC_007497_4	NC_007497	NC_007497	4	1611	1949	-1	E			YP_355339.1	YP_355339.1 gp4 [Burkholderia phage Bcep176]	False	0.973	232.0	4.069e-70													VOG24432	REFSEQ gp4; Xu	Xu	0	False	F
NC_007497_5	NC_007497	NC_007497	5	1946	2389	-1	D			YP_355340.1	YP_355340.1 HNH endonuclease [Burkholderia phage Bcep176]	False	1.0	320.0	5.774e-100								Putative nuclease YbcO [PF07102.15]					VOG00669	sp|P68661|YBCO_ECOLI Putative nuclease YbcO; Xu	Xu	1	False	F
NC_007497_6	NC_007497	NC_007497	6	2386	2967	-1	D			YP_355341.1	YP_355341.1 ArsR family transcriptional regulator [Burkholderia phage Bcep176]	True	0.963	393.0	1.6900000000000002e-124								Bacterial regulatory protein, arsR family [PF01022.23]								0	False	F
NC_007497_7	NC_007497	NC_007497	7	2964	3434	-1	E			YP_355342.1	YP_355342.1 gp7 [Burkholderia phage Bcep176]	False	0.945	312.0	6.736e-97																0	False	F
NC_007497_8	NC_007497	NC_007497	8	3434	3997	-1	D			YP_355343.1	YP_355343.1 gp8 [Burkholderia phage Bcep176]	True	0.988	392.0	3.271e-124								Protein of unknown function (DUF1064) [PF06356.14]; Phage endonuclease I [PF05367.14]					VOG02388	REFSEQ hypothetical protein; Xu	Xu	0	False	F
NC_007497_9	NC_007497	NC_007497	9	3994	4170	-1	E			YP_355344.1	YP_355344.1 gp9 [Burkholderia phage Bcep176]	False	0.904	112.0	1.656e-29																0	False	F
NC_007497_10	NC_007497	NC_007497	10	4167	4814	-1	D			YP_355345.1	YP_355345.1 DUF6475 domain-containing protein [Burkholderia phage Bcep176]	True	0.993	453.0	9.930999999999999e-145								Domain of unknown function (DUF6475) [PF20081.2]					VOG03775	REFSEQ hypothetical protein; Xu	Xu	0	False	F
NC_007497_11	NC_007497	NC_007497	11	4811	5617	-1	D			YP_355346.1	YP_355346.1 primosomal protein [Burkholderia phage Bcep176]	True	0.966	547.0	3.1199999999999998e-176								Helix-turn-helix domain [PF13730.9]					VOG00234	REFSEQ replication initiation protein; Xu	Xu	0	False	F
NC_007497_12	NC_007497	NC_007497	12	5614	5712	-1	E			YP_355347.1	YP_355347.1 gp12 [Burkholderia phage Bcep176]	False	0.926	64.0	1.507e-13																0	False	
NC_007497_13	NC_007497	NC_007497	13	5723	5899	-1	E			YP_355348.1	YP_355348.1 gp13 [Burkholderia phage Bcep176]	False	1.0	126.0	1.832e-34																0	False	
NC_007497_14	NC_007497	NC_007497	14	5899	6345	-1	D			YP_355349.1	YP_355349.1 CII-like transcriptional activator [Burkholderia phage Bcep176]	False	0.973	306.0	5.225e-95								Phage regulatory protein CII (CP76) [PF06892.14]					VOG01498	sp|P21316|YR7B_ECOLX Protein ORFb in retron Ec67; Xu	Xu	0	False	
NC_007497_15	NC_007497	NC_007497	15	6534	6770	1	E			YP_355350.1	YP_355350.1 gp15 [Burkholderia phage Bcep176]	False	0.972	162.0	1.539e-46																0	False	
NC_007497_16	NC_007497	NC_007497	16	6813	7004	-1	E																								0	False	
NC_007497_17	NC_007497	NC_007497	17	7050	7388	-1	E																								0	False	
NC_007497_18	NC_007497	NC_007497	18	7463	7834	1	D			YP_355353.1	YP_355353.1 DUF2513 domain-containing protein [Burkholderia phage Bcep176]	False	0.99	259.0	1.7300000000000003e-79								Hypothetical protein (DUF2513) [PF10711.12]					VOG04904	REFSEQ DUF2513 domain-containing protein; Xu	Xu	0	False	
NC_007497_19	NC_007497	NC_007497	19	7766	8080	-1	E																								0	False	
NC_007497_20	NC_007497	NC_007497	20	8347	8814	1	D			YP_355355.1	YP_355355.1 helix-turn-helix domain-containing protein [Burkholderia phage Bcep176]	False	0.961	316.0	2.734e-98								Bacteriophage CI repressor helix-turn-helix domain [PF07022.16]; Helix-turn-helix domain [PF12844.10]; Helix-turn-helix [PF01381.25]; Cro/C1-type HTH DNA-binding domain [PF13443.9]								0	False	
NC_007497_21	NC_007497	NC_007497	21	8750	9082	-1	E			YP_355356.1	YP_355356.1 gp21 [Burkholderia phage Bcep176]	False	0.961	225.0	1.0899999999999999e-67													VOG24100	REFSEQ hypothetical protein; Xu	Xu	0	False	
