Sample_ID	DRAM	InterProScan	Metacerberus	PROKKA
1	18.240312	3.265684	0.437676	0.169952
2	18.282508	3.636368	0.449812	0.14698
3	18.25628	3.006232	0.6092	0.678504
4	18.222048	3.2197	0.422108	0.253464
5	18.278356	3.587196	0.535496	0.260524
6	18.246912	3.03618	0.61368	0.82676
7	18.324764	3.71706	0.56966	0.172864
8	18.23348	3.604932	0.441176	0.145704
9	18.270224	3.381032	0.6032	0.499456
10	18.240752	3.692172	0.51252	0.1638
11	18.236888	3.450396	0.409548	0.150328
12	18.241048	3.586512	0.523864	0.259416
13	18.249536	3.482332	0.671948	0.33114
14	18.203112	3.525712	0.431176	0.25994
15	18.265228	3.5959	0.597704	0.162564
16	18.256904	3.644176	0.668008	0.484508
17	18.24452	3.5466	0.577524	0.16768
18	18.19436	3.599992	0.372392	0.252652
19	18.346632	3.598172	0.556424	0.168404
20	18.249084	3.652668	0.583984	0.164664
21	18.291432	3.701296	0.546488	0.164768
22	18.186908	3.580504	0.361208	0.135916
23	18.237476	3.553764	0.4949	0.155296
24	18.299568	3.618432	0.526264	0.161364
25	18.266932	3.473932	0.642056	0.479744
26	18.223368	3.71716	0.498388	0.154024
27	18.286876	3.46228	0.464596	0.24776
28	18.248844	3.301344	0.499364	0.265056
29	18.333788	3.613876	0.520884	0.189032
30	18.2097	3.717992	0.473424	0.1556
31	18.258332	3.527552	0.440048	0.155508
32	18.24752	3.722128	0.541532	0.167744
33	18.331824	3.71372	0.509836	0.16516
34	18.235972	3.59178	0.660748	0.279316
35	18.268116	3.520116	0.525768	0.241304
36	18.220096	3.52444	0.424404	0.1544
37	18.281364	3.338596	0.538644	0.164628
38	18.281032	3.65112	0.529924	0.228044
39	18.273156	3.742972	0.625588	0.172872
40	18.356788	3.566068	0.493288	0.177508
41	18.218188	3.688064	0.48798	0.148308
42	18.191128	3.63928	0.561296	0.157216
43	18.286316	3.717992	0.459628	0.152548
44	18.26966	3.527236	0.43946	0.177248
45	18.272336	3.394264	0.447	0.219568
46	18.224	3.705264	0.523252	0.1625
47	18.243848	3.659176	0.502232	0.256336
48	18.25268	3.296684	0.528556	0.261216
49	18.227024	3.538704	0.47648	0.1563
50	18.236092	3.720204	0.586936	0.268836
51	18.209532	3.503064	0.425964	0.15594
52	18.246484	3.441216	0.397992	0.260072
53	18.25584	3.34706	0.64628	0.323808
54	18.310344	3.874908	0.558424	0.22954
55	18.315552	3.635168	0.629412	0.481884
56	18.251348	3.42792	0.578864	0.169324
57	18.207104	3.515508	0.407496	0.147548
58	18.203036	3.654448	0.446568	0.15732
59	18.252304	3.592556	0.420404	0.1445
60	18.240448	3.788592	0.622364	0.166944
