	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_bitScore	viral_eVal	viral_identity	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	vogdb_categories	vogdb_id	vogdb_description	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01000300.1_1	QGNH01000300.1	QGNH01000300.1	1	1	1422	-1	E																		0	False	F
QGNH01000300.1_2	QGNH01000300.1	QGNH01000300.1	2	1505	2833	1	E																		0	False	F
QGNH01000300.1_3	QGNH01000300.1	QGNH01000300.1	3	2841	3071	1	E																		0	False	F
QGNH01000300.1_4	QGNH01000300.1	QGNH01000300.1	4	3121	3600	1	E																		0	False	F
QGNH01000300.1_5	QGNH01000300.1	QGNH01000300.1	5	3685	4749	1	E																		0	False	F
QGNH01000300.1_6	QGNH01000300.1	QGNH01000300.1	6	5181	5957	1	E																		0	False	
QGNH01000300.1_7	QGNH01000300.1	QGNH01000300.1	7	5827	6315	-1	E																		0	False	
QGNH01000300.1_8	QGNH01000300.1	QGNH01000300.1	8	6317	6649	-1	E																		0	False	
QGNH01000300.1_9	QGNH01000300.1	QGNH01000300.1	9	7287	8093	-1	E																		0	False	
QGNH01000300.1_10	QGNH01000300.1	QGNH01000300.1	10	8237	11176	-1	D	YP_003347758.1	YP_003347758.1 portal protein [Mycobacterium phage ET08]	False	76.0	1.166e-12	0.185	MER0189704	N10	MER0189704 - family N10 unassigned peptide lyases (Mycobacterium smegmatis) [N10.UPW]#N10#{peptidase unit: 544-969}~source YP_006571430~	False	149.0	2.286e-34	0.267	Intein splicing domain [PF14890.9]; Phage terminase large subunit gpA, ATPase domain [PF05876.15]; LAGLIDADG-like domain [PF14528.9]				0	False	F
QGNH01000300.1_11	QGNH01000300.1	QGNH01000300.1	11	11178	11345	1	E																		0	False	F
QGNH01000300.1_12	QGNH01000300.1	QGNH01000300.1	12	11431	11667	1	E																		0	False	F
QGNH01000300.1_13	QGNH01000300.1	QGNH01000300.1	13	11625	12011	1	E																		0	False	F
QGNH01000300.1_14	QGNH01000300.1	QGNH01000300.1	14	11997	12269	-1	E																		0	False	F
QGNH01000300.1_15	QGNH01000300.1	QGNH01000300.1	15	12287	13567	1	D														AAA domain (dynein-related subfamily) [PF07728.17]				0	False	F
QGNH01000300.1_16	QGNH01000300.1	QGNH01000300.1	16	13688	13801	1	E																		0	False	F
