	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	heme_regulatory_motif_count
NC_028805_NC_028805_1	NC_028805	NC_028805	1	454	624	1	E															0
NC_028805_NC_028805_2	NC_028805	NC_028805	2	1057	1341	-1	E															0
NC_028805_NC_028805_3	NC_028805	NC_028805	3	1469	2512	-1	D										DnaA N-terminal domain [PF11638.11]; Helix-turn-helix domain [PF13730.9]					0
NC_028805_NC_028805_4	NC_028805	NC_028805	4	3122	4288	1	C	K18640	plasmid segregation protein ParM								StbA protein [PF06406.14]					0
NC_028805_NC_028805_5	NC_028805	NC_028805	5	4288	4596	1	E															0
NC_028805_NC_028805_6	NC_028805	NC_028805	6	5111	5347	1	E															0
NC_028805_NC_028805_7	NC_028805	NC_028805	7	6365	6997	-1	E															0
NC_028805_NC_028805_8	NC_028805	NC_028805	8	7750	8364	-1	E															0
NC_028805_NC_028805_9	NC_028805	NC_028805	9	8810	9031	1	E															0
NC_028805_NC_028805_10	NC_028805	NC_028805	10	9034	9798	1	E															0
NC_028805_NC_028805_11	NC_028805	NC_028805	11	9798	10052	1	E															0
NC_028805_NC_028805_12	NC_028805	NC_028805	12	10056	10208	1	E															0
NC_028805_NC_028805_13	NC_028805	NC_028805	13	10208	10810	1	E															0
NC_028805_NC_028805_14	NC_028805	NC_028805	14	10810	11577	1	C	K00857	thymidine kinase [EC:2.7.1.21]								Thymidine kinase [PF00265.21]					0
NC_028805_NC_028805_15	NC_028805	NC_028805	15	11579	13249	1	D										Terminase large subunit, ATPase domain [PF03354.18]					0
NC_028805_NC_028805_16	NC_028805	NC_028805	16	13642	13929	1	E															0
NC_028805_NC_028805_17	NC_028805	NC_028805	17	13991	15433	1	E															0
NC_028805_NC_028805_18	NC_028805	NC_028805	18	15517	16989	1	E															0
NC_028805_NC_028805_19	NC_028805	NC_028805	19	17010	17411	1	E															0
NC_028805_NC_028805_20	NC_028805	NC_028805	20	17430	18428	1	D										Phage major capsid protein E [PF03864.18]					0
NC_028805_NC_028805_21	NC_028805	NC_028805	21	18514	18909	1	E															0
NC_028805_NC_028805_22	NC_028805	NC_028805	22	18925	19356	1	E															0
NC_028805_NC_028805_23	NC_028805	NC_028805	23	19343	19960	1	E															0
NC_028805_NC_028805_24	NC_028805	NC_028805	24	19965	20594	1	E															0
NC_028805_NC_028805_25	NC_028805	NC_028805	25	20599	21045	1	E															0
NC_028805_NC_028805_26	NC_028805	NC_028805	26	21063	22121	1	E															0
NC_028805_NC_028805_27	NC_028805	NC_028805	27	22266	22757	1	E															0
NC_028805_NC_028805_28	NC_028805	NC_028805	28	22859	23083	1	E															0
NC_028805_NC_028805_29	NC_028805	NC_028805	29	23153	28369	1	E															0
NC_028805_NC_028805_30	NC_028805	NC_028805	30	28432	29052	1	E															0
