	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
NC_054652_1	NC_054652	NC_054652	1	421	1176	1	D			YP_010054352.1	YP_010054352.1 major tail protein [Klebsiella phage YX3973]	True	0.961	509.0	1.424e-163								Immunoglobulin domain [PF13895.9]					VOG01555	REFSEQ Hoc-like head decoration; Xu	Xu	0	False	F
NC_054652_2	NC_054652	NC_054652	2	1198	1392	-1	E			YP_010054436.1	YP_010054436.1 hypothetical protein KGB53_gp21 [Klebsiella virus KpV2811]	False	0.957	131.0	4.0460000000000005e-36													VOG24075	REFSEQ hypothetical protein; Xu	Xu	0	False	F
NC_054652_3	NC_054652	NC_054652	3	1395	1547	-1	E			YP_010054435.1	YP_010054435.1 hypothetical protein KGB53_gp20 [Klebsiella virus KpV2811]	False	0.891	95.0	6.718e-24													VOG24074	REFSEQ hypothetical protein; Xu	Xu	0	False	F
NC_054652_4	NC_054652	NC_054652	4	1566	1883	-1	E			YP_010054537.1	YP_010054537.1 hypothetical protein KGB54_gp44 [Klebsiella phage vB_KpnS_ZX4]	False	0.973	218.0	2.5220000000000007e-65													VOG00540	sp|O64212|VG19_BPMD2 Gene 19 protein; Xu	Xu	0	False	F
NC_054652_5	NC_054652	NC_054652	5	1883	2035	-1	E			YP_010054538.1	YP_010054538.1 hypothetical protein KGB54_gp45 [Klebsiella phage vB_KpnS_ZX4]	False	0.958	103.0	1.176e-26													VOG24074	REFSEQ hypothetical protein; Xu	Xu	0	False	F
NC_054652_6	NC_054652	NC_054652	6	2038	2166	-1	E			YP_010054539.1	YP_010054539.1 hypothetical protein KGB54_gp46 [Klebsiella phage vB_KpnS_ZX4]	False	0.946	86.0	9.009e-21													VOG20085	REFSEQ hypothetical protein; Xu	Xu	0	False	F
NC_054652_7	NC_054652	NC_054652	7	2263	2970	1	D			YP_010054354.1	YP_010054354.1 DUF6246 family protein [Klebsiella phage YX3973]	True	0.93	460.0	8.766e-147								Family of unknown function (DUF6246) [PF19759.2]					VOG07468	REFSEQ hypothetical protein; Xu	Xu	0	False	F
NC_054652_8	NC_054652	NC_054652	8	2970	6251	1	D			YP_010054355.1	YP_010054355.1 tail length tape measure protein [Klebsiella phage YX3973]	True	0.853	1929.0	0.0								Tail length tape measure protein [PF06120.14]; Tape measure protein [PF20155.2]					VOG28676	REFSEQ putative tape measure protein; Xu	Xu	0	False	F
NC_054652_9	NC_054652	NC_054652	9	6251	6721	1	E			YP_010054542.1	YP_010054542.1 hypothetical protein KGB54_gp49 [Klebsiella phage vB_KpnS_ZX4]	False	1.0	335.0	4.015e-105													VOG00317	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_054652_10	NC_054652	NC_054652	10	6721	7191	1	E			YP_010054427.1	YP_010054427.1 minor tail protein [Klebsiella virus KpV2811]	False	0.979	324.0	2.766e-101													VOG00951	REFSEQ minor tail protein; Xu	Xu	0	False	
