	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001636.1_1	QGNH01001636.1	QGNH01001636.1	1	3	869	-1	E					0	False	F
QGNH01001636.1_2	QGNH01001636.1	QGNH01001636.1	2	873	1694	-1	E					0	False	F
QGNH01001636.1_3	QGNH01001636.1	QGNH01001636.1	3	1694	2359	-1	E					0	False	F
QGNH01001636.1_4	QGNH01001636.1	QGNH01001636.1	4	2374	2631	-1	E					0	False	F
QGNH01001636.1_5	QGNH01001636.1	QGNH01001636.1	5	2684	3856	-1	E					0	False	F
QGNH01001636.1_6	QGNH01001636.1	QGNH01001636.1	6	3858	4145	-1	E		VOG02589	REFSEQ hypothetical protein; Xu	Xu	0	False	F
QGNH01001636.1_7	QGNH01001636.1	QGNH01001636.1	7	4199	4900	-1	D	Glycosyltransferase like family 2 [PF13641.9]; Glycosyl transferase family group 2 [PF13632.9]; Glycosyl transferase family 21 [PF13506.9]				0	False	F
QGNH01001636.1_8	QGNH01001636.1	QGNH01001636.1	8	4887	6560	-1	D	Methyltransferase domain [PF13489.9]; Methyltransferase domain [PF08241.15]; Methyltransferase domain [PF13847.9]; Mycolic acid cyclopropane synthetase [PF02353.23]; Methyltransferase domain [PF13649.9]	VOG02670	sp|Q5UQ09|YL193_MIMIV Uncharacterized glycosyltransferase L193; Xh	Xh	0	False	F
QGNH01001636.1_9	QGNH01001636.1	QGNH01001636.1	9	6561	6839	-1	E					0	False	
QGNH01001636.1_10	QGNH01001636.1	QGNH01001636.1	10	7040	7510	-1	E					0	False	
QGNH01001636.1_11	QGNH01001636.1	QGNH01001636.1	11	7519	8052	-1	E					0	False	
QGNH01001636.1_12	QGNH01001636.1	QGNH01001636.1	12	8062	8586	-1	E					0	False	
QGNH01001636.1_13	QGNH01001636.1	QGNH01001636.1	13	8640	9626	-1	E					0	False	
QGNH01001636.1_14	QGNH01001636.1	QGNH01001636.1	14	9669	10592	-1	E					0	False	F
QGNH01001636.1_15	QGNH01001636.1	QGNH01001636.1	15	10605	10973	-1	E					0	False	F
QGNH01001636.1_16	QGNH01001636.1	QGNH01001636.1	16	10974	11282	-1	E					0	False	F
QGNH01001636.1_17	QGNH01001636.1	QGNH01001636.1	17	11564	11881	1	E					0	False	F
QGNH01001636.1_18	QGNH01001636.1	QGNH01001636.1	18	12008	13876	-1	E					0	False	F
QGNH01001636.1_19	QGNH01001636.1	QGNH01001636.1	19	13913	14020	-1	E					0	False	F
QGNH01001636.1_20	QGNH01001636.1	QGNH01001636.1	20	14045	14500	-1	E					0	False	F
QGNH01001636.1_21	QGNH01001636.1	QGNH01001636.1	21	14503	14727	-1	E					0	False	F
