	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_bitScore	viral_eVal	viral_identity	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001639.1_1	QGNH01001639.1	QGNH01001639.1	1	1	1317	1	E											0	False	F
QGNH01001639.1_2	QGNH01001639.1	QGNH01001639.1	2	1389	2219	1	E											0	False	F
QGNH01001639.1_3	QGNH01001639.1	QGNH01001639.1	3	2235	2990	1	E											0	False	F
QGNH01001639.1_4	QGNH01001639.1	QGNH01001639.1	4	2990	4210	1	D							Phage stabilisation protein [PF11134.11]	VOG10156	sp|P26749|VG10_BPP22 Packaged DNA stabilization protein gp10; Xh	Xh	0	False	F
QGNH01001639.1_5	QGNH01001639.1	QGNH01001639.1	5	4423	4647	1	E											0	False	F
QGNH01001639.1_6	QGNH01001639.1	QGNH01001639.1	6	4644	4883	1	E											0	False	F
QGNH01001639.1_7	QGNH01001639.1	QGNH01001639.1	7	4946	5575	1	E											0	False	F
QGNH01001639.1_8	QGNH01001639.1	QGNH01001639.1	8	5586	6848	1	E											0	False	
QGNH01001639.1_9	QGNH01001639.1	QGNH01001639.1	9	6841	8112	1	E											0	False	
QGNH01001639.1_10	QGNH01001639.1	QGNH01001639.1	10	8196	10103	1	E											0	False	F
QGNH01001639.1_11	QGNH01001639.1	QGNH01001639.1	11	10115	10468	1	E											0	False	F
QGNH01001639.1_12	QGNH01001639.1	QGNH01001639.1	12	10449	10628	1	E											0	False	F
QGNH01001639.1_13	QGNH01001639.1	QGNH01001639.1	13	10650	11981	1	E											0	False	F
QGNH01001639.1_14	QGNH01001639.1	QGNH01001639.1	14	12005	12712	1	E											0	False	F
QGNH01001639.1_15	QGNH01001639.1	QGNH01001639.1	15	12726	13430	1	E	YP_010684511.1	YP_010684511.1 tail fiber protein [Klebsiella phage SBP]	False	78.0	6.752e-15	0.259					0	False	F
QGNH01001639.1_16	QGNH01001639.1	QGNH01001639.1	16	13672	13809	-1	E											0	False	F
QGNH01001639.1_17	QGNH01001639.1	QGNH01001639.1	17	13981	14301	-1	E											0	False	F
QGNH01001639.1_18	QGNH01001639.1	QGNH01001639.1	18	14285	14623	-1	E											0	False	F
