	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_bitScore	viral_eVal	viral_identity	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01000272.1_1	QGNH01000272.1	QGNH01000272.1	1	1	648	-1	E											0	False	F
QGNH01000272.1_2	QGNH01000272.1	QGNH01000272.1	2	707	1018	-1	E											0	False	F
QGNH01000272.1_3	QGNH01000272.1	QGNH01000272.1	3	1040	2191	-1	E											0	False	F
QGNH01000272.1_4	QGNH01000272.1	QGNH01000272.1	4	2285	2794	-1	E											0	False	F
QGNH01000272.1_5	QGNH01000272.1	QGNH01000272.1	5	2808	3317	-1	E											0	False	F
QGNH01000272.1_6	QGNH01000272.1	QGNH01000272.1	6	3335	3553	-1	E											0	False	F
QGNH01000272.1_7	QGNH01000272.1	QGNH01000272.1	7	3565	3996	-1	E											0	False	F
QGNH01000272.1_8	QGNH01000272.1	QGNH01000272.1	8	4010	4981	-1	E											0	False	F
QGNH01000272.1_9	QGNH01000272.1	QGNH01000272.1	9	5018	5872	-1	E											0	False	
QGNH01000272.1_10	QGNH01000272.1	QGNH01000272.1	10	5883	6275	-1	E											0	False	
QGNH01000272.1_11	QGNH01000272.1	QGNH01000272.1	11	6279	6578	-1	E											0	False	
QGNH01000272.1_12	QGNH01000272.1	QGNH01000272.1	12	6995	8869	-1	E											0	False	
QGNH01000272.1_13	QGNH01000272.1	QGNH01000272.1	13	8900	10756	-1	D							Zinc ribbon domain [PF09723.13]				0	False	
QGNH01000272.1_14	QGNH01000272.1	QGNH01000272.1	14	10759	11319	-1	E											0	False	F
QGNH01000272.1_15	QGNH01000272.1	QGNH01000272.1	15	11375	13627	-1	E	YP_001648943.1	YP_001648943.1 terminase [Escherichia phage Min27]	False	99.0	1.08e-19	0.186		VOG00068	sp|P25479|VPP_BPP2 Terminase, ATPase subunit; XhXr	Xr;Xh	0	False	VF
QGNH01000272.1_16	QGNH01000272.1	QGNH01000272.1	16	13635	14039	-1	E											0	False	F
QGNH01000272.1_17	QGNH01000272.1	QGNH01000272.1	17	14104	14301	-1	E											0	False	F
QGNH01000272.1_18	QGNH01000272.1	QGNH01000272.1	18	14312	14677	-1	E											0	False	F
QGNH01000272.1_19	QGNH01000272.1	QGNH01000272.1	19	14670	14942	-1	E											0	False	F
QGNH01000272.1_20	QGNH01000272.1	QGNH01000272.1	20	14942	15301	-1	E											0	False	F
QGNH01000272.1_21	QGNH01000272.1	QGNH01000272.1	21	15313	15807	-1	E											0	False	F
