	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	pfam_hits	vogdb_categories	vogdb_id	vogdb_description	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001688.1_1	QGNH01001688.1	QGNH01001688.1	1	1	315	1	E					0	False	F
QGNH01001688.1_2	QGNH01001688.1	QGNH01001688.1	2	346	2430	1	E					0	False	F
QGNH01001688.1_3	QGNH01001688.1	QGNH01001688.1	3	2440	2664	1	E					0	False	F
QGNH01001688.1_4	QGNH01001688.1	QGNH01001688.1	4	2728	3165	1	E					0	False	F
QGNH01001688.1_5	QGNH01001688.1	QGNH01001688.1	5	3690	4535	1	E					0	False	F
QGNH01001688.1_6	QGNH01001688.1	QGNH01001688.1	6	4554	5777	1	E					0	False	F
QGNH01001688.1_7	QGNH01001688.1	QGNH01001688.1	7	5813	6463	1	E					0	False	
QGNH01001688.1_8	QGNH01001688.1	QGNH01001688.1	8	6479	6814	1	E					0	False	
QGNH01001688.1_9	QGNH01001688.1	QGNH01001688.1	9	6879	7880	1	E					0	False	
QGNH01001688.1_10	QGNH01001688.1	QGNH01001688.1	10	7874	8095	1	E					0	False	
QGNH01001688.1_11	QGNH01001688.1	QGNH01001688.1	11	8049	8240	1	E					0	False	
QGNH01001688.1_12	QGNH01001688.1	QGNH01001688.1	12	8240	8422	1	E					0	False	F
QGNH01001688.1_13	QGNH01001688.1	QGNH01001688.1	13	8426	8848	-1	E					0	False	F
QGNH01001688.1_14	QGNH01001688.1	QGNH01001688.1	14	8908	10260	1	E					0	False	F
QGNH01001688.1_15	QGNH01001688.1	QGNH01001688.1	15	10331	13408	1	E					0	False	F
