	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01000043.1_1	QGNH01000043.1	QGNH01000043.1	1	2	271	-1	E															0	False	F
QGNH01000043.1_2	QGNH01000043.1	QGNH01000043.1	2	366	893	-1	E															0	False	F
QGNH01000043.1_3	QGNH01000043.1	QGNH01000043.1	3	919	1083	-1	E															0	False	F
QGNH01000043.1_4	QGNH01000043.1	QGNH01000043.1	4	1102	1782	-1	E															0	False	F
QGNH01000043.1_5	QGNH01000043.1	QGNH01000043.1	5	1795	2244	-1	E															0	False	F
QGNH01000043.1_6	QGNH01000043.1	QGNH01000043.1	6	2241	3344	-1	D	YP_009778172.1	YP_009778172.1 glycosyltransferase [Synechococcus phage ACG-2014f_Syn7803C7]	False	0.442	288.0	9.311e-85	Glycosyl transferases group 1 [PF00534.23]; Glycosyl transferases group 1 [PF13692.9]	GT4	GT4 sucrose synthase (EC 2.4.1.13); sucrose-phosphate synthase (EC 2.4.1.14); alpha-glucosyltransferase (EC 2.4.1.52); lipopolysaccharide N-acetylglucosaminyltransferase (EC 2.4.1.56); phosphatidylinositol alpha-mannosyltransferase (EC 2.4.1.57); GDP-Man: Man1GlcNAc2-PP-dolichol alpha-1,3-mannosyltransferase (EC 2.4.1.132); GDP-Man: Man3GlcNAc2-PP-dolichol/Man4GlcNAc2-PP-dolichol alpha-1,2-mannosyltransferase (EC 2.4.1.131); digalactosyldiacylglycerol synthase (EC 2.4.1.141); 1,2-diacylglycerol 3-glucosyltransferase (EC 2.4.1.157); diglucosyl diacylglycerol synthase (EC 2.4.1.208); trehalose phosphorylase (EC 2.4.1.231); NDP-Glc: alpha-glucose alpha-glucosyltransferase / alpha,alpha-trehalose synthase (EC 2.4.1.245); GDP-Man: Man2GlcNAc2-PP-dolichol alpha-1,6-mannosyltransferase (EC 2.4.1.257); UDP-GlcNAc: 2-deoxystreptamine alpha-N-acetylglucosaminyltransferase (EC 2.4.1.283); UDP-GlcNAc: ribostamycin alpha-N-acetylglucosaminyltransferase (EC 2.4.1.285); UDP-Gal alpha-galactosyltransferase (EC 2.4.1.-); UDP-Xyl alpha-xylosyltransferase (EC 2.4.2.-); UDP-GlcA alpha-glucuronyltransferase (EC 2.4.1.-); UDP-Glc alpha-glucosyltransferase (EC 2.4.1.-); UDP-GalNAc: GalNAc-PP-Und alpha-1,3-N-acetylgalactosaminyltransferase (EC 2.4.1.306); UDP-GalNAc: N,N'-diacetylbacillosaminyl-PP-Und alpha-1,3-N-acetylgalactosaminyltransferase (EC 2.4.1.290); ADP-dependent alpha-maltose-1-phosphate synthase (2.4.1.342); [retaining] UDP-GlcNAc: polypeptide alpha-N-acetylglucosaminyltransferase (EC 2.4.1.-); UDP-GlcNAc: alpha-N-acetylglucosaminyltransferase (EC 2.4.1.-)	2.4.1.131,2.4.1.13,2.4.1.14,2.4.1.157,2.4.1.198,2.4.1.208,2.4.1.21,2.4.1.231,2.4.1.241,2.4.1.245,2.4.1.252,2.4.1.257,2.4.1.270,2.4.1.283,2.4.1.285,2.4.1.290,2.4.1.342,2.4.1.57,2.4.1.-,2.4.2.-,2.4.1.132	GT4.hmm	VOG17757	REFSEQ glycosyltransferase; Xu	Xu	0	False	MKF
QGNH01000043.1_7	QGNH01000043.1	QGNH01000043.1	7	3578	4909	-1	E	YP_214259.1	YP_214259.1 tail fiber protein [Prochlorococcus phage P-SSM2]	False	0.322	70.0	3.456e-11						VOG01091	sp|B4YNE6|V6_SPTNK Collagen-like protein V6; Xu	Xu	0	False	F
QGNH01000043.1_8	QGNH01000043.1	QGNH01000043.1	8	4909	7332	-1	E															0	False	F
QGNH01000043.1_9	QGNH01000043.1	QGNH01000043.1	9	7337	7960	-1	E															0	False	
QGNH01000043.1_10	QGNH01000043.1	QGNH01000043.1	10	7970	8398	-1	E															0	False	
QGNH01000043.1_11	QGNH01000043.1	QGNH01000043.1	11	8408	8839	-1	E															0	False	
QGNH01000043.1_12	QGNH01000043.1	QGNH01000043.1	12	8849	9214	-1	E															0	False	
QGNH01000043.1_13	QGNH01000043.1	QGNH01000043.1	13	9221	9991	-1	E															0	False	
QGNH01000043.1_14	QGNH01000043.1	QGNH01000043.1	14	10192	10728	-1	E															0	False	
QGNH01000043.1_15	QGNH01000043.1	QGNH01000043.1	15	10731	11063	-1	E															0	False	
QGNH01000043.1_16	QGNH01000043.1	QGNH01000043.1	16	11073	12026	-1	E															0	False	
QGNH01000043.1_17	QGNH01000043.1	QGNH01000043.1	17	12054	12842	-1	E															0	False	
QGNH01000043.1_18	QGNH01000043.1	QGNH01000043.1	18	12848	13777	-1	E															0	False	
QGNH01000043.1_19	QGNH01000043.1	QGNH01000043.1	19	13777	14619	-1	E															0	False	
QGNH01000043.1_20	QGNH01000043.1	QGNH01000043.1	20	14814	16685	-1	E															0	False	F
QGNH01000043.1_21	QGNH01000043.1	QGNH01000043.1	21	17006	17344	-1	E															0	False	F
QGNH01000043.1_22	QGNH01000043.1	QGNH01000043.1	22	17369	17575	-1	E															0	False	F
QGNH01000043.1_23	QGNH01000043.1	QGNH01000043.1	23	17572	19422	-1	D							Phage terminase large subunit [PF04466.16]								0	False	F
QGNH01000043.1_24	QGNH01000043.1	QGNH01000043.1	24	19435	19698	-1	E															0	False	F
QGNH01000043.1_25	QGNH01000043.1	QGNH01000043.1	25	19682	20353	-1	E															0	False	F
QGNH01000043.1_26	QGNH01000043.1	QGNH01000043.1	26	20475	20816	-1	E															0	False	F
QGNH01000043.1_27	QGNH01000043.1	QGNH01000043.1	27	20816	21265	-1	E															0	False	F
