Name	Count
Carbohydrate metabolism	1925
Energy metabolism	580
Signal transduction	2332
Infectious disease: bacterial	316
Neurodegenerative disease	362
Cardiovascular disease	143
Protein families: genetic information processing	645
Protein families: signaling and cellular processes	2827
Endocrine system	667
Cancer: overview	371
Cellular community - prokaryotes	532
Protein families: metabolism	2617
Membrane transport	796
Amino acid metabolism	1753
Lipid metabolism	293
Transport and catabolism	158
Cell growth and death	354
Environmental adaptation	137
Unclassified: metabolism	327
Metabolism of other amino acids	204
Glycan biosynthesis and metabolism	163
Excretory system	31
Digestive system	70
Xenobiotics biodegradation and metabolism	512
Metabolism of cofactors and vitamins	261
Metabolism of terpenoids and polyketides	147
Biosynthesis of other secondary metabolites	234
Cell motility	56
Nucleotide metabolism	418
Aging	69
Replication and repair	124
Sensory system	51
Immune system	537
Infectious disease: viral	441
Cancer: specific types	452
Nervous system	298
Development and regeneration	129
Substance dependence	43
Folding, sorting and degradation	65
Endocrine and metabolic disease	139
Transcription	108
Cellular community - eukaryotes	142
Circulatory system	94
Infectious disease: parasitic	100
Drug resistance: antineoplastic	107
Drug resistance: antimicrobial	44
Translation	23
Immune disease	5
Poorly characterized	8
Unclassified: signaling and cellular processes	1
Unclassified: genetic information processing	2
Viral protein families	1
