	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01000938.1_1	QGNH01000938.1	QGNH01000938.1	1	154	582	1	E							0	False	F
QGNH01000938.1_2	QGNH01000938.1	QGNH01000938.1	2	796	1368	1	E							0	False	F
QGNH01000938.1_3	QGNH01000938.1	QGNH01000938.1	3	1630	1773	1	E							0	False	F
QGNH01000938.1_4	QGNH01000938.1	QGNH01000938.1	4	2439	2663	1	E							0	False	F
QGNH01000938.1_5	QGNH01000938.1	QGNH01000938.1	5	2660	2821	1	E							0	False	F
QGNH01000938.1_6	QGNH01000938.1	QGNH01000938.1	6	2818	2958	1	E							1	False	F
QGNH01000938.1_7	QGNH01000938.1	QGNH01000938.1	7	2959	3324	1	E							0	False	F
QGNH01000938.1_8	QGNH01000938.1	QGNH01000938.1	8	3391	4908	1	E							0	False	F
QGNH01000938.1_9	QGNH01000938.1	QGNH01000938.1	9	5191	5502	1	E							0	False	
QGNH01000938.1_10	QGNH01000938.1	QGNH01000938.1	10	5737	5964	1	E							0	False	
QGNH01000938.1_11	QGNH01000938.1	QGNH01000938.1	11	5906	6187	1	E							0	False	
QGNH01000938.1_12	QGNH01000938.1	QGNH01000938.1	12	6380	6877	-1	E							0	False	
QGNH01000938.1_13	QGNH01000938.1	QGNH01000938.1	13	6880	7170	-1	E							0	False	
QGNH01000938.1_14	QGNH01000938.1	QGNH01000938.1	14	7170	7442	-1	E				VOG08473	REFSEQ hypothetical protein; Xu	Xu	0	False	
QGNH01000938.1_15	QGNH01000938.1	QGNH01000938.1	15	7439	7693	-1	E							0	False	
QGNH01000938.1_16	QGNH01000938.1	QGNH01000938.1	16	7693	7887	-1	E							0	False	
QGNH01000938.1_17	QGNH01000938.1	QGNH01000938.1	17	8051	8686	-1	E							0	False	
QGNH01000938.1_18	QGNH01000938.1	QGNH01000938.1	18	8751	8939	1	E							0	False	
QGNH01000938.1_19	QGNH01000938.1	QGNH01000938.1	19	9006	9248	1	E							0	False	F
QGNH01000938.1_20	QGNH01000938.1	QGNH01000938.1	20	9291	9572	-1	E							0	False	F
QGNH01000938.1_21	QGNH01000938.1	QGNH01000938.1	21	9637	10371	1	E							0	False	F
QGNH01000938.1_22	QGNH01000938.1	QGNH01000938.1	22	10459	11076	1	E							0	False	F
QGNH01000938.1_23	QGNH01000938.1	QGNH01000938.1	23	10993	11244	-1	E							0	False	F
QGNH01000938.1_24	QGNH01000938.1	QGNH01000938.1	24	11448	12581	1	D			Predicted nucleotide-binding protein containing TIR-like domain [PF10137.12]				0	False	F
QGNH01000938.1_25	QGNH01000938.1	QGNH01000938.1	25	12651	13325	1	E							0	False	F
QGNH01000938.1_26	QGNH01000938.1	QGNH01000938.1	26	13196	13477	-1	E							0	False	F
QGNH01000938.1_27	QGNH01000938.1	QGNH01000938.1	27	13618	14139	1	C	K01507	inorganic pyrophosphatase [EC:3.6.1.1]	Inorganic pyrophosphatase [PF00719.22]				0	False	MKF
QGNH01000938.1_28	QGNH01000938.1	QGNH01000938.1	28	14158	14226	-1	E							0	False	F
