	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_bitScore	viral_eVal	viral_identity	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01000378.1_1	QGNH01000378.1	QGNH01000378.1	1	88	1359	-1	E											0	False	F
QGNH01000378.1_2	QGNH01000378.1	QGNH01000378.1	2	1549	2850	-1	E											0	False	F
QGNH01000378.1_3	QGNH01000378.1	QGNH01000378.1	3	2864	5305	-1	E											0	False	F
QGNH01000378.1_4	QGNH01000378.1	QGNH01000378.1	4	5305	5586	-1	E											0	False	F
QGNH01000378.1_5	QGNH01000378.1	QGNH01000378.1	5	5764	5964	-1	E											0	False	F
QGNH01000378.1_6	QGNH01000378.1	QGNH01000378.1	6	5969	7666	-1	E											0	False	F
QGNH01000378.1_7	QGNH01000378.1	QGNH01000378.1	7	7694	7852	-1	E											0	False	F
QGNH01000378.1_8	QGNH01000378.1	QGNH01000378.1	8	7852	8325	-1	E											0	False	F
QGNH01000378.1_9	QGNH01000378.1	QGNH01000378.1	9	8325	8513	-1	E											0	False	F
QGNH01000378.1_10	QGNH01000378.1	QGNH01000378.1	10	8476	8817	-1	E											0	False	F
QGNH01000378.1_11	QGNH01000378.1	QGNH01000378.1	11	8799	10298	-1	E	YP_009887268.1	YP_009887268.1 terminase large subunit [Arthrobacter phage Abba]	False	100.0	1.6580000000000002e-20	0.204		VOG00705	REFSEQ terminase large subunit; Xu	Xu	0	False	F
