	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
KC292022.1_1	KC292022	KC292022.1	1	363	833	-1	D			YP_008058449.1	YP_008058449.1 hypothetical protein M194_gp001 [Halorubrum tailed phage 5]	False	0.99	328.0	1.1780000000000002e-102								Halobacterial output domain 1 [PF18545.4]	VOG23910	REFSEQ HalOD1 domain-containing protein; Xu	Xu	0	False	F
KC292022.1_2	KC292022	KC292022.1	2	1241	2017	1	E			YP_008058450.1	YP_008058450.1 terminase small subunit [Halorubrum tailed phage 5]	True	0.957	521.0	1.546e-167									VOG05559	REFSEQ terminase small subunit; Xu	Xu	0	False	F
KC292022.1_3	KC292022	KC292022.1	3	2010	2273	1	E			YP_008058451.1	YP_008058451.1 hypothetical protein M194_gp003 [Halorubrum tailed phage 5]	False	0.98	182.0	2.368e-53									VOG04981	REFSEQ hypothetical protein; Xu	Xu	0	False	F
KC292022.1_4	KC292022	KC292022.1	4	2384	2491	1	E			YP_010358448.1	YP_010358448.1 hypothetical protein M1M41_gp003 [Halorubrum sodomense tailed virus 4]	False	0.898	68.0	1.013e-14									VOG23911	REFSEQ hypothetical protein; Xu	Xu	0	False	F
KC292022.1_5	KC292022	KC292022.1	5	2494	2688	1	E			YP_010358449.1	YP_010358449.1 hypothetical protein M1M41_gp004 [Halorubrum sodomense tailed virus 4]	False	1.0	141.0	1.072e-39									VOG23913	REFSEQ hypothetical protein; Xu	Xu	0	False	F
KC292022.1_6	KC292022	KC292022.1	6	3024	4715	1	E			YP_008058455.1	YP_008058455.1 terminase large subunit [Halorubrum tailed phage 5]	True	0.952	1127.0	0.0									VOG07294	sp|Q05219|VG13_BPML5 Gene 13 protein; Xu	Xu	0	False	F
KC292022.1_7	KC292022	KC292022.1	7	4730	6169	1	E			YP_008058456.1	YP_008058456.1 portal protein [Halorubrum tailed phage 5]	True	0.96	968.0	4.245e-318									VOG00562	sp|P44225|VG29_HAEIN Mu-like prophage FluMu protein gp29; Xu	Xu	0	False	F
KC292022.1_8	KC292022	KC292022.1	8	6172	6456	1	E			YP_008058457.1	YP_008058457.1 hypothetical protein M194_gp116 [Halorubrum tailed phage 5]	False	0.899	179.0	5.761e-52									VOG23915	REFSEQ hypothetical protein; Xu	Xu	0	False	
KC292022.1_9	KC292022	KC292022.1	9	6453	7217	1	E			YP_010358454.1	YP_010358454.1 head maturation protease [Halorubrum sodomense tailed virus 4]	True	0.965	518.0	1.5940000000000002e-166									VOG14382	REFSEQ head maturation protease; Xu	Xu	0	False	
KC292022.1_10	KC292022	KC292022.1	10	7224	7652	1	E			YP_008058459.1	YP_008058459.1 hypothetical protein M194_gp114 [Halorubrum tailed phage 5]	False	0.878	261.0	8.904999999999999e-80												0	False	
